WetView ver 7.1	01-18-2019	14:31:20
ACS Meter
530000CE		; Serial number
3	; structure version number
Reserved
0.000000	0.000000		; Depth calibration
115200			; Baud rate
0.250000			; Path length (meters)
86			; output wavelengths
35			; number of temperature bins
					0.885858	1.340364	2.431739	3.463729	4.547846	5.485068	6.514286	7.533714	8.489306	9.487541	10.485714	11.516875	12.472329	13.483333	14.486557	15.492807	16.485000	17.477600	18.490213	19.507609	20.532308	21.488909	22.494545	23.502453	24.501000	25.491591	26.490000	27.488500	28.493590	29.525349	30.494902	31.484583	32.492128	33.502727	34.504884	; temperature bins
C400.3	A399.1	8	-1.642915	-0.919581		-0.031023	-0.030039	-0.028026	-0.026640	-0.025330	-0.022295	-0.019796	-0.019983	-0.018793	-0.016780	-0.017782	-0.015439	-0.015809	-0.013396	-0.011533	-0.010317	-0.007907	-0.007897	-0.006406	-0.006495	-0.006584	-0.005265	-0.003444	-0.001962	-0.001489	0.000000	0.000846	0.001291	0.002898	0.002937	0.003565	0.004661	0.006318	0.006383	0.008032		-0.117775	-0.114740	-0.107143	-0.101927	-0.097193	-0.093151	-0.088798	-0.084198	-0.079466	-0.074688	-0.070419	-0.066963	-0.061663	-0.056803	-0.051921	-0.046618	-0.041843	-0.037677	-0.032305	-0.028765	-0.024238	-0.019711	-0.015534	-0.010093	-0.004807	0.000000	0.005123	0.009537	0.014558	0.017427	0.021999	0.027374	0.031258	0.036289	0.039927		; C and A offset, and C and A temperature correction info
C403.9	A402.8	10	-1.522486	-0.750286		-0.034597	-0.032704	-0.029629	-0.027810	-0.026679	-0.024392	-0.023810	-0.022348	-0.020025	-0.017312	-0.017347	-0.015613	-0.014154	-0.012743	-0.010867	-0.010354	-0.008905	-0.008018	-0.006868	-0.006187	-0.006202	-0.004279	-0.002593	-0.002064	-0.001294	0.000000	0.001232	0.001958	0.002641	0.003452	0.003815	0.005501	0.005192	0.006802	0.006996		-0.110516	-0.107226	-0.099992	-0.095154	-0.090495	-0.086831	-0.083196	-0.079077	-0.074618	-0.070193	-0.066177	-0.063399	-0.058346	-0.053887	-0.048913	-0.044053	-0.039331	-0.035318	-0.030601	-0.027254	-0.022994	-0.018836	-0.014860	-0.009969	-0.004631	0.000000	0.004509	0.008104	0.013050	0.016151	0.020068	0.024871	0.028194	0.032829	0.035296		; C and A offset, and C and A temperature correction info
C407.3	A406.4	11	-1.418517	-0.618501		-0.034234	-0.032416	-0.029744	-0.028664	-0.027424	-0.025326	-0.023361	-0.022501	-0.020939	-0.018625	-0.017842	-0.016125	-0.015842	-0.014183	-0.012535	-0.011141	-0.009037	-0.008325	-0.008066	-0.007363	-0.006628	-0.005272	-0.003471	-0.002496	-0.001437	0.000000	-0.000297	0.001697	0.001603	0.002987	0.003636	0.004667	0.005146	0.005889	0.006440		-0.098196	-0.094561	-0.087565	-0.083203	-0.079043	-0.075915	-0.072542	-0.068684	-0.064824	-0.060762	-0.057410	-0.054456	-0.050244	-0.046354	-0.042077	-0.037936	-0.034238	-0.030834	-0.026649	-0.023542	-0.020024	-0.016227	-0.012848	-0.008477	-0.003994	0.000000	0.003875	0.007473	0.011239	0.013507	0.016717	0.020831	0.023808	0.026888	0.028907		; C and A offset, and C and A temperature correction info
C411.0	A409.8	12	-1.316892	-0.522982		-0.035664	-0.033974	-0.031109	-0.029248	-0.027005	-0.025155	-0.023487	-0.022925	-0.021187	-0.019771	-0.019715	-0.017367	-0.016467	-0.013990	-0.012143	-0.011751	-0.008907	-0.008312	-0.006494	-0.006256	-0.005441	-0.004050	-0.003561	-0.002092	-0.001631	0.000000	0.001136	0.001270	0.001756	0.002471	0.003774	0.004473	0.005195	0.005119	0.006361		-0.085589	-0.081785	-0.075410	-0.071437	-0.067942	-0.064775	-0.061665	-0.058644	-0.055096	-0.051709	-0.048746	-0.046484	-0.042702	-0.039175	-0.035699	-0.032092	-0.028879	-0.025839	-0.022610	-0.019908	-0.016993	-0.013869	-0.010892	-0.007047	-0.003261	0.000000	0.003159	0.006062	0.008965	0.011291	0.013932	0.017141	0.019298	0.022053	0.023473		; C and A offset, and C and A temperature correction info
C414.2	A412.8	13	-1.224366	-0.458363		-0.035362	-0.032901	-0.029405	-0.028569	-0.026747	-0.024138	-0.023436	-0.021946	-0.020011	-0.017549	-0.016978	-0.015706	-0.014545	-0.013623	-0.011649	-0.010148	-0.009182	-0.008002	-0.007286	-0.006736	-0.006283	-0.004961	-0.003249	-0.002278	-0.001808	0.000000	0.000446	0.001061	0.001659	0.002183	0.002943	0.003741	0.004619	0.004648	0.005117		-0.073180	-0.069694	-0.063929	-0.060484	-0.057406	-0.054855	-0.052168	-0.049527	-0.046520	-0.043633	-0.040933	-0.039062	-0.035721	-0.032928	-0.029710	-0.026801	-0.023933	-0.021407	-0.018825	-0.016445	-0.014050	-0.011413	-0.008801	-0.005732	-0.002514	0.000000	0.003013	0.005241	0.007775	0.009161	0.011216	0.014367	0.015652	0.017868	0.018886		; C and A offset, and C and A temperature correction info
