       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
   1508.862     3.6513     3.6509   3.285955   3.286177     1.9677     0.0385     0.0879    6.35866   1489.000    34.9452    34.9483    1489.61    6.35851  1034.7056  1034.7080     -0.008    7.32907 0.0000e+00
   1507.845     3.6513     3.6507   3.285933   3.286143     1.9232     0.0420     0.0877    6.16575   1488.000    34.9455    34.9486    1489.59    6.16560  1034.7012  1034.7036     -0.638    7.32906 0.0000e+00
   1506.828     3.6513     3.6508   3.285889   3.286102     1.9495     0.0385     0.0874    6.27841   1487.000    34.9455    34.9486    1489.57    6.27826  1034.6965  1034.6990     -0.408    7.32907 0.0000e+00
   1505.812     3.6515     3.6509   3.285851   3.286056     2.0149     0.0461     0.0873    6.55942   1486.000    34.9453    34.9484    1489.56    6.55927  1034.6918  1034.6943     -0.664    7.32904 0.0000e+00
   1504.795     3.6516     3.6510   3.285818   3.286031     1.9260     0.0263     0.0872    6.17527   1485.000    34.9453    34.9484    1489.54    6.17512  1034.6871  1034.6897     -0.831    7.32901 0.0000e+00
   1503.778     3.6521     3.6517   3.285820   3.286043     1.9686     0.0350     0.0878    6.35815   1484.000    34.9454    34.9484    1489.53    6.35800  1034.6825  1034.6849     -0.687    7.32893 0.0000e+00
   1502.761     3.6525     3.6518   3.285800   3.286010     1.9548     0.0384     0.0873    6.29774   1483.000    34.9452    34.9484    1489.51    6.29759  1034.6777  1034.6804     -0.608    7.32886 0.0000e+00
   1501.744     3.6530     3.6520   3.285807   3.285978     1.9957     0.0407     0.0870    6.47307   1482.000    34.9452    34.9482    1489.50    6.47291  1034.6731  1034.6757     -0.811    7.32876 0.0000e+00
   1500.727     3.6534     3.6528   3.285804   3.286003     1.9694     0.0440     0.0877    6.35890   1481.000    34.9453    34.9482    1489.48    6.35875  1034.6685  1034.6709     -0.829    7.32870 0.0000e+00
   1499.710     3.6545     3.6538   3.285860   3.286054     1.8857     0.0471     0.0877    5.99717   1480.000    34.9453    34.9483    1489.47    5.99703  1034.6637  1034.6663     -0.921    7.32849 0.0000e+00
   1498.693     3.6593     3.6572   3.286246   3.286282     1.9568     0.0364     0.0876    6.30190   1479.000    34.9453    34.9479    1489.47    6.30175  1034.6586  1034.6609     -1.141    7.32763 0.0000e+00
   1497.676     3.6629     3.6615   3.286522   3.286627     1.9423     0.0457     0.0880    6.23783   1478.000    34.9452    34.9479    1489.47    6.23768  1034.6533  1034.6556     -1.264    7.32697 0.0000e+00
   1496.659     3.6654     3.6648   3.286746   3.286938     1.9980     0.0405     0.0881    6.47632   1477.000    34.9457    34.9486    1489.47    6.47616  1034.6488  1034.6512     -1.268    7.32649 0.0000e+00
   1495.642     3.6665     3.6667   3.286808   3.287051     1.9507     0.0349     0.0879    6.27173   1476.000    34.9458    34.9485    1489.45    6.27158  1034.6442  1034.6462     -1.146    7.32629 0.0000e+00
   1494.625     3.6687     3.6670   3.287014   3.287069     1.9651     0.0399     0.0885    6.33268   1475.000    34.9464    34.9489    1489.45    6.33253  1034.6398  1034.6418     -0.858    7.32586 0.0000e+00
   1493.608     3.6718     3.6710   3.287234   3.287391     1.9998     0.0394     0.0883    6.48050   1474.000    34.9463    34.9490    1489.44    6.48034  1034.6346  1034.6368     -0.712    7.32531 0.0000e+00
   1492.592     3.6730     3.6701   3.287304   3.287335     1.9209     0.0353     0.0884    6.13987   1473.000    34.9463    34.9497    1489.43    6.13972  1034.6299  1034.6329     -1.012    7.32509 0.0000e+00
   1491.575     3.6743     3.6718   3.287403   3.287376     1.9667     0.0464     0.0880    6.33582   1472.000    34.9466    34.9490    1489.42    6.33567  1034.6254  1034.6276     -1.120    7.32483 0.0000e+00
   1490.558     3.6758     3.6741   3.287497   3.287580     1.9232     0.0372     0.0880    6.14769   1471.000    34.9467    34.9495    1489.41    6.14754  1034.6206  1034.6230     -1.058    7.32456 0.0000e+00
   1489.541     3.6755     3.6751   3.287432   3.287645     1.9551     0.0348     0.0880    6.28434   1470.000    34.9468    34.9496    1489.39    6.28419  1034.6161  1034.6184     -0.992    7.32462 0.0000e+00
   1488.524     3.6764     3.6756   3.287451   3.287662     1.9681     0.0452     0.0881    6.33886   1469.000    34.9465    34.9498    1489.38    6.33871  1034.6112  1034.6139     -1.065    7.32446 0.0000e+00
   1487.507     3.6761     3.6754   3.287381   3.287599     1.9635     0.0293     0.0879    6.31827   1468.000    34.9465    34.9498    1489.36    6.31812  1034.6067  1034.6093     -1.144    7.32452 0.0000e+00
   1486.490     3.6757     3.6751   3.287330   3.287530     1.9992     0.0305     0.0880    6.47106   1467.000    34.9468    34.9498    1489.34    6.47090  1034.6023  1034.6047     -1.087    7.32457 0.0000e+00
   1485.473     3.6755     3.6749   3.287262   3.287471     1.9970     0.0419     0.0880    6.46063   1466.000    34.9468    34.9499    1489.32    6.46048  1034.5978  1034.6002     -0.860    7.32462 0.0000e+00
   1484.457     3.6748     3.6746   3.287129   3.287397     1.9704     0.0378     0.0879    6.34600   1465.000    34.9464    34.9498    1489.30    6.34585  1034.5929  1034.5956     -0.815    7.32475 0.0000e+00
   1483.440     3.6742     3.6739   3.287039   3.287277     2.0106     0.0359     0.0878    6.51788   1464.000    34.9464    34.9496    1489.28    6.51772  1034.5885  1034.5909     -1.093    7.32486 0.0000e+00
   1482.423     3.6738     3.6732   3.286918   3.287138     1.9236     0.0252     0.0879    6.14337   1463.000    34.9460    34.9492    1489.27    6.14322  1034.5836  1034.5862     -1.209    7.32497 0.0000e+00
   1481.406     3.6732     3.6728   3.286835   3.287060     1.9526     0.0311     0.0878    6.26706   1462.000    34.9461    34.9492    1489.25    6.26691  1034.5791  1034.5817     -1.142    7.32506 0.0000e+00
   1480.389     3.6720     3.6723   3.286665   3.286968     1.9748     0.0348     0.0880    6.36205   1461.000    34.9459    34.9491    1489.22    6.36190  1034.5745  1034.5770     -1.030    7.32529 0.0000e+00
   1479.372     3.6692     3.6701   3.286356   3.286712     1.9226     0.0348     0.0879    6.13752   1460.000    34.9457    34.9489    1489.20    6.13737  1034.5702  1034.5725     -1.013    7.32581 0.0000e+00
   1478.355     3.6664     3.6679   3.286014   3.286456     1.9263     0.0348     0.0873    6.15281   1459.000    34.9451    34.9487    1489.17    6.15267  1034.5656  1034.5681     -0.987    7.32635 0.0000e+00
   1477.339     3.6608     3.6663   3.285446   3.286304     1.9535     0.0428     0.0869    6.27007   1458.000    34.9447    34.9491    1489.12    6.26992  1034.5614  1034.5641     -0.843    7.32737 0.0000e+00
   1476.322     3.6605     3.6612   3.285348   3.285701     1.9658     0.0372     0.0869    6.32215   1457.000    34.9444    34.9479    1489.11    6.32200  1034.5566  1034.5592     -0.854    7.32745 0.0000e+00
   1475.305     3.6531     3.6577   3.284472   3.285354     2.0055     0.0473     0.0869    6.49307   1456.000    34.9424    34.9479    1489.06    6.49291  1034.5514  1034.5551     -1.122    7.32889 0.0000e+00
   1474.288     3.6519     3.6503   3.284313   3.284563     1.9341     0.0371     0.0869    6.18564   1455.000    34.9422    34.9469    1489.03    6.18549  1034.5469  1034.5507     -1.273    7.32911 0.0000e+00
   1473.271     3.6458     3.6447   3.283602   3.283912     2.0255     0.0349     0.0869    6.57851   1454.000    34.9408    34.9456    1488.99    6.57835  1034.5420  1034.5459     -1.261    7.33029 0.0000e+00
   1472.255     3.6420     3.6402   3.283138   3.283309     1.9375     0.0305     0.0869    6.20029   1453.000    34.9398    34.9438    1488.95    6.20014  1034.5371  1034.5404     -1.156    7.33103 0.0000e+00
   1471.238     3.6375     3.6374   3.282699   3.282958     2.0206     0.0265     0.0869    6.55699   1452.000    34.9398    34.9430    1488.92    6.55683  1034.5331  1034.5356     -1.030    7.33184 0.0000e+00
   1470.221     3.6348     3.6373   3.282351   3.282848     1.9837     0.0346     0.0866    6.39834   1451.000    34.9391    34.9424    1488.89    6.39819  1034.5283  1034.5305     -0.938    7.33237 0.0000e+00
   1469.204     3.6350     3.6371   3.282309   3.282785     1.9793     0.0348     0.0868    6.37884   1450.000    34.9389    34.9423    1488.87    6.37869  1034.5236  1034.5259     -0.869    7.33235 0.0000e+00
   1468.188     3.6345     3.6354   3.282211   3.282573     1.9723     0.0270     0.0869    6.34781   1449.000    34.9388    34.9421    1488.85    6.34766  1034.5189  1034.5214     -0.822    7.33244 0.0000e+00
   1467.171     3.6354     3.6340   3.282231   3.282347     1.9382     0.0331     0.0868    6.20064   1448.000    34.9385    34.9414    1488.84    6.20049  1034.5139  1034.5165     -0.900    7.33228 0.0000e+00
   1466.154     3.6373     3.6359   3.282350   3.282470     1.9905     0.0348     0.0869    6.42391   1447.000    34.9385    34.9413    1488.83    6.42376  1034.5092  1034.5116     -1.079    7.33195 0.0000e+00
   1465.137     3.6395     3.6385   3.282502   3.282670     1.9633     0.0456     0.0869    6.30596   1446.000    34.9384    34.9415    1488.83    6.30581  1034.5042  1034.5067     -1.226    7.33154 0.0000e+00
   1464.120     3.6404     3.6402   3.282572   3.282797     1.9043     0.0406     0.0869    6.05189   1445.000    34.9388    34.9417    1488.81    6.05174  1034.4998  1034.5021     -1.286    7.33136 0.0000e+00
   1463.104     3.6415     3.6408   3.282618   3.282813     1.9783     0.0355     0.0869    6.36819   1444.000    34.9388    34.9418    1488.80    6.36804  1034.4950  1034.4974     -1.242    7.33118 0.0000e+00
   1462.087     3.6411     3.6406   3.282538   3.282768     1.9578     0.0348     0.0868    6.27937   1443.000    34.9387    34.9419    1488.78    6.27923  1034.4904  1034.4929     -1.123    7.33124 0.0000e+00
