,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP03ISSM,MFD37,CTD Pumped: CTDBP Series D,CP03ISSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07209,16-7209,1,,2019-08-15 01:06:36.446,CGINS-CTDBPD-07209__20170718.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07209__20170718.csv,No errors found,2014-12-14 18:52:00,2014-12-30 00:00:00,
1,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07209,16-7209,6,,2019-08-15 01:06:36.446,CGINS-CTDBPD-07209__20170718.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07209__20170718.csv,No errors found,2016-10-13 18:36:00,2017-06-09 16:05:00,
2,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07209,16-7209,8,,2019-08-15 01:06:36.446,CGINS-CTDBPD-07209__20170718.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07209__20170718.csv,No errors found,2017-10-29 14:15:00,2018-03-29 19:37:00,
3,Coastal Pioneer,CP03ISSM,MFD37,CTD Pumped: CTDBP Series D,CP03ISSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07209,16-7209,9,,2019-08-15 01:04:54.278,CGINS-CTDBPD-07209__20180525.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07209__20180525.csv,No errors found,2018-10-29 03:43:00,2019-04-06 18:51:00,
0,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07239,16-7239,1,73,2019-08-15 01:07:49.303,CGINS-CTDBPD-07239__20121207.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07239__20121207.csv,Calibration coefficients were modified,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07239,16-7239,7,,2019-08-15 01:04:48.211,CGINS-CTDBPD-07239__20171202.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07239__20171202.csv,No errors found,2017-06-09 14:24:00,2017-11-01 20:33:00,
2,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-07239,16-7239,9,,2019-08-15 01:04:48.211,CGINS-CTDBPD-07239__20171202.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-07239__20171202.csv,No errors found,2018-03-24 21:32:00,2018-10-29 12:31:00,
0,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-50008,16-50008,2,"72-filename update
73-cal coeff",2019-08-15 01:07:42.365,CGINS-CTDBPD-50008__20161214.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-50008__20161214.csv,File renamed with correct date ,2014-12-13 18:47:00,2014-12-15 20:58:00,
1,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-50008,16-50008,3,"72-filename update
73-cal coeff",2019-08-15 01:07:42.365,CGINS-CTDBPD-50008__20161214.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-50008__20161214.csv,File renamed with correct date ,2015-05-07 17:34:00,2015-10-23 19:40:00,
2,Coastal Pioneer,CP03ISSM,MFD37,CTD Pumped: CTDBP Series D,CP03ISSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-50008,16-50008,4,"72-filename update
73-cal coeff",2019-08-15 01:07:42.365,CGINS-CTDBPD-50008__20161214.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-50008__20161214.csv,File renamed with correct date ,2016-05-28 14:43:00,2016-10-15 12:14:00,
3,Coastal Pioneer,CP03ISSM,MFD37,CTD Pumped: CTDBP Series D,CP03ISSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-50008,16-50008,6,"72-filename update
73-cal coeff",2019-08-15 01:07:42.365,CGINS-CTDBPD-50008__20161214.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-50008__20161214.csv,File renamed with correct date ,2017-06-15 13:43:00,2017-11-01 14:17:00,
4,Coastal Pioneer,CP01CNSM,MFD37,CTD Pumped: CTDBP Series D,CP01CNSM-MFD37-03-CTDBPD000,CGINS-CTDBPD-50008,16-50008,10,,2019-08-15 01:05:30.698,CGINS-CTDBPD-50008__20171212.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPD/CGINS-CTDBPD-50008__20171212.csv,No errors found,2018-10-30 01:48:00,2019-04-07 18:08:00,
