,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50001,16-50001,1,,2019-08-15 01:06:11.326,CGINS-CTDBPF-50001__20140116.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50001__20140116.csv,No errors found,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50001,16-50001,3,,2019-08-15 01:06:25.937,CGINS-CTDBPF-50001__20170923.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50001__20170923.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
2,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50001,16-50001,5,,2019-08-15 01:06:25.937,CGINS-CTDBPF-50001__20170923.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50001__20170923.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Southern Ocean,GS01SUMO,RID16,CTD Pumped: CTDBP Series F,GS01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50060,16-50060,1,73,2019-08-15 01:07:47.108,CGINS-CTDBPF-50060__20140920.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50060__20140920.csv,Calibration coefficients were modified,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Global Southern Ocean,GS01SUMO,RID16,CTD Pumped: CTDBP Series F,GS01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50060,16-50060,3,"72-filename update
73-cal coeff",2019-08-15 01:06:38.273,CGINS-CTDBPF-50060__20160327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50060__20160327.csv,File renamed with correct date Calibration coefficients were modified,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50061,16-50061,2,73,2019-08-15 01:06:12.991,CGINS-CTDBPF-50061__20140919.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50061__20140919.csv,Calibration coefficients were modified,2015-08-15 19:22:00,2016-07-19 00:00:00,
0,Global Argentine Basin,GA01SUMO,RID16,CTD Pumped: CTDBP Series F,GA01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50062,16-50062,1,,2019-08-15 01:05:13.838,CGINS-CTDBPF-50062__20160309.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50062__20160309.csv,No errors found,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Argentine Basin,GA01SUMO,RID16,CTD Pumped: CTDBP Series F,GA01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50062,16-50062,3,,2019-08-15 01:05:13.838,CGINS-CTDBPF-50062__20160309.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50062__20160309.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
2,Global Southern Ocean,GS01SUMO,RID16,CTD Pumped: CTDBP Series F,GS01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50062,16-50062,4,73,2019-08-15 01:06:13.141,CGINS-CTDBPF-50062__20180414.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50062__20180414.csv,Calibration coefficients were modified,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RID16,CTD Pumped: CTDBP Series F,GA01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50116,16-50116,2,,2019-08-15 01:06:03.830,CGINS-CTDBPF-50116__20150428.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50116__20150428.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
0,Global Southern Ocean,GS01SUMO,RID16,CTD Pumped: CTDBP Series F,GS01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50142,16-50142,2,,2019-08-15 01:05:49.671,CGINS-CTDBPF-50142__20150616.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50142__20150616.csv,No errors found,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50142,16-50142,4,,2019-08-15 01:04:49.105,CGINS-CTDBPF-50142__20170312.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50142__20170312.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RID16,CTD Pumped: CTDBP Series F,GI01SUMO-RID16-03-CTDBPF000,CGINS-CTDBPF-50143,16-50143,6,,2019-08-15 01:05:03.318,CGINS-CTDBPF-50143__20180502.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPF/CGINS-CTDBPF-50143__20180502.csv,No errors found,2019-08-05 15:26:00,,
