,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50059,16-50059,2,,2019-08-15 01:05:42.426,CGINS-CTDBPP-50059__20140923.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50059__20140923.csv,No errors found,2015-08-15 19:22:00,2016-07-19 00:00:00,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50069,16-50069,4,,2019-08-15 01:05:05.102,CGINS-CTDBPP-50069__20151028.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50069__20151028.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50072,16-50072,2,73,2019-08-15 01:05:10.945,CGINS-CTDBPP-50072__20161018.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50072__20161018.csv,Calibration coefficients were modified,2015-08-15 19:22:00,2016-07-19 00:00:00,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50073,16-50073,2,,2019-08-15 01:04:54.711,CGINS-CTDBPP-50073__20161021.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50073__20161021.csv,No errors found,2015-08-15 19:22:00,2016-07-19 00:00:00,
0,Global Argentine Basin,GA01SUMO,RII11,CTD Pumped: CTDBP Series P,GA01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50074,16-50074,2,,2019-08-15 01:04:56.616,CGINS-CTDBPP-50074__20170316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50074__20170316.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
1,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50074,16-50074,4,,2019-08-15 01:04:56.616,CGINS-CTDBPP-50074__20170316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50074__20170316.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Argentine Basin,GA01SUMO,RII11,CTD Pumped: CTDBP Series P,GA01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50076,16-50076,2,,2019-08-15 01:05:22.374,CGINS-CTDBPP-50076__20170314.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50076__20170314.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
1,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50076,16-50076,5,,2019-08-15 01:05:22.374,CGINS-CTDBPP-50076__20170314.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50076__20170314.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50077,16-50077,2,,2019-08-15 01:06:45.241,CGINS-CTDBPP-50077__20141009.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50077__20141009.csv,No errors found,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50077,16-50077,5,"72-filename update
73-cal coeff",2019-08-15 01:05:19.094,CGINS-CTDBPP-50077__20170319.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50077__20170319.csv,File renamed with correct date Calibration coefficients were modified,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50124,16-50124,2,72-filename update,2019-08-15 01:06:14.037,CGINS-CTDBPP-50124__20170319.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50124__20170319.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50124,16-50124,6,72-filename update,2019-08-15 01:06:14.037,CGINS-CTDBPP-50124__20170319.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50124__20170319.csv,File renamed with correct date ,2019-08-05 15:26:00,,
0,Global Southern Ocean,GS01SUMO,RII11,CTD Pumped: CTDBP Series P,GS01SUMO-RII11-02-CTDBPP033,CGINS-CTDBPP-50125,16-50125,2,"72-filename update
73-cal coeff",2019-08-15 01:05:19.167,CGINS-CTDBPP-50125__20170319.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50125__20170319.csv,File renamed with correct date Calibration coefficients were modified,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP032,CGINS-CTDBPP-50125,16-50125,6,"72-filename update
73-cal coeff",2019-08-15 01:05:19.167,CGINS-CTDBPP-50125__20170319.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50125__20170319.csv,File renamed with correct date Calibration coefficients were modified,2019-08-05 15:26:00,,
0,Global Irminger Sea,GI01SUMO,RII11,CTD Pumped: CTDBP Series P,GI01SUMO-RII11-02-CTDBPP031,CGINS-CTDBPP-50126,16-50126,3,,2019-08-15 01:06:03.143,CGINS-CTDBPP-50126__20171010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPP/CGINS-CTDBPP-50126__20171010.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
