,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP03ISSM,MFD37,Dissolved Oxygen Stable Response: DOSTA Series D,CP03ISSM-MFD37-04-DOSTAD000,CGINS-DOSTAD-00126,126,5,,2019-08-15 01:05:06.014,CGINS-DOSTAD-00126__20180309.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00126__20180309.csv,No errors found,2016-10-11 13:39:00,2017-06-15 15:56:00,
1,Coastal Pioneer,CP04OSSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP04OSSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00126,126,9,,2019-08-15 01:05:06.014,CGINS-DOSTAD-00126__20180309.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00126__20180309.csv,No errors found,2018-10-25 15:31:00,2019-02-04 12:30:00,
2,Global Irminger Sea,GI03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GI03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00126,126,1,#37,2019-08-15 01:07:06.018,CGINS-DOSTAD-00126__20130119.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00126__20130119.csv,File renamed with correct date Calibration coefficients were modified,2014-09-16 13:24:00,2015-08-20 12:56:00,
0,Global Irminger Sea,GI01SUMO,SBD11,Dissolved Oxygen Stable Response: DOSTA Series D,GI01SUMO-SBD11-04-DOSTAD000,CGINS-DOSTAD-00127,127,6,,2019-08-15 01:04:46.125,CGINS-DOSTAD-00127__20180920.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00127__20180920.csv,No errors found,2019-08-05 15:26:00,,
1,Global Station Papa,GP03FLMA,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMA-RIS01-03-DOSTAD000,CGINS-DOSTAD-00127,127,2,,2019-08-15 01:07:21.778,CGINS-DOSTAD-00127__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00127__20151206.csv,No errors found,2014-06-17 06:00:00,2015-06-05 00:00:00,
2,Global Station Papa,GP03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00127,127,5,,2019-08-15 01:07:21.778,CGINS-DOSTAD-00127__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00127__20151206.csv,No errors found,2017-07-14 22:49:00,2018-07-25 17:11:00,
0,Global Station Papa,GP03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00128,128,1,#37,2019-08-15 01:04:55.100,CGINS-DOSTAD-00128__20151206.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00128__20151206.csv,File renamed with correct date ,2013-07-24 06:32:00,2014-06-18 00:00:00,
1,Global Station Papa,GP03FLMB,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMB-RIS01-03-DOSTAD000,CGINS-DOSTAD-00128,128,4,,2019-08-15 01:04:51.191,CGINS-DOSTAD-00128__20170911.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00128__20170911.csv,No errors found,2016-07-04 23:07:00,2017-07-17 15:02:00,
2,Coastal Pioneer,CP01CNSM,RID27,Dissolved Oxygen Stable Response: DOSTA Series D,CP01CNSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00128,128,9,,2019-08-15 01:04:51.191,CGINS-DOSTAD-00128__20170911.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00128__20170911.csv,No errors found,2018-03-24 21:32:00,2018-10-29 12:31:00,
0,Global Station Papa,GP03FLMA,RIS01,Dissolved Oxygen Stable Response: DOSTA Series D,GP03FLMA-RIS01-03-DOSTAD000,CGINS-DOSTAD-00129,129,5,,2019-08-15 01:04:52.070,CGINS-DOSTAD-00129__20180920.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/DOSTAD/CGINS-DOSTAD-00129__20180920.csv,No errors found,2017-07-13 23:00:00,2018-07-27 22:14:00,
