,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03286,3286,2,18,2019-08-15 01:05:27.168,CGINS-FLORDG-03286__20140911.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03286__20140911.csv,File renamed with correct date ,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03286,3286,5,18,2019-08-15 01:06:54.278,CGINS-FLORDG-03286__20161010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03286__20161010.csv,Missing file added,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03292,3292,2,18,2019-08-15 01:05:20.922,CGINS-FLORDG-03292__20140911.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03292__20140911.csv,File renamed with correct date ,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03292,3292,5,18,2019-08-15 01:06:49.078,CGINS-FLORDG-03292__20161010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03292__20161010.csv,Missing file added,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03304,3304,2,18,2019-08-15 01:07:46.588,CGINS-FLORDG-03304__20161010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03304__20161010.csv,Missing file added,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03304,3304,5,18,2019-08-15 01:07:46.588,CGINS-FLORDG-03304__20161010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03304__20161010.csv,Missing file added,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03369,3369,2,18,2019-08-15 01:04:48.759,CGINS-FLORDG-03369__20140911.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03369__20140911.csv,File renamed with correct date Calibration coefficients were modified,2015-11-14 21:06:00,2016-11-08 10:10:00,
1,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03369,3369,4,,2019-08-15 01:05:16.071,CGINS-FLORDG-03369__20170327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03369__20170327.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03381,3381,2,,2019-08-15 01:05:33.489,CGINS-FLORDG-03381__20170327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03381__20170327.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
1,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03381,3381,4,,2019-08-15 01:05:33.489,CGINS-FLORDG-03381__20170327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03381__20170327.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03382,3382,2,18,2019-08-15 01:04:48.368,CGINS-FLORDG-03382__20140910.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03382__20140910.csv,File renamed with correct date Calibration coefficients were modified,2015-11-14 21:06:00,2016-11-08 10:10:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03417,3417,4,,2019-08-15 01:05:04.235,CGINS-FLORDG-03417__20140910.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03417__20140910.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03418,3418,3,18,2019-08-15 01:07:07.830,CGINS-FLORDG-03418__20171012.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03418__20171012.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03418,3418,6,18,2019-08-15 01:07:07.830,CGINS-FLORDG-03418__20171012.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03418__20171012.csv,File renamed with correct date ,2019-08-05 15:26:00,,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-03965,3965,2,18,2019-08-15 01:06:44.672,CGINS-FLORDG-03965__20150528.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03965__20150528.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03966,3966,2,18,2019-08-15 01:04:45.695,CGINS-FLORDG-03966__20150528.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03966__20150528.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03967,3967,4,,2019-08-15 01:04:54.894,CGINS-FLORDG-03967__20150528.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03967__20150528.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03968,3968,2,,2019-08-15 01:06:42.277,CGINS-FLORDG-03968__20170322.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03968__20170322.csv,No errors found,2015-12-14 20:20:00,2016-12-12 07:58:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03968,3968,4,,2019-08-15 01:06:42.277,CGINS-FLORDG-03968__20170322.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03968__20170322.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03969,3969,3,18,2019-08-15 01:05:17.231,CGINS-FLORDG-03969__20150528.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03969__20150528.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-03969,3969,6,18,2019-08-15 01:04:58.625,CGINS-FLORDG-03969__20171012.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03969__20171012.csv,File renamed with correct date ,2019-08-05 15:26:00,,
0,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03970,3970,3,18,2019-08-15 01:05:44.924,CGINS-FLORDG-03970__20150528.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03970__20150528.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
1,Global Irminger Sea,GI01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GI01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-03970,3970,6,,2019-08-15 01:05:40.625,CGINS-FLORDG-03970__20171011.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-03970__20171011.csv,No errors found,2019-08-05 15:26:00,,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-04029,4029,3,,2019-08-15 01:04:55.082,CGINS-FLORDG-04029__20180614.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04029__20180614.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
1,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-04029,4029,4,,2019-08-15 01:04:55.082,CGINS-FLORDG-04029__20180614.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04029__20180614.csv,No errors found,2018-12-04 17:10:40,,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-04030,4030,3,,2019-08-15 01:07:16.189,CGINS-FLORDG-04030__20180618.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04030__20180618.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Argentine Basin,GA01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GA01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-04031,4031,3,,2019-08-15 01:06:47.241,CGINS-FLORDG-04031__20180618.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04031__20180618.csv,No errors found,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG031,CGINS-FLORDG-04032,4032,3,18,2019-08-15 01:04:45.363,CGINS-FLORDG-04032__20150729.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04032__20150729.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG032,CGINS-FLORDG-04033,4033,3,18,2019-08-15 01:05:03.896,CGINS-FLORDG-04033__20150729.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04033__20150729.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Southern Ocean,GS01SUMO,RII11,2-Wavelength Fluorometer: FLORD Series G,GS01SUMO-RII11-02-FLORDG033,CGINS-FLORDG-04034,4034,3,18,2019-08-15 01:06:46.669,CGINS-FLORDG-04034__20150729.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORDG/CGINS-FLORDG-04034__20150729.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
