,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI01SUMO,SBD11,Nitrate: NUTNR Series B,GI01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00239,239,1,,2019-08-23 21:06:07.654,CGINS-NUTNRB-00239__20160930.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00239__20160930.csv,No errors found,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00239,239,6,,2019-08-23 21:06:07.654,CGINS-NUTNRB-00239__20160930.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00239__20160930.csv,No errors found,2017-06-06 14:51:00,2017-11-02 14:15:00,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00240,240,1,#43,2019-08-23 21:04:29.071,CGINS-NUTNRB-00240__20121106.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00240__20121106.csv,File renamed with correct date ,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Global Southern Ocean,GS01SUMO,RID16,Nitrate: NUTNR Series B,GS01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00240,240,2,,2019-08-23 21:04:30.654,CGINS-NUTNRB-00240__20170615.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00240__20170615.csv,No errors found,2015-12-14 20:20:00,2016-12-12 07:58:00,
0,Global Southern Ocean,GS01SUMO,RID16,Nitrate: NUTNR Series B,GS01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00260,260,1,#43,2019-08-23 21:04:31.473,CGINS-NUTNRB-00260__20160929.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00260__20160929.csv,File renamed with correct date Calibration coefficients were modified,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00260,260,5,#43,2019-08-23 21:04:31.473,CGINS-NUTNRB-00260__20160929.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00260__20160929.csv,File renamed with correct date Calibration coefficients were modified,2016-10-12 14:26:00,2017-06-08 12:05:00,
0,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00261,261,2,#43,2019-08-23 21:04:44.744,CGINS-NUTNRB-00261__20160425.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00261__20160425.csv,File renamed with correct date Calibration coefficients were modified,2015-05-09 01:04:00,2015-10-23 00:00:00,
1,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00261,261,5,#43,2019-08-23 21:04:44.744,CGINS-NUTNRB-00261__20160425.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00261__20160425.csv,File renamed with correct date Calibration coefficients were modified,2016-05-13 13:50:00,2016-10-13 19:34:00,
2,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00261,261,7,#43,2019-08-23 21:04:44.744,CGINS-NUTNRB-00261__20160425.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00261__20160425.csv,File renamed with correct date Calibration coefficients were modified,2017-06-09 14:24:00,2017-11-01 20:33:00,
0,Global Irminger Sea,GI01SUMO,RID16,Nitrate: NUTNR Series B,GI01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00262,262,1,#43,2019-08-23 21:05:25.101,CGINS-NUTNRB-00262__20140813.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00262__20140813.csv,File renamed with correct date Calibration coefficients were modified,2014-09-10 18:50:00,2015-08-22 11:00:00,
