,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Argentine Basin,GA01SUMO,RID16,pCO2 Water: PCO2W Series B,GA01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0050,C0050,1,659,2019-08-23 21:05:05.776,CGINS-PCO2WB-C0050__20120828.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0050__20120828.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Southern Ocean,GS01SUMO,RID16,pCO2 Water: PCO2W Series B,GS01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0050,C0050,3,659,2019-08-23 21:04:51.919,CGINS-PCO2WB-C0050__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0050__20160520.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Irminger Sea,GI01SUMO,RID16,pCO2 Water: PCO2W Series B,GI01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0051,C0051,1,659,2019-08-23 21:06:08.878,CGINS-PCO2WB-C0051__20120828.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0051__20120828.csv,File renamed with correct date ,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Coastal Pioneer,CP01CNSM,MFD35,pCO2 Water: PCO2W Series B,CP01CNSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0051,C0051,5,,2019-08-23 21:04:48.819,CGINS-PCO2WB-C0051__20171114.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0051__20171114.csv,No errors found,2016-05-13 13:50:00,2016-10-13 19:34:00,
2,Global Irminger Sea,GI01SUMO,RID16,pCO2 Water: PCO2W Series B,GI01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0051,C0051,5,,2019-08-23 21:04:48.819,CGINS-PCO2WB-C0051__20171114.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0051__20171114.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Coastal Pioneer,CP01CNSM,MFD35,pCO2 Water: PCO2W Series B,CP01CNSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0069,C0069,1,659,2019-08-23 21:04:48.834,CGINS-PCO2WB-C0069__20130802.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0069__20130802.csv,File renamed with correct date ,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Coastal Pioneer,CP03ISSM,MFD35,pCO2 Water: PCO2W Series B,CP03ISSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0069,C0069,3,,2019-08-23 21:05:49.222,CGINS-PCO2WB-C0069__20170719.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0069__20170719.csv,No errors found,2015-10-21 17:44:00,2016-05-14 13:45:00,
2,Coastal Pioneer,CP01CNSM,MFD35,pCO2 Water: PCO2W Series B,CP01CNSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0069,C0069,6,,2019-08-23 21:05:49.222,CGINS-PCO2WB-C0069__20170719.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0069__20170719.csv,No errors found,2016-10-13 18:36:00,2017-06-09 16:05:00,
0,Global Southern Ocean,GS01SUMO,RID16,pCO2 Water: PCO2W Series B,GS01SUMO-RID16-05-PCO2WB000,CGINS-PCO2WB-C0070,C0070,1,659,2019-08-23 21:04:41.107,CGINS-PCO2WB-C0070__20130802.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0070__20130802.csv,File renamed with correct date ,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Coastal Pioneer,CP01CNSM,MFD35,pCO2 Water: PCO2W Series B,CP01CNSM-MFD35-05-PCO2WB000,CGINS-PCO2WB-C0070,C0070,7,,2019-08-23 21:04:27.499,CGINS-PCO2WB-C0070__20180326.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WB/CGINS-PCO2WB-C0070__20180326.csv,No errors found,2017-06-09 14:24:00,2017-11-01 20:33:00,
