,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0103,C0103,1,659,2019-08-23 21:05:13.028,CGINS-PCO2WC-C0103__20141111.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0103__20141111.csv,File renamed with correct date ,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0103,C0103,3,659,2019-08-23 21:05:16.510,CGINS-PCO2WC-C0103__20160603.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0103__20160603.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0105,C0105,1,659,2019-08-23 21:04:38.725,CGINS-PCO2WC-C0105__20160603.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0105__20160603.csv,File renamed with correct date ,2015-02-18 21:06:00,2015-12-27 11:20:00,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0106,C0106,1,659,2019-08-23 21:05:52.967,CGINS-PCO2WC-C0106__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0106__20160520.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Southern Ocean,GS01SUMO,RII11,pCO2 Water: PCO2W Series C,GS01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0106,C0106,3,659,2019-08-23 21:05:52.967,CGINS-PCO2WC-C0106__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0106__20160520.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0107,C0107,2,,2019-08-23 21:04:44.107,CGINS-PCO2WC-C0107__20161020.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0107__20161020.csv,No errors found,2015-08-15 19:22:00,2016-07-19 00:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC051,CGINS-PCO2WC-C0107,C0107,5,659,2019-08-23 21:06:48.419,CGINS-PCO2WC-C0107__20170516.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0107__20170516.csv,Calibration coefficients were modified,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0108,C0108,1,659,2019-08-23 21:05:59.182,CGINS-PCO2WC-C0108__20141113.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0108__20141113.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Irminger Sea,GI01SUMO,RII11,pCO2 Water: PCO2W Series C,GI01SUMO-RII11-02-PCO2WC052,CGINS-PCO2WC-C0108,C0108,5,,2019-08-23 21:06:40.726,CGINS-PCO2WC-C0108__20170505.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0108__20170505.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Argentine Basin,GA01SUMO,RII11,pCO2 Water: PCO2W Series C,GA01SUMO-RII11-02-PCO2WC053,CGINS-PCO2WC-C0109,C0109,1,,2019-08-23 21:04:41.999,CGINS-PCO2WC-C0109__20170505.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PCO2WC/CGINS-PCO2WC-C0109__20170505.csv,No errors found,2015-03-15 21:25:00,2015-11-26 10:08:00,
