,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0068,P0068,2,659,2019-08-23 21:04:35.066,CGINS-PHSEND-P0068__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0068__20160203.csv,Missing file added,2014-12-13 18:47:00,2014-12-15 20:58:00,
1,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0068,P0068,6,659,2019-08-23 21:04:35.066,CGINS-PHSEND-P0068__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0068__20160203.csv,Missing file added,2016-10-13 18:36:00,2017-06-09 16:05:00,
0,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0069,P0069,1,659,2019-08-23 21:04:46.547,CGINS-PHSEND-P0069__20121211.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0069__20121211.csv,File renamed with correct date ,2014-12-14 18:52:00,2014-12-30 00:00:00,
1,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0069,P0069,2,659,2019-08-23 21:04:46.547,CGINS-PHSEND-P0069__20121211.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0069__20121211.csv,File renamed with correct date ,2014-12-13 18:47:00,2014-12-15 20:58:00,
2,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0069,P0069,3,659,2019-08-23 21:04:46.547,CGINS-PHSEND-P0069__20121211.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0069__20121211.csv,File renamed with correct date ,2015-05-07 17:34:00,2015-10-23 19:40:00,
0,Coastal Pioneer,CP03ISSM,RID26,Seawater pH: PHSEN Series D,CP03ISSM-RID26-06-PHSEND000,CGINS-PHSEND-P0087,P0087,1,659,2019-08-23 21:05:24.112,CGINS-PHSEND-P0087__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0087__20160203.csv,Missing file added,2014-12-14 18:52:00,2014-12-30 00:00:00,
1,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0087,P0087,5,659,2019-08-23 21:05:24.112,CGINS-PHSEND-P0087__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0087__20160203.csv,Missing file added,2016-10-12 14:26:00,2017-06-08 12:05:00,
2,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0087,P0087,8,,2019-08-23 21:06:36.932,CGINS-PHSEND-P0087__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0087__20180724.csv,No errors found,2017-10-29 14:15:00,2018-03-29 19:37:00,
3,Coastal Pioneer,CP04OSSM,RID26,Seawater pH: PHSEN Series D,CP04OSSM-RID26-06-PHSEND000,CGINS-PHSEND-P0087,P0087,9,,2019-08-23 21:06:36.932,CGINS-PHSEND-P0087__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0087__20180724.csv,No errors found,2018-10-25 15:31:00,2019-02-04 12:30:00,
0,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0095,P0095,1,659,2019-08-23 21:06:26.767,CGINS-PHSEND-P0095__20160223.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20160223.csv,File renamed with correct date ,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0095,P0095,2,659,2019-08-23 21:06:26.767,CGINS-PHSEND-P0095__20160223.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20160223.csv,File renamed with correct date ,2015-05-09 00:57:00,2015-10-21 18:50:00,
2,Coastal Pioneer,CP03ISSM,MFD35,Seawater pH: PHSEN Series D,CP03ISSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0095,P0095,4,659,2019-08-23 21:04:43.283,CGINS-PHSEND-P0095__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20190110.csv,Missing file added,2016-05-28 14:43:00,2016-10-15 12:14:00,
3,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0095,P0095,7,659,2019-08-23 21:04:43.283,CGINS-PHSEND-P0095__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20190110.csv,Missing file added,2017-06-09 14:24:00,2017-11-01 20:33:00,
4,Coastal Pioneer,CP01CNSM,MFD35,Seawater pH: PHSEN Series D,CP01CNSM-MFD35-06-PHSEND000,CGINS-PHSEND-P0095,P0095,9,659,2019-08-23 21:04:43.283,CGINS-PHSEND-P0095__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20190110.csv,Missing file added,2018-03-24 21:32:00,2018-10-29 12:31:00,
5,Coastal Pioneer,CP01CNSM,RID26,Seawater pH: PHSEN Series D,CP01CNSM-RID26-06-PHSEND000,CGINS-PHSEND-P0095,P0095,11,659,2019-08-23 21:04:43.283,CGINS-PHSEND-P0095__20190110.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSEND/CGINS-PHSEND-P0095__20190110.csv,Missing file added,2019-04-06 14:35:00,,
