,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Argentine Basin,GA01SUMO,RII11,Seawater pH: PHSEN Series E,GA01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0070,P0070,1,,2019-08-23 21:04:50.319,CGINS-PHSENE-P0070__20160513.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0070__20160513.csv,No errors found,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0070,P0070,4,,2019-08-23 21:04:50.319,CGINS-PHSENE-P0070__20160513.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0070__20160513.csv,No errors found,2017-08-05 18:17:00,2018-06-14 08:02:00,
0,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0071,P0071,1,659,2019-08-23 21:04:47.168,CGINS-PHSENE-P0071__20160314.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0071__20160314.csv,File renamed with correct date Calibration coefficients were modified,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0071,P0071,3,659,2019-08-23 21:04:47.168,CGINS-PHSENE-P0071__20160314.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0071__20160314.csv,File renamed with correct date Calibration coefficients were modified,2016-07-10 17:44:00,2017-08-14 09:33:00,
0,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE042,CGINS-PHSENE-P0101,P0101,1,659,2019-08-23 21:04:28.311,CGINS-PHSENE-P0101__20131106.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0101__20131106.csv,File renamed with correct date ,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE042,CGINS-PHSENE-P0101,P0101,3,,2019-08-23 21:05:35.301,CGINS-PHSENE-P0101__20171025.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0101__20171025.csv,No errors found,2016-07-10 17:44:00,2017-08-14 09:33:00,
2,Global Southern Ocean,GS01SUMO,RII11,Seawater pH: PHSEN Series E,GS01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0101,P0101,4,,2019-08-23 21:05:35.301,CGINS-PHSENE-P0101__20171025.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0101__20171025.csv,No errors found,2018-12-04 17:10:40,,
0,Global Southern Ocean,GS01SUMO,RII11,Seawater pH: PHSEN Series E,GS01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0137,P0137,1,659,2019-08-23 21:04:30.322,CGINS-PHSENE-P0137__20140630.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0137__20140630.csv,File renamed with correct date ,2015-02-18 21:06:00,2015-12-27 11:20:00,
1,Global Southern Ocean,GS01SUMO,RII11,Seawater pH: PHSEN Series E,GS01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0137,P0137,3,659,2019-08-23 21:04:30.710,CGINS-PHSENE-P0137__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0137__20160520.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Global Irminger Sea,GI01SUMO,RII11,Seawater pH: PHSEN Series E,GI01SUMO-RII11-02-PHSENE041,CGINS-PHSENE-P0138,P0138,2,659,2019-08-23 21:04:25.054,CGINS-PHSENE-P0138__20140728.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENE/CGINS-PHSENE-P0138__20140728.csv,File renamed with correct date ,2015-08-15 19:22:00,2016-07-19 00:00:00,
