,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Irminger Sea,GI03FLMA,RIS01,Seawater pH: PHSEN Series F,GI03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0079,P0079,1,659,2019-08-23 21:06:00.362,CGINS-PHSENF-P0079__20160405.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0079__20160405.csv,File renamed with correct date ,2014-09-12 20:11:00,2015-08-18 10:41:00,
1,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0079,P0079,4,,2019-08-23 21:05:26.109,CGINS-PHSENF-P0079__20171025.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0079__20171025.csv,No errors found,2016-07-01 01:07:00,2017-07-18 15:13:00,
2,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0079,P0079,6,,2019-08-23 21:05:26.109,CGINS-PHSENF-P0079__20171025.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0079__20171025.csv,No errors found,2018-07-24 23:01:00,,
0,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0080,P0080,1,659,2019-08-23 21:05:45.491,CGINS-PHSENF-P0080__20120103.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0080__20120103.csv,File renamed with correct date ,2013-07-21 22:44:00,2014-06-15 00:00:00,
1,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0080,P0080,3,659,2019-08-23 21:05:45.491,CGINS-PHSENF-P0080__20120103.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0080__20120103.csv,File renamed with correct date ,2015-06-06 22:40:00,2016-06-28 19:10:00,
2,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0080,P0080,5,,2019-08-23 21:05:32.480,CGINS-PHSENF-P0080__20181004.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0080__20181004.csv,No errors found,2017-07-13 23:00:00,2018-07-27 22:14:00,
0,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0081,P0081,1,659,2019-08-23 21:05:57.956,CGINS-PHSENF-P0081__20130103.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0081__20130103.csv,File renamed with correct date ,2013-07-24 06:32:00,2014-06-18 00:00:00,
1,Global Irminger Sea,GI03FLMA,RIS01,Seawater pH: PHSEN Series F,GI03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0081,P0081,4,,2019-08-23 21:06:14.434,CGINS-PHSENF-P0081__20151116.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0081__20151116.csv,No errors found,2017-08-08 15:59:00,2018-06-15 07:59:00,
0,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0102,P0102,2,659,2019-08-23 21:04:29.298,CGINS-PHSENF-P0102__20130909.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0102__20130909.csv,File renamed with correct date ,2014-06-20 02:00:00,2015-06-07 00:00:00,
1,Global Irminger Sea,GI03FLMB,RIS01,Seawater pH: PHSEN Series F,GI03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0102,P0102,4,,2019-08-23 21:04:28.250,CGINS-PHSENF-P0102__20181010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0102__20181010.csv,No errors found,2017-08-07 15:49:00,2018-06-11 19:36:00,
0,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0103,P0103,2,659,2019-08-23 21:04:51.137,CGINS-PHSENF-P0103__20130906.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0103__20130906.csv,File renamed with correct date ,2014-06-17 06:00:00,2015-06-05 00:00:00,
1,Global Irminger Sea,GI03FLMA,RIS01,Seawater pH: PHSEN Series F,GI03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0103,P0103,3,,2019-08-23 21:04:24.504,CGINS-PHSENF-P0103__20180323.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0103__20180323.csv,No errors found,2016-07-12 15:59:00,2017-08-12 11:36:00,
0,Global Irminger Sea,GI03FLMB,RIS01,Seawater pH: PHSEN Series F,GI03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0104,P0104,1,659,2019-08-23 21:04:44.848,CGINS-PHSENF-P0104__20130930.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0104__20130930.csv,File renamed with correct date ,2014-09-16 13:24:00,2015-08-20 12:56:00,
1,Global Irminger Sea,GI03FLMB,RIS01,Seawater pH: PHSEN Series F,GI03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0104,P0104,3,,2019-08-23 21:06:02.179,CGINS-PHSENF-P0104__20180323.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0104__20180323.csv,No errors found,2016-07-13 15:49:00,2017-08-11 12:02:00,
0,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0105,P0105,3,659,2019-08-23 21:04:29.257,CGINS-PHSENF-P0105__20131010.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0105__20131010.csv,File renamed with correct date ,2015-06-08 21:25:00,2016-07-03 18:35:00,
1,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0105,P0105,5,,2019-08-23 21:04:34.012,CGINS-PHSENF-P0105__20161019.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0105__20161019.csv,No errors found,2017-07-14 22:49:00,2018-07-25 17:11:00,
0,Global Argentine Basin,GA03FLMA,RIS01,Seawater pH: PHSEN Series F,GA03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0141,P0141,1,659,2019-08-23 21:04:25.042,CGINS-PHSENF-P0141__20140714.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0141__20140714.csv,File renamed with correct date ,2015-03-17 19:45:00,2015-11-22 12:08:00,
1,Global Southern Ocean,GS03FLMB,RIS01,Seawater pH: PHSEN Series F,GS03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0141,P0141,3,,2019-08-23 21:04:33.974,CGINS-PHSENF-P0141__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0141__20180724.csv,No errors found,2016-12-03 19:08:00,2017-12-03 12:32:00,
2,Global Irminger Sea,GI03FLMA,RIS01,Seawater pH: PHSEN Series F,GI03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0141,P0141,6,,2019-08-23 21:04:33.974,CGINS-PHSENF-P0141__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0141__20180724.csv,No errors found,2019-08-07 13:34:00,,
0,Global Argentine Basin,GA03FLMB,RIS01,Seawater pH: PHSEN Series F,GA03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0142,P0142,1,659,2019-08-23 21:04:44.808,CGINS-PHSENF-P0142__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0142__20160520.csv,File renamed with correct date ,2015-03-21 02:30:00,2015-11-18 11:20:00,
1,Global Argentine Basin,GA03FLMB,RIS01,Seawater pH: PHSEN Series F,GA03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0142,P0142,3,,2019-08-23 21:04:47.999,CGINS-PHSENF-P0142__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0142__20180724.csv,No errors found,2016-10-31 22:37:00,2018-01-12 13:07:00,
0,Global Station Papa,GP03FLMB,RIS01,Seawater pH: PHSEN Series F,GP03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0143,P0143,4,,2019-08-23 21:05:02.639,CGINS-PHSENF-P0143__20170921.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0143__20170921.csv,No errors found,2016-07-04 23:07:00,2017-07-17 15:02:00,
1,Global Station Papa,GP03FLMA,RIS01,Seawater pH: PHSEN Series F,GP03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0143,P0143,6,,2019-08-23 21:05:02.639,CGINS-PHSENF-P0143__20170921.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0143__20170921.csv,No errors found,2018-07-23 22:54:00,,
0,Global Southern Ocean,GS03FLMB,RIS01,Seawater pH: PHSEN Series F,GS03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0144,P0144,1,659,2019-08-23 21:05:43.657,CGINS-PHSENF-P0144__20160520.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0144__20160520.csv,File renamed with correct date ,2015-02-23 20:19:00,2015-12-19 18:40:00,
1,Global Southern Ocean,GS03FLMA,RIS01,Seawater pH: PHSEN Series F,GS03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0144,P0144,3,,2019-08-23 21:04:44.652,CGINS-PHSENF-P0144__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0144__20180724.csv,No errors found,2016-12-01 19:20:00,2017-12-03 17:19:00,
0,Global Southern Ocean,GS03FLMA,RIS01,Seawater pH: PHSEN Series F,GS03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0147,P0147,1,659,2019-08-23 21:05:28.349,CGINS-PHSENF-P0147__20140917.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0147__20140917.csv,File renamed with correct date ,2015-02-25 23:55:00,2015-12-18 12:33:00,
1,Global Argentine Basin,GA03FLMA,RIS01,Seawater pH: PHSEN Series F,GA03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0147,P0147,3,,2019-08-23 21:04:23.513,CGINS-PHSENF-P0147__20180724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0147__20180724.csv,No errors found,2016-10-30 23:17:00,2018-01-09 12:15:00,
0,Global Irminger Sea,GI03FLMB,RIS01,Seawater pH: PHSEN Series F,GI03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0173,P0173,2,,2019-08-23 21:06:46.218,CGINS-PHSENF-P0173__20170105.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0173__20170105.csv,No errors found,2015-08-21 17:11:00,2016-07-18 00:00:00,
0,Global Irminger Sea,GI03FLMA,RIS01,Seawater pH: PHSEN Series F,GI03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0174,P0174,2,,2019-08-23 21:06:52.588,CGINS-PHSENF-P0174__20170105.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0174__20170105.csv,No errors found,2015-08-18 23:48:00,2016-07-17 00:00:00,
0,Global Argentine Basin,GA03FLMB,RIS01,Seawater pH: PHSEN Series F,GA03FLMB-RIS01-04-PHSENF000,CGINS-PHSENF-P0180,P0180,2,659,2019-08-23 21:06:08.832,CGINS-PHSENF-P0180__20150812.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0180__20150812.csv,File renamed with correct date ,2015-11-21 21:51:00,2016-11-01 10:10:00,
0,Global Argentine Basin,GA03FLMA,RIS01,Seawater pH: PHSEN Series F,GA03FLMA-RIS01-04-PHSENF000,CGINS-PHSENF-P0181,P0181,2,659,2019-08-23 21:04:33.844,CGINS-PHSENF-P0181__20150812.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PHSENF/CGINS-PHSENF-P0181__20150812.csv,File renamed with correct date ,2015-11-25 19:21:00,2016-11-05 18:58:00,
