,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01329,26P64515-1329,2,#42,2019-08-23 21:05:15.343,CGINS-PRESFB-01329__20170123.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01329__20170123.csv,File renamed with correct date Calibration coefficients were modified,2015-05-09 00:57:00,2015-10-21 18:50:00,
1,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01329,26P64515-1329,4,#42,2019-08-23 21:05:15.343,CGINS-PRESFB-01329__20170123.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01329__20170123.csv,File renamed with correct date Calibration coefficients were modified,2016-05-28 14:43:00,2016-10-15 12:14:00,
2,Coastal Pioneer,CP01CNSM,MFD35,Seafloor Pressure: PRESF Series B,CP01CNSM-MFD35-02-PRESFB000,CGINS-PRESFB-01329,26P64515-1329,7,#42,2019-08-23 21:05:15.343,CGINS-PRESFB-01329__20170123.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01329__20170123.csv,File renamed with correct date Calibration coefficients were modified,2017-06-09 14:24:00,2017-11-01 20:33:00,
3,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01329,26P64515-1329,9,#42,2019-08-23 21:04:38.496,CGINS-PRESFB-01329__20171217.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01329__20171217.csv,Calibration coefficients were modified,2018-10-29 03:43:00,2019-04-06 18:51:00,
0,Coastal Pioneer,CP01CNSM,MFD35,Seafloor Pressure: PRESF Series B,CP01CNSM-MFD35-02-PRESFB000,CGINS-PRESFB-01352,26P71826-1352,1,#42,2019-08-23 21:04:24.644,CGINS-PRESFB-01352__20160714.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01352__20160714.csv,File renamed with correct date ,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01352,26P71826-1352,3,#42,2019-08-23 21:04:24.644,CGINS-PRESFB-01352__20160714.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01352__20160714.csv,File renamed with correct date ,2015-10-21 17:44:00,2016-05-14 13:45:00,
2,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01352,26P71826-1352,5,#42,2019-08-23 21:04:24.644,CGINS-PRESFB-01352__20160714.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01352__20160714.csv,File renamed with correct date ,2016-10-11 13:39:00,2017-06-15 15:56:00,
3,Coastal Pioneer,CP03ISSM,MFD35,Seafloor Pressure: PRESF Series B,CP03ISSM-MFD35-02-PRESFB000,CGINS-PRESFB-01352,26P71826-1352,7,,2019-08-23 21:05:06.872,CGINS-PRESFB-01352__20180620.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01352__20180620.csv,No errors found,2017-11-01 12:22:00,2018-03-28 16:56:00,
4,Coastal Pioneer,CP01CNSM,MFD35,Seafloor Pressure: PRESF Series B,CP01CNSM-MFD35-02-PRESFB000,CGINS-PRESFB-01352,26P71826-1352,11,,2019-08-23 21:05:06.872,CGINS-PRESFB-01352__20180620.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01352__20180620.csv,No errors found,2019-04-06 14:35:00,,
0,Coastal Pioneer,CP01CNSM,MFD35,Seafloor Pressure: PRESF Series B,CP01CNSM-MFD35-02-PRESFB000,CGINS-PRESFB-01386,26P76848-1386,2,#42,2019-08-23 21:06:20.033,CGINS-PRESFB-01386__20151217.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/PRESFB/CGINS-PRESFB-01386__20151217.csv,File renamed with correct date Calibration coefficients were modified,2014-12-13 18:47:00,2014-12-15 20:58:00,
