,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Argentine Basin,GA01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GA01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00229,229,1,39,2019-08-23 21:04:43.234,CGINS-SPKIRB-00229__20160316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00229__20160316.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Argentine Basin,GA01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GA01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00229,229,3,39,2019-08-23 21:04:43.234,CGINS-SPKIRB-00229__20160316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00229__20160316.csv,File renamed with correct date ,2016-10-27 01:47:00,2018-01-14 10:24:00,
2,Coastal Pioneer,CP03ISSM,RID26,Spectral Irradiance: SPKIR Series B,CP03ISSM-RID26-08-SPKIRB000,CGINS-SPKIRB-00229,229,10,,2019-08-23 21:05:31.690,CGINS-SPKIRB-00229__20180420.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00229__20180420.csv,No errors found,2019-04-07 14:42:00,,
0,Global Argentine Basin,GA01SUMO,RID16,Spectral Irradiance: SPKIR Series B,GA01SUMO-RID16-08-SPKIRB000,CGINS-SPKIRB-00230,230,1,39,2019-08-23 21:07:03.509,CGINS-SPKIRB-00230__20160316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00230__20160316.csv,File renamed with correct date ,2015-03-15 21:25:00,2015-11-26 10:08:00,
1,Global Argentine Basin,GA01SUMO,RID16,Spectral Irradiance: SPKIR Series B,GA01SUMO-RID16-08-SPKIRB000,CGINS-SPKIRB-00230,230,3,39,2019-08-23 21:07:03.509,CGINS-SPKIRB-00230__20160316.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00230__20160316.csv,File renamed with correct date ,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Coastal Pioneer,CP01CNSM,RID26,Spectral Irradiance: SPKIR Series B,CP01CNSM-RID26-08-SPKIRB000,CGINS-SPKIRB-00238,238,1,39,2019-08-23 21:05:11.646,CGINS-SPKIRB-00238__20130829.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00238__20130829.csv,File renamed with correct date ,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Global Argentine Basin,GA01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GA01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00238,238,2,,2019-08-23 21:04:25.173,CGINS-SPKIRB-00238__20180601.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00238__20180601.csv,No errors found,2015-11-14 21:06:00,2016-11-08 10:10:00,
2,Global Irminger Sea,GI01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GI01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00238,238,6,,2019-08-23 21:04:25.173,CGINS-SPKIRB-00238__20180601.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00238__20180601.csv,No errors found,2019-08-05 15:26:00,,
3,Coastal Pioneer,CP03ISSM,RID26,Spectral Irradiance: SPKIR Series B,CP03ISSM-RID26-08-SPKIRB000,CGINS-SPKIRB-00238,238,7,,2019-08-23 21:04:25.173,CGINS-SPKIRB-00238__20180601.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00238__20180601.csv,No errors found,2017-11-01 12:22:00,2018-03-28 16:56:00,
0,Global Irminger Sea,GI01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GI01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00239,239,1,39,2019-08-23 21:05:00.702,CGINS-SPKIRB-00239__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00239__20160203.csv,File renamed with correct date ,2014-09-10 18:50:00,2015-08-22 11:00:00,
1,Global Irminger Sea,GI01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GI01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00239,239,3,39,2019-08-23 21:05:00.702,CGINS-SPKIRB-00239__20160203.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00239__20160203.csv,File renamed with correct date ,2016-07-10 17:44:00,2017-08-14 09:33:00,
2,Global Irminger Sea,GI01SUMO,SBD11,Spectral Irradiance: SPKIR Series B,GI01SUMO-SBD11-05-SPKIRB000,CGINS-SPKIRB-00239,239,5,,2019-08-23 21:04:51.953,CGINS-SPKIRB-00239__20171116.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00239__20171116.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Coastal Pioneer,CP03ISSM,RID26,Spectral Irradiance: SPKIR Series B,CP03ISSM-RID26-08-SPKIRB000,CGINS-SPKIRB-00240,240,1,39,2019-08-23 21:04:36.090,CGINS-SPKIRB-00240__20130819.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00240__20130819.csv,File renamed with correct date ,2014-12-14 18:52:00,2014-12-30 00:00:00,
1,Global Irminger Sea,GI01SUMO,RID16,Spectral Irradiance: SPKIR Series B,GI01SUMO-RID16-08-SPKIRB000,CGINS-SPKIRB-00240,240,1,39,2019-08-23 21:04:36.090,CGINS-SPKIRB-00240__20130819.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/SPKIRB/CGINS-SPKIRB-00240__20130819.csv,File renamed with correct date ,2014-09-10 18:50:00,2015-08-22 11:00:00,
