ASSET_UID,Serial Number
#ATAPL-69140-001-120-1,120
#ATAPL-69140-001-120-2,120
A00835,138
A00838,3400
A01061,S/N 1
A01062,S/N 2
A01073,S/N 3
A01085,TAS141004
A01086,TAS141005
A01088,TAS141009
A01330,P21893-1
A01331,P28193-3
A01347,P28193-2
A01348,P27135-1
A01349,P27135-2
A01350,P27135-3
A01351,P27135-4
A01352,P27135-5
A01353,P27135-6
A01354,P27135-7
A01355,P27135-8
A01356,P27135-9
A01357,P27135-10
A01359,28194-1
A01360,28194-2
A01361,28194-3
A01362,28194-4
A01363,28194-5
A01364,28194-6
A01365,28194-7
A01366,28194-8
A01388,TAS143401
A01634,28484-1
A01635,28484-2
ATAPL-58315-00001,18478
ATAPL-58315-00002,18974
ATAPL-58315-00003,18980
ATAPL-58315-00004,23338
ATAPL-58315-00005,23339
ATAPL-58316-00001,3
ATAPL-58316-00002,4
ATAPL-58316-00003,5
ATAPL-58316-00004,7
ATAPL-58316-00005,8
ATAPL-58317-00001,101
ATAPL-58317-00002,102
ATAPL-58317-00003,103
ATAPL-58317-00004,104
ATAPL-58317-00005,107
ATAPL-58317-00006,108
ATAPL-58317-00009,114
ATAPL-58317-00010,115
ATAPL-58317-00011,116
ATAPL-58319-00001,5259243-0075
ATAPL-58320-00001,125
ATAPL-58320-00002,344
ATAPL-58320-00003,273
ATAPL-58320-00004,274
ATAPL-58320-00005,275
ATAPL-58320-00006,276
ATAPL-58320-00009,458
ATAPL-58320-00010,459
ATAPL-58320-00011,472
ATAPL-58320-00012,473
ATAPL-58320-00013,474
ATAPL-58320-00014,475
ATAPL-58320-00015,476
ATAPL-58320-00016,487
ATAPL-58322-00001,1028
ATAPL-58322-00002,1129
ATAPL-58322-00003,1130
ATAPL-58322-00004,1131
ATAPL-58322-00005,1132
ATAPL-58322-00006,1194
ATAPL-58322-00007,1195
ATAPL-58322-00009,1292
ATAPL-58322-00010,1293
ATAPL-58322-00011,1297
ATAPL-58322-00012,1294
ATAPL-58323-00001,1
ATAPL-58323-00002,2
ATAPL-58323-00003,3
ATAPL-58323-00004,4
ATAPL-58324-00001,1231
ATAPL-58324-00002,1270
ATAPL-58324-00003,1271
ATAPL-58324-00004,1272
ATAPL-58324-00005,1273
ATAPL-58324-00006,1291
ATAPL-58324-00007,1292
ATAPL-58324-00008,1361
ATAPL-58324-00009,1362
ATAPL-58324-00010,1363
ATAPL-58324-00011,1389
ATAPL-58325-00001,LTDISMS001
ATAPL-58325-00002,LTDISMS002
ATAPL-58325-00003,LTDISMS003
ATAPL-58325-00004,LTDISMS004
ATAPL-58326-00001,196
ATAPL-58328-00001,T1076
ATAPL-58328-00002,T1073
ATAPL-58328-00003,T1075
ATAPL-58328-00004,T1077
ATAPL-58328-00005,T1074
ATAPL-58328-00006,T1080
ATAPL-58328-00007,T1081
ATAPL-58329-00001,T1081
ATAPL-58329-00002,T1080
ATAPL-58331-00001,T6J67
ATAPL-58331-00002,T6J68
ATAPL-58331-00003,T6J69
ATAPL-58331-00004,T6J70
ATAPL-58331-00005,T6J71
ATAPL-58331-00006,T6J72
ATAPL-58331-00007,T6J73
ATAPL-58331-00008,T6J74
ATAPL-58331-00009,T6J75
ATAPL-58331-00010,T6J76
ATAPL-58331-00011,T6J77
ATAPL-58332-00001,ACS-134
ATAPL-58332-00002,ACS-166
ATAPL-58332-00004,ACS-186
ATAPL-58332-00005,ACS-244
ATAPL-58332-00006,ACS-251
ATAPL-58333-00001,1
ATAPL-58333-00002,2
ATAPL-58333-00003,3
ATAPL-58333-00004,4
ATAPL-58333-00005,5
ATAPL-58334-00001,1
ATAPL-58334-00002,2
ATAPL-58334-00003,3
ATAPL-58334-00004,4
ATAPL-58336-00001,C0047
ATAPL-58336-00002,C0075
ATAPL-58336-00003,C0076
ATAPL-58336-00004,C0091
ATAPL-58336-00009,C0123
ATAPL-58336-00010,C0124
ATAPL-58337-00001,P0059
ATAPL-58337-00002,P0112
ATAPL-58337-00003,P0111
ATAPL-58337-00004,P0110
ATAPL-58337-00005,P0113
ATAPL-58337-00006,P0133
ATAPL-58337-00009,P0161
ATAPL-58337-00010,P0162
ATAPL-58337-00013,P0163
ATAPL-58337-00014,P0164
ATAPL-58338-00001,
ATAPL-58338-00002,
ATAPL-58338-00003,12881-04
ATAPL-58339-00001,117164
ATAPL-58340-00001,
ATAPL-58340-00002,
ATAPL-58340-00003,12881-01
ATAPL-58341-00001,233
ATAPL-58341-00002,244
ATAPL-58341-00003,245
ATAPL-58341-00004,267
ATAPL-58341-00006,292
ATAPL-58341-00007,293
ATAPL-58342-00001,A
ATAPL-58342-00002,C
ATAPL-58342-00003,B
ATAPL-58343-00001,21968
ATAPL-58343-00002,21969
ATAPL-58343-00003,21964
ATAPL-58345-00001,61247
ATAPL-58345-00002,19073
ATAPL-58345-00003,19075
ATAPL-58345-00004,23340
ATAPL-58345-00005,23341
ATAPL-58345-00006,23342
ATAPL-58346-00001,1001
ATAPL-58346-00002,1039
ATAPL-58346-00003,1130
ATAPL-58346-00004,1148
ATAPL-58346-00005,1214
ATAPL-58346-00006,1215
ATAPL-58419-00001,18444
ATAPL-58419-00002,18975
ATAPL-58419-00003,18977
ATAPL-58693-00001,299463
ATAPL-58693-00002,299466
ATAPL-58693-00003,299467
ATAPL-58693-00004,299465
ATAPL-58693-00005,299464
ATAPL-58693-00006,299469
ATAPL-58693-00007,299468
ATAPL-58694-00001,43-2463
ATAPL-58694-00002,43-2484
ATAPL-58694-00003,43-2891
ATAPL-58694-00005,43-3163
ATAPL-58694-00006,43-3164
ATAPL-66645-00001,226
ATAPL-66645-00002,463
ATAPL-66645-00003,464
ATAPL-66645-00004,507
ATAPL-66645-00006,556
ATAPL-66645-00007,557
ATAPL-66662-00001,16-6914
ATAPL-66662-00002,16-7205
ATAPL-66662-00003,16-7232
ATAPL-66662-00004,16-7233
ATAPL-66662-00005,16-50030
ATAPL-66662-00008,16-50115
ATAPL-66662-00009,16-50118
ATAPL-66662-00010,16-50122
ATAPL-66662-00011,16-50123
ATAPL-66662-00012,16-50127
ATAPL-67596-00002,12881-03
ATAPL-67596-00003,13003-01
ATAPL-67596-0001A,12881-03
ATAPL-67627-00001,16-6943
ATAPL-67627-00002,16-7234
ATAPL-67627-00003,16-50031
ATAPL-67627-00004,16-50119
ATAPL-67627-00005,16-50128
ATAPL-67639-00001,5463757-0012
ATAPL-67639-00002,5471540-0028
ATAPL-67639-00003,5471540-0029
ATAPL-67639-00004,5471540-0030
ATAPL-67639-00005,5471540-0046
ATAPL-67639-00006,5471540-0048
ATAPL-67653-00001,1
ATAPL-67653-00002,2
ATAPL-67653-00003,3
ATAPL-67693-00001,121184
ATAPL-67693-00002,120785
ATAPL-67693-00003,120788
ATAPL-67693-00004,120798
ATAPL-67694-00001,3
ATAPL-67694-00002,4
ATAPL-67694-00003,5
ATAPL-67694-00004,7
ATAPL-67696-00001,9651
ATAPL-67696-00002,9652
ATAPL-67696-00003,9655
ATAPL-67696-00004,9656
ATAPL-67696-00005,9676
ATAPL-67977-00001,5273520-0120
ATAPL-67977-00002,5277187-0137
ATAPL-67977-00003,5277833-0139
ATAPL-67977-00004,52-0144
ATAPL-67977-00005,52-0145
ATAPL-67979-00001,10306
ATAPL-67979-00002,10311
ATAPL-67979-00003,10312
ATAPL-67979-00004,10313
ATAPL-67979-00005,10314
ATAPL-67979-00006,10349
ATAPL-67979-00007,10350
ATAPL-67979-00008,10351
ATAPL-67979-00009,10352
ATAPL-68020-00001,234
ATAPL-68020-00002,379
ATAPL-68020-00003,380
ATAPL-68020-00004,429
ATAPL-68020-00006,617
ATAPL-68020-00007,618
ATAPL-68073-00001,18471
ATAPL-68073-00002,18813
ATAPL-68073-00003,19224
ATAPL-68073-00004,23442
ATAPL-68073-00005,23443
ATAPL-69923-00001,5471540-0031
ATAPL-69923-00002,5471540-0047
ATAPL-69943-00001,ACS-141
ATAPL-69943-00002,ACS-155
ATAPL-69943-00003,ACS-156
ATAPL-69943-00004,ACS-158
ATAPL-69943-00005,ACS-157
ATAPL-69943-00006,ACS-204
ATAPL-69943-00007,ACS-247
ATAPL-69943-00008,ACS-248
ATAPL-69943-00009,ACS-250
ATAPL-69943-00012,ACS-243
ATAPL-70100-00001,101
ATAPL-70100-00002,
ATAPL-70100-00003,
ATAPL-70100-00004,
ATAPL-70109-00001,121654
ATAPL-70110-00001,FLNTURTD-3099
ATAPL-70110-00002,FLNTURTD-3397
ATAPL-70110-00003,FLNTURTD-3468
ATAPL-70110-00004,FLNTURTD-3637
ATAPL-70110-00005,FLNTURTD-3638
ATAPL-70111-00001,FLCDRTD-3098
ATAPL-70111-00002,FLCDRTD-3399
ATAPL-70111-00003,FLCDRTD-3460
ATAPL-70111-00004,FLCDRTD-3715
ATAPL-70111-00005,FLCDRTD-3716
ATAPL-70113-00001,1
ATAPL-70113-00002,4
ATAPL-70113-00003,3
ATAPL-70113-00004,2
ATAPL-70114-00001,AQS-6031/AQD 8493
ATAPL-70114-00002,AQS 6334/AQD 11653
ATAPL-70114-00003,AQS-6389/AQD 11641
ATAPL-70114-00004,AQS-6802/AQD 11930
ATAPL-70114-00006,AQS 7205/AQD 12227
ATAPL-70114-00007,AQS 7340/AQD 12469
ATAPL-70129-00001,307
ATAPL-70129-00002,308
ATAPL-70129-00003,177
ATAPL-70168-00001,SUBC12096
ATAPL-70168-00002,SUBC13115
ATAPL-70168-00003,SUBC13114
ATAPL-70248-00001,P1-SUBC13115
ATAPL-70248-00002,P2-SUBC13114
ATAPL-71553-00005,5
ATAPL-71553-00203,203
ATAPL-71553-00204,204
ATCWK-67627-00006,16-50209
