,Bottle Position,Conductivity [S/m],"Conductivity, 2 [S/m]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Cast,Cruise ID,Date Time,"Depth [salt water, m]",Hex name,Latitude [deg],Longitude [deg],"Oxygen Saturation, Garcia & Gordon [ml/l]","Pressure, Digiquartz [db]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Start Latitude,Start Longitude,Start Time,"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]"
0,1,3.455169,3.454611,19.0368, 0.8578 (avg),1,ar30-03,Jun 06 2018 09:26:42,146.727,D:\Data\ar30-03001.hex,62.7739,-28.653190000000002,6.88271,148.209,34.9512,34.9511,6.2855,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.1764,6.1704
1,2,3.4766230000000005,3.4765910000000004,19.1611, 0.8311 (avg),1,ar30-03,Jun 06 2018 09:31:25,104.726,D:\Data\ar30-03001.hex,62.774080000000005,-28.652959999999997,6.84254,105.773,34.9553,34.9554,6.3981,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.4277,6.4273
2,3,3.5055440000000004,3.505613,21.4223, 0.4769 (avg),1,ar30-03,Jun 06 2018 09:36:05,40.167,D:\Data\ar30-03001.hex,62.77418,-28.6528,6.788989999999999,40.563,34.9647,34.9645,6.6604,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.7659,6.7668
3,4,3.540467,3.5422290000000003,26.6674, 0.1282 (avg),1,ar30-03,Jun 06 2018 09:38:14,23.168000000000003,D:\Data\ar30-03001.hex,62.7742,-28.65278,6.72998,23.395,34.9734,34.9686,7.0707,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.1446,7.1685
4,5,3.558928,3.558911,28.1697, 0.1376 (avg),1,ar30-03,Jun 06 2018 09:39:31,15.343,D:\Data\ar30-03001.hex,62.77426,-28.65268,6.6980699999999995,15.493,34.9664,34.9663,7.0591,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.3552,7.3551
5,6,3.5596660000000004,3.559626,22.2056, 0.3952 (avg),1,ar30-03,Jun 06 2018 09:41:34,2.713,D:\Data\ar30-03001.hex,62.774319999999996,-28.65258,6.6958899999999995,2.739,34.9664,34.9657,7.0726,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.3695,7.3698
6,7,3.559819,3.5598339999999995,22.1383, 0.3963 (avg),1,ar30-03,Jun 06 2018 09:41:42,2.943,D:\Data\ar30-03001.hex,62.774319999999996,-28.65257,6.69567,2.972,34.9665,34.9664,7.0735,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.371,7.3712
0,1,3.491486,3.4915529999999997,16.6596, 1.5555 (avg),02b,ar30-03,Jun 06 2018 14:24:52,153.80700000000002,D:\Data\ar30-03002b.hex,62.5042,-29.798340000000003,6.8232,155.36,34.9768,34.9768,6.2735,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.5441,6.5448
1,2,3.49632,3.4963519999999995,17.7897, 1.1718 (avg),02b,ar30-03,Jun 06 2018 14:27:57,98.94200000000001,D:\Data\ar30-03002b.hex,62.504709999999996,-29.798340000000003,6.80975,99.927,34.9689,34.969,6.4129,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.6319,6.6321
2,3,3.51497,3.515027,17.3674, 1.3014 (avg),02b,ar30-03,Jun 06 2018 14:31:07,39.068000000000005,D:\Data\ar30-03002b.hex,62.505230000000005,-29.79833,6.7739199999999995,39.452,34.9736,34.9738,6.5663,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.8601,6.8605
