       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     14.134     9.2483     9.2475   3.717202   3.717383     2.2041     1.9485     0.4028    4.91365     14.000    34.7763    34.7790    1487.01    4.91340  1026.9669  1026.9692      0.143    6.43334 0.0000e+00
     15.143     9.2448     9.2440   3.716946   3.717124     2.2059     1.9725     0.4019    4.91989     15.000    34.7766    34.7793    1487.02    4.91965  1026.9724  1026.9746      0.535    6.43384 0.0000e+00
     16.153     9.2440     9.2430   3.716936   3.717092     2.2052     1.9483     0.4029    4.91833     16.000    34.7767    34.7794    1487.03    4.91808  1026.9772  1026.9795      0.715    6.43394 0.0000e+00
     17.162     9.2441     9.2430   3.716984   3.717128     2.2050     1.9335     0.4027    4.91847     17.000    34.7767    34.7793    1487.05    4.91822  1026.9817  1026.9839      0.558    6.43393 0.0000e+00
     18.172     9.2454     9.2446   3.717139   3.717318     2.2047     1.9561     0.4009    4.91807     18.000    34.7766    34.7792    1487.07    4.91782  1026.9860  1026.9882      0.543    6.43375 0.0000e+00
     19.182     9.2466     9.2453   3.717281   3.717416     2.2045     1.9417     0.4023    4.91809     19.000    34.7765    34.7791    1487.09    4.91784  1026.9904  1026.9926      0.421    6.43359 0.0000e+00
     20.191     9.2464     9.2453   3.717324   3.717469     2.2047     1.9115     0.4014    4.91916     20.000    34.7766    34.7792    1487.11    4.91891  1026.9950  1026.9972      0.565    6.43360 0.0000e+00
     21.201     9.2461     9.2454   3.717334   3.717522     2.2046     1.9150     0.4028    4.91970     21.000    34.7765    34.7792    1487.12    4.91945  1026.9995  1027.0018      0.578    6.43365 0.0000e+00
     22.211     9.2443     9.2432   3.717223   3.717374     2.2045     1.9060     0.4005    4.92012     22.000    34.7766    34.7793    1487.13    4.91987  1027.0045  1027.0068      0.602    6.43391 0.0000e+00
     23.220     9.2438     9.2428   3.717222   3.717381     2.2041     1.9148     0.4026    4.91979     23.000    34.7766    34.7793    1487.15    4.91954  1027.0093  1027.0115      0.650    6.43398 0.0000e+00
     24.230     9.2439     9.2427   3.717266   3.717422     2.2035     1.9215     0.4016    4.91878     24.000    34.7766    34.7793    1487.16    4.91853  1027.0138  1027.0161      0.418    6.43397 0.0000e+00
     25.239     9.2425     9.2414   3.717195   3.717342     2.2027     1.8462     0.4016    4.91713     25.000    34.7767    34.7792    1487.17    4.91688  1027.0187  1027.0208      0.506    6.43417 0.0000e+00
     26.249     9.2444     9.2431   3.717428   3.717523     2.2032     1.9148     0.4017    4.91892     26.000    34.7767    34.7790    1487.20    4.91867  1027.0229  1027.0249      0.575    6.43388 0.0000e+00
     27.259     9.2472     9.2468   3.717698   3.717918     2.2044     1.8895     0.4019    4.92281     27.000    34.7764    34.7791    1487.22    4.92256  1027.0269  1027.0291      0.468    6.43351 0.0000e+00
     28.268     9.2478     9.2469   3.717813   3.717984     2.2042     1.8935     0.4023    4.92276     28.000    34.7765    34.7792    1487.24    4.92251  1027.0314  1027.0336      0.731    6.43341 0.0000e+00
     29.278     9.2475     9.2465   3.717844   3.717990     2.2041     1.9099     0.4017    4.92312     29.000    34.7766    34.7792    1487.26    4.92287  1027.0361  1027.0383      0.570    6.43344 0.0000e+00
     30.288     9.2471     9.2461   3.717850   3.717993     2.2039     1.9307     0.4021    4.92337     30.000    34.7766    34.7791    1487.27    4.92312  1027.0408  1027.0428      0.537    6.43351 0.0000e+00
     31.297     9.2474     9.2464   3.717922   3.718077     2.2029     1.9312     0.4029    4.92092     31.000    34.7766    34.7792    1487.29    4.92067  1027.0453  1027.0475      0.596    6.43347 0.0000e+00
     32.307     9.2479     9.2466   3.718001   3.718133     2.2020     1.8557     0.4025    4.91881     32.000    34.7765    34.7791    1487.31    4.91856  1027.0497  1027.0519      0.343    6.43340 0.0000e+00
     33.317     9.2467     9.2460   3.717958   3.718136     2.2015     1.8787     0.4032    4.91813     33.000    34.7767    34.7792    1487.32    4.91788  1027.0547  1027.0566      0.717    6.43356 0.0000e+00
     34.326     9.2466     9.2459   3.717997   3.718168     2.2014     1.8867     0.4030    4.91876     34.000    34.7767    34.7792    1487.34    4.91851  1027.0592  1027.0613      0.667    6.43357 0.0000e+00
     35.336     9.2465     9.2462   3.718017   3.718250     2.2015     1.9268     0.4016    4.91961     35.000    34.7766    34.7793    1487.35    4.91936  1027.0637  1027.0658      0.564    6.43360 0.0000e+00
     36.346     9.2412     9.2412   3.717608   3.717776     2.2010     1.9571     0.4025    4.91944     36.000    34.7770    34.7787    1487.35    4.91919  1027.0696  1027.0708      0.360    6.43434 0.0000e+00
     37.355     9.2272     9.2303   3.716380   3.717082     2.2002     1.9742     0.4015    4.91914     37.000    34.7774    34.7816    1487.31    4.91889  1027.0767  1027.0795      0.587    6.43633 0.0000e+00
     38.365     9.1310     9.1367   3.707708   3.709753     2.1998     1.8822     0.4019    4.92937     38.000    34.7803    34.7961    1486.98    4.92912  1027.0991  1027.1107      0.766    6.45006 0.0000e+00
     39.375     8.5807     8.5994   3.659203   3.663282     2.1912     1.7310     0.3893    4.96694     39.000    34.8094    34.8343    1484.99    4.96670  1027.2141  1027.2307      0.443    6.52929 0.0000e+00
     40.385     7.7621     7.7657   3.586633   3.589113     2.1711     1.5521     0.3536    5.00295     40.000    34.8460    34.8692    1481.97    5.00273  1027.3728  1027.3906      0.570    6.65006 0.0000e+00
     41.394     6.9823     6.9785   3.517426   3.522900     2.1582     1.0571     0.2851    5.05815     41.000    34.8751    34.9393    1479.02    5.05794  1027.5121  1027.5631      0.719    6.76994 0.0000e+00
     42.404     6.2644     6.2608   3.455064   3.456156     2.1365     0.6362     0.2499    5.08011     42.000    34.9138    34.9299    1476.29    5.07992  1027.6456  1027.6587      0.674    6.88240 0.0000e+00
     43.414     5.9055     5.9050   3.422698   3.423362     2.1160     0.4105     0.1804    5.06235     43.000    34.9180    34.9260    1474.88    5.06217  1027.7001  1027.7064      0.365    6.94092 0.0000e+00
     44.423     5.7657     5.7649   3.410099   3.410511     2.1040     0.3586     0.1481    5.04297     44.000    34.9190    34.9246    1474.34    5.04279  1027.7234  1027.7278      0.716    6.96392 0.0000e+00
     45.433     5.7266     5.7256   3.406836   3.406977     2.0987     0.2815     0.1356    5.03177     45.000    34.9220    34.9246    1474.21    5.03159  1027.7352  1027.7374      0.629    6.97028 0.0000e+00
     46.443     5.6795     5.6792   3.402923   3.403194     2.0913     0.2930     0.1289    5.01503     46.000    34.9256    34.9290    1474.04    5.01485  1027.7488  1027.7515      0.381    6.97792 0.0000e+00
     47.453     5.6427     5.6423   3.399625   3.399869     2.0841     0.2700     0.1250    4.99788     47.000    34.9258    34.9290    1473.91    4.99771  1027.7582  1027.7607      0.543    6.98404 0.0000e+00
     48.462     5.6160     5.6151   3.397303   3.397602     2.0802     0.2352     0.1244    4.98961     48.000    34.9264    34.9308    1473.82    4.98944  1027.7666  1027.7701      0.725    6.98845 0.0000e+00
     49.472     5.5707     5.5701   3.392984   3.393437     2.0758     0.2105     0.1233    4.98218     49.000    34.9236    34.9294    1473.65    4.98201  1027.7747  1027.7793      0.783    6.99613 0.0000e+00
     50.482     5.5151     5.5256   3.387779   3.388981     2.0708     0.2238     0.1226    4.97397     50.000    34.9213    34.9241    1473.44    4.97380  1027.7844  1027.7854      0.301    7.00552 0.0000e+00
     51.492     5.5084     5.5086   3.387776   3.387602     2.0660     0.2344     0.1222    4.96016     51.000    34.9278    34.9255    1473.44    4.96000  1027.7950  1027.7932      0.921    7.00636 0.0000e+00
     52.501     5.5607     5.5582   3.393382   3.393255     2.0661     0.2044     0.1201    4.95429     52.000    34.9370    34.9381    1473.68    4.95412  1027.8005  1027.8018      0.939    6.99719 0.0000e+00
     53.511     5.5398     5.5440   3.391237   3.391937     2.0646     0.1818     0.1167    4.95294     53.000    34.9336    34.9373    1473.61    4.95277  1027.8052  1027.8075      0.425    7.00083 0.0000e+00
     54.521     5.4282     5.4121   3.379951   3.379727     2.0601     0.2010     0.1162    4.95363     54.000    34.9199    34.9342    1473.16    4.95346  1027.8127  1027.8259      0.739    7.02018 0.0000e+00
     55.531     5.3389     5.3365   3.371645   3.371549     2.0560     0.1913     0.1155    4.95262     55.000    34.9171    34.9185    1472.81    4.95245  1027.8260  1027.8274      0.896    7.03532 0.0000e+00
     56.541     5.3327     5.3314   3.371234   3.371358     2.0539     0.1889     0.1157    4.94735     56.000    34.9183    34.9211    1472.80    4.94718  1027.8324  1027.8347      0.564    7.03630 0.0000e+00
     57.550     5.3022     5.3052   3.368284   3.369013     2.0528     0.1783     0.1132    4.94848     57.000    34.9156    34.9210    1472.69    4.94832  1027.8387  1027.8425      0.445    7.04158 0.0000e+00
     58.560     5.2452     5.2437   3.363047   3.363452     2.0513     0.1633     0.1120    4.95170     58.000    34.9144    34.9206    1472.47    4.95154  1027.8492  1027.8544      1.084    7.05128 0.0000e+00
     59.570     5.2000     5.2003   3.359293   3.359646     2.0506     0.1497     0.1108    4.95574     59.000    34.9177    34.9214    1472.31    4.95558  1027.8621  1027.8649      1.185    7.05878 0.0000e+00
     60.580     5.1752     5.1743   3.356997   3.357345     2.0488     0.1355     0.1083    4.95375     60.000    34.9166    34.9215    1472.23    4.95359  1027.8688  1027.8728      1.075    7.06303 0.0000e+00
     61.590     5.1760     5.1844   3.356799   3.357701     2.0451     0.1214     0.1083    4.94273     61.000    34.9130    34.9146    1472.24    4.94257  1027.8705  1027.8708      0.134    7.06308 0.0000e+00
     62.599     5.1451     5.1491   3.353974   3.354831     2.0456     0.1121     0.1066    4.94869     62.000    34.9121    34.9179    1472.13    4.94853  1027.8782  1027.8823      1.170    7.06836 0.0000e+00
     63.609     5.1173     5.1163   3.351603   3.351730     2.0453     0.1037     0.1056    4.95206     63.000    34.9133    34.9157    1472.04    4.95190  1027.8871  1027.8892      1.301    7.07304 0.0000e+00
     64.619     5.1189     5.1177   3.351864   3.351923     2.0451     0.0964     0.1059    4.95182     64.000    34.9140    34.9159    1472.06    4.95167  1027.8922  1027.8938      1.140    7.07272 0.0000e+00
     65.629     5.1234     5.1233   3.352550   3.352573     2.0443     0.0962     0.1040    4.94909     65.000    34.9167    34.9171    1472.10    4.94893  1027.8984  1027.8987      0.665    7.07183 0.0000e+00
     66.639     5.1529     5.1516   3.355452   3.355476     2.0431     0.1154     0.1045    4.94222     66.000    34.9189    34.9205    1472.24    4.94206  1027.9012  1027.9027      0.076    7.06672 0.0000e+00
     67.649     5.1653     5.1664   3.357198   3.357280     2.0425     0.1018     0.1028    4.93901     67.000    34.9255    34.9253    1472.31    4.93885  1027.9097  1027.9094      1.037    7.06430 0.0000e+00
     68.658     5.1614     5.1648   3.357044   3.357833     2.0430     0.0939     0.1027    4.94182     68.000    34.9273    34.9329    1472.32    4.94167  1027.9163  1027.9203      1.162    7.06488 0.0000e+00
     69.668     5.1051     5.1029   3.351502   3.351843     2.0422     0.0872     0.1022    4.94715     69.000    34.9216    34.9278    1472.10    4.94700  1027.9232  1027.9283      1.004    7.07472 0.0000e+00
     70.678     5.0988     5.1003   3.350878   3.351141     2.0386     0.0814     0.1016    4.93711     70.000    34.9204    34.9219    1472.09    4.93695  1027.9276  1027.9287      0.321    7.07584 0.0000e+00
     71.688     5.1641     5.1631   3.357891   3.357587     2.0369     0.0815     0.1019    4.92380     71.000    34.9326    34.9302    1472.38    4.92364  1027.9341  1027.9324      0.878    7.06417 0.0000e+00
     72.698     5.1633     5.1625   3.358030   3.358125     2.0380     0.0656     0.1008    4.92794     72.000    34.9345    34.9365    1472.40    4.92778  1027.9404  1027.9421      1.203    7.06422 0.0000e+00
     73.708     5.1472     5.1461   3.356667   3.356770     2.0381     0.0702     0.1054    4.93094     73.000    34.9351    34.9375    1472.35    4.93078  1027.9475  1027.9495      1.153    7.06693 0.0000e+00
     74.718     5.1266     5.1259   3.354856   3.354966     2.0366     0.0744     0.1009    4.92937     74.000    34.9352    34.9373    1472.28    4.92922  1027.9547  1027.9564      0.631    7.07043 0.0000e+00
     75.728     5.1117     5.1131   3.353487   3.353753     2.0340     0.0671     0.1008    4.92365     75.000    34.9345    34.9360    1472.24    4.92349  1027.9606  1027.9617      0.187    7.07300 0.0000e+00
     76.737     5.1102     5.1089   3.353447   3.353407     2.0328     0.0749     0.1000    4.92060     76.000    34.9350    34.9359    1472.25    4.92045  1027.9659  1027.9667      0.656    7.07323 0.0000e+00
     77.747     5.1108     5.1097   3.353579   3.353556     2.0321     0.0559     0.1001    4.91872     77.000    34.9354    34.9362    1472.27    4.91857  1027.9708  1027.9716      0.777    7.07311 0.0000e+00
     78.757     5.0986     5.0972   3.352486   3.352559     2.0317     0.0683     0.0999    4.91993     78.000    34.9350    34.9373    1472.23    4.91978  1027.9766  1027.9786      0.539    7.07521 0.0000e+00
     79.767     5.0920     5.0853   3.352281   3.351175     2.0303     0.0683     0.0997    4.91659     79.000    34.9389    34.9332    1472.23    4.91644  1027.9851  1027.9813      0.421    7.07615 0.0000e+00
     80.777     5.2107     5.2079   3.364527   3.364299     2.0315     0.0682     0.0996    4.90560     80.000    34.9557    34.9560    1472.75    4.90544  1027.9889  1027.9894      0.806    7.05520 0.0000e+00
     81.787     5.2169     5.2187   3.365279   3.365441     2.0317     0.0568     0.0986    4.90611     81.000    34.9574    34.9573    1472.79    4.90595  1027.9940  1027.9938      0.576    7.05407 0.0000e+00
     82.797     5.2290     5.2275   3.366632   3.366638     2.0279     0.0472     0.0981    4.89305     82.000    34.9597    34.9614    1472.86    4.89290  1027.9991  1028.0006      0.400    7.05191 0.0000e+00
     83.807     5.2088     5.2010   3.364669   3.364134     2.0253     0.0561     0.0981    4.88796     83.000    34.9577    34.9597    1472.79    4.88780  1028.0046  1028.0072      0.675    7.05543 0.0000e+00
     84.817     5.1573     5.1673   3.359575   3.360997     2.0228     0.0449     0.0984    4.88728     84.000    34.9523    34.9582    1472.59    4.88713  1028.0112  1028.0148      0.482    7.06443 0.0000e+00
     85.827     5.0844     5.0764   3.352255   3.351543     2.0194     0.0452     0.0977    4.88626     85.000    34.9434    34.9436    1472.30    4.88611  1028.0177  1028.0188      0.384    7.07723 0.0000e+00
     86.837     5.0890     5.0870   3.352739   3.352486     2.0197     0.0702     0.0986    4.88736     86.000    34.9437    34.9429    1472.34    4.88721  1028.0220  1028.0216      0.719    7.07643 0.0000e+00
     87.847     5.1120     5.1117   3.355198   3.355003     2.0207     0.0684     0.0982    4.88805     87.000    34.9475    34.9455    1472.45    4.88790  1028.0269  1028.0254      0.913    7.07235 0.0000e+00
     88.856     5.1267     5.1257   3.356769   3.356783     2.0212     0.0499     0.0983    4.88849     88.000    34.9498    34.9509    1472.53    4.88833  1028.0316  1028.0326      0.689    7.06974 0.0000e+00
     89.866     5.1225     5.1211   3.356413   3.356341     2.0203     0.0476     0.0986    4.88663     89.000    34.9495    34.9501    1472.53    4.88648  1028.0365  1028.0371      0.087    7.07046 0.0000e+00
     90.876     5.1152     5.1144   3.355755   3.356025     2.0195     0.0591     0.0984    4.88565     90.000    34.9490    34.9530    1472.51    4.88550  1028.0417  1028.0449      1.048    7.07173 0.0000e+00
     91.886     5.0878     5.0866   3.353330   3.353247     2.0189     0.0423     0.0981    4.88802     91.000    34.9491    34.9494    1472.42    4.88787  1028.0497  1028.0500      1.054    7.07638 0.0000e+00
     92.896     5.0930     5.0921   3.353898   3.353897     2.0180     0.0471     0.0982    4.88516     92.000    34.9497    34.9506    1472.46    4.88500  1028.0542  1028.0551      0.615    7.07548 0.0000e+00
     93.906     5.0876     5.0888   3.353387   3.353590     2.0166     0.0445     0.0984    4.88174     93.000    34.9489    34.9500    1472.45    4.88159  1028.0590  1028.0596      0.224    7.07643 0.0000e+00
     94.916     5.0784     5.0769   3.352607   3.352556     2.0163     0.0443     0.0980    4.88255     94.000    34.9490    34.9499    1472.43    4.88240  1028.0648  1028.0657      0.733    7.07800 0.0000e+00
     95.926     5.0418     5.0418   3.349017   3.349416     2.0158     0.0453     0.0976    4.88642     95.000    34.9452    34.9498    1472.29    4.88627  1028.0708  1028.0745      0.510    7.08442 0.0000e+00
     96.936     4.9710     4.9704   3.342130   3.342138     2.0137     0.0539     0.0982    4.88940     96.000    34.9391    34.9398    1472.01    4.88925  1028.0791  1028.0797      0.658    7.09681 0.0000e+00
     97.946     4.9857     4.9852   3.343684   3.343701     2.0135     0.0538     0.0980    4.88751     97.000    34.9411    34.9419    1472.09    4.88736  1028.0836  1028.0842      0.868    7.09418 0.0000e+00
     98.956     5.0013     5.0007   3.345384   3.345369     2.0144     0.0441     0.0979    4.88905     98.000    34.9440    34.9444    1472.17    4.88890  1028.0887  1028.0891      0.415    7.09139 0.0000e+00
     99.966     5.0140     5.0112   3.346843   3.346728     2.0148     0.0438     0.0983    4.88911     99.000    34.9470    34.9486    1472.25    4.88895  1028.0942  1028.0958      0.562    7.08907 0.0000e+00
    100.976     4.9887     4.9871   3.344455   3.344486     2.0140     0.0400     0.0985    4.89050    100.000    34.9454    34.9474    1472.16    4.89035  1028.1006  1028.1024      0.894    7.09348 0.0000e+00
    101.986     4.9749     4.9739   3.343134   3.343199     2.0131     0.0469     0.0977    4.89014    101.000    34.9440    34.9458    1472.12    4.88999  1028.1058  1028.1074      0.928    7.09591 0.0000e+00
    102.996     4.9590     4.9570   3.341594   3.341632     2.0123     0.0360     0.0975    4.89004    102.000    34.9423    34.9448    1472.07    4.88989  1028.1111  1028.1133      0.729    7.09871 0.0000e+00
    104.006     4.9389     4.9380   3.339639   3.339618     2.0112     0.0284     0.0975    4.88995    103.000    34.9401    34.9409    1472.00    4.88980  1028.1163  1028.1171      0.228    7.10225 0.0000e+00
