       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     12.116    10.9390    10.9303   3.889276   3.888817     2.2187     1.5913     0.4682    4.76717     12.000    34.9049    34.9086    1493.21    4.76690  1026.7671  1026.7716     -0.020    6.19392 0.0000e+00
     13.126    10.9333    10.9347   3.888932   3.889266     2.2234     1.5652     0.4497    4.78141     13.000    34.9064    34.9085    1493.21    4.78114  1026.7739  1026.7753      0.030    6.19463 0.0000e+00
     14.136    10.9757    10.9705   3.892941   3.892964     2.2267     1.3950     0.4508    4.78668     14.000    34.9056    34.9109    1493.37    4.78641  1026.7701  1026.7751      0.490    6.18898 0.0000e+00
     15.146    10.9559    10.9503   3.891252   3.890794     2.2260     1.4623     0.4479    4.78751     15.000    34.9072    34.9079    1493.32    4.78723  1026.7795  1026.7811      0.593    6.19158 0.0000e+00
     16.155    10.9259    10.9253   3.888403   3.888615     2.2246     1.5080     0.4440    4.78721     16.000    34.9068    34.9095    1493.23    4.78693  1026.7892  1026.7914      0.373    6.19560 0.0000e+00
     17.165    10.9271    10.9262   3.888535   3.888688     2.2224     1.5920     0.4440    4.78166     17.000    34.9065    34.9090    1493.25    4.78139  1026.7933  1026.7954      0.676    6.19545 0.0000e+00
     18.175    10.9267    10.9258   3.888527   3.888697     2.2234     1.5892     0.4378    4.78502     18.000    34.9063    34.9090    1493.27    4.78474  1026.7977  1026.8000      0.626    6.19551 0.0000e+00
     19.185    10.9251    10.9241   3.888419   3.888571     2.2219     1.5680     0.4372    4.78173     19.000    34.9064    34.9088    1493.28    4.78145  1026.8026  1026.8048      0.413    6.19573 0.0000e+00
     20.195    10.9246    10.9237   3.888422   3.888586     2.2207     1.5689     0.4310    4.77899     20.000    34.9064    34.9089    1493.29    4.77872  1026.8073  1026.8094      0.535    6.19579 0.0000e+00
     21.204    10.9240    10.9229   3.888420   3.888564     2.2203     1.5618     0.4289    4.77867     21.000    34.9065    34.9090    1493.31    4.77840  1026.8120  1026.8142      0.691    6.19587 0.0000e+00
     22.214    10.9239    10.9228   3.888452   3.888599     2.2192     1.5299     0.4212    4.77613     22.000    34.9064    34.9090    1493.32    4.77586  1026.8165  1026.8187      0.525    6.19589 0.0000e+00
     23.224    10.9236    10.9227   3.888470   3.888628     2.2176     1.5308     0.4189    4.77232     23.000    34.9064    34.9090    1493.34    4.77204  1026.8212  1026.8234      0.392    6.19593 0.0000e+00
     24.234    10.9235    10.9225   3.888516   3.888669     2.2166     1.5356     0.4145    4.77029     24.000    34.9065    34.9090    1493.35    4.77002  1026.8258  1026.8279      0.591    6.19593 0.0000e+00
     25.243    10.9234    10.9225   3.888556   3.888717     2.2183     1.5142     0.4116    4.77551     25.000    34.9066    34.9091    1493.37    4.77523  1026.8304  1026.8325      0.675    6.19595 0.0000e+00
     26.253    10.9232    10.9222   3.888577   3.888748     2.2152     1.5076     0.4094    4.76774     26.000    34.9066    34.9092    1493.39    4.76746  1026.8350  1026.8372      0.422    6.19598 0.0000e+00
     27.263    10.9220    10.9210   3.888535   3.888711     2.2137     1.4994     0.4006    4.76427     27.000    34.9068    34.9095    1493.40    4.76400  1026.8400  1026.8423      0.560    6.19613 0.0000e+00
     28.273    10.9197    10.9170   3.888417   3.888461     2.2149     1.4297     0.3921    4.76832     28.000    34.9074    34.9104    1493.41    4.76805  1026.8453  1026.8481      0.762    6.19642 0.0000e+00
     29.283    10.9162    10.9151   3.888175   3.888332     2.2137     1.3702     0.3766    4.76592     29.000    34.9079    34.9105    1493.41    4.76565  1026.8510  1026.8531      0.458    6.19687 0.0000e+00
     30.293    10.8978    10.8972   3.886660   3.887087     2.2130     1.3158     0.3646    4.76650     30.000    34.9097    34.9146    1493.37    4.76623  1026.8602  1026.8641      0.526    6.19925 0.0000e+00
     31.302    10.6961    10.6940   3.869924   3.870944     2.2103     1.1281     0.3355    4.77999     31.000    34.9339    34.9461    1492.70    4.77972  1026.9199  1026.9298      0.561    6.22549 0.0000e+00
     32.312    10.3786    10.3776   3.843077   3.844181     2.1991     0.8997     0.2943    4.78165     32.000    34.9669    34.9790    1491.63    4.78138  1027.0065  1027.0161      0.412    6.26734 0.0000e+00
     33.322     9.5766     9.5779   3.769292   3.772593     2.1822     0.6943     0.2560    4.81983     33.000    34.9879    35.0206    1488.78    4.81958  1027.1650  1027.1904      0.613    6.37803 0.0000e+00
     34.332     9.1799     9.1783   3.734983   3.735950     2.1659     0.4616     0.2077    4.81605     34.000    35.0192    35.0309    1487.39    4.81581  1027.2599  1027.2693      0.618    6.43321 0.0000e+00
     35.342     9.0558     9.0541   3.723183   3.723305     2.1503     0.3646     0.1877    4.78515     35.000    35.0174    35.0203    1486.95    4.78491  1027.2833  1027.2859      0.427    6.45110 0.0000e+00
     36.352     8.9484     8.9501   3.713587   3.714487     2.1420     0.3377     0.1803    4.77328     36.000    35.0221    35.0299    1486.57    4.77304  1027.3090  1027.3148      0.585    6.46644 0.0000e+00
     37.361     8.5992     8.5998   3.682481   3.684164     2.1334     0.3310     0.1778    4.78692     37.000    35.0389    35.0562    1485.31    4.78670  1027.3823  1027.3958      0.490    6.51674 0.0000e+00
