       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
   1006.049     3.8258     3.8250   3.275721   3.275902     1.8033     0.0407     0.0847    4.88518    994.000    34.8924    34.8954    1481.99    4.88506  1032.3583  1032.3607     -0.647    7.30012 0.0000e+00
   1005.034     3.8280     3.8275   3.275991   3.276152     1.8055     0.0316     0.0848    4.89238    993.000    34.8938    34.8963    1481.99    4.89226  1032.3544  1032.3564      0.226    7.29965 0.0000e+00
   1004.020     3.8284     3.8266   3.275934   3.276004     1.8055     0.0352     0.0849    4.89195    992.000    34.8932    34.8959    1481.97    4.89183  1032.3492  1032.3516     -0.631    7.29961 0.0000e+00
   1003.005     3.8273     3.8261   3.275794   3.275906     1.8059     0.0352     0.0848    4.89278    991.000    34.8932    34.8959    1481.95    4.89266  1032.3447  1032.3470     -0.808    7.29980 0.0000e+00
   1001.991     3.8268     3.8258   3.275709   3.275826     1.8061     0.0237     0.0851    4.89292    990.000    34.8933    34.8958    1481.93    4.89280  1032.3402  1032.3423     -0.556    7.29989 0.0000e+00
   1000.976     3.8265     3.8258   3.275621   3.275776     1.8061     0.0220     0.0848    4.89250    989.000    34.8931    34.8957    1481.91    4.89238  1032.3354  1032.3376     -0.532    7.29996 0.0000e+00
    999.962     3.8252     3.8247   3.275428   3.275634     1.8066     0.0341     0.0847    4.89394    988.000    34.8926    34.8956    1481.89    4.89382  1032.3307  1032.3331     -0.879    7.30021 0.0000e+00
    998.947     3.8241     3.8223   3.275257   3.275324     1.8064     0.0219     0.1082    4.89275    987.000    34.8923    34.8950    1481.87    4.89263  1032.3259  1032.3282     -1.117    7.30042 0.0000e+00
    997.933     3.8219     3.8209   3.274956   3.275091     1.8071     0.0475     0.0849    4.89486    986.000    34.8916    34.8943    1481.84    4.89474  1032.3210  1032.3232     -1.170    7.30085 0.0000e+00
    996.918     3.8211     3.8199   3.274819   3.274931     1.8075     0.0372     0.0850    4.89603    985.000    34.8914    34.8939    1481.82    4.89591  1032.3163  1032.3185     -0.998    7.30102 0.0000e+00
    995.904     3.8205     3.8194   3.274714   3.274821     1.8079     0.0352     0.0848    4.89688    984.000    34.8913    34.8937    1481.80    4.89676  1032.3116  1032.3137     -0.689    7.30113 0.0000e+00
    994.889     3.8205     3.8199   3.274658   3.274812     1.8086     0.0351     0.0847    4.89894    983.000    34.8911    34.8935    1481.79    4.89882  1032.3069  1032.3090     -0.711    7.30113 0.0000e+00
    993.875     3.8208     3.8200   3.274595   3.274774     1.8092     0.0353     0.0847    4.90043    982.000    34.8906    34.8936    1481.77    4.90031  1032.3019  1032.3043     -0.986    7.30111 0.0000e+00
    992.860     3.8207     3.8200   3.274550   3.274696     1.8096     0.0348     0.0847    4.90134    981.000    34.8907    34.8932    1481.75    4.90122  1032.2972  1032.2993     -1.154    7.30112 0.0000e+00
    991.846     3.8204     3.8198   3.274469   3.274636     1.8100     0.0348     0.0847    4.90218    980.000    34.8905    34.8932    1481.74    4.90206  1032.2926  1032.2948     -1.190    7.30117 0.0000e+00
    990.831     3.8203     3.8195   3.274410   3.274556     1.8105     0.0293     0.0849    4.90316    979.000    34.8905    34.8930    1481.72    4.90303  1032.2880  1032.2900     -1.083    7.30120 0.0000e+00
    989.817     3.8195     3.8188   3.274283   3.274442     1.8109     0.0292     0.0847    4.90439    978.000    34.8903    34.8929    1481.70    4.90426  1032.2832  1032.2854     -0.970    7.30134 0.0000e+00
    988.802     3.8189     3.8181   3.274161   3.274328     1.8113     0.0292     0.0849    4.90514    977.000    34.8900    34.8928    1481.68    4.90502  1032.2784  1032.2808     -1.009    7.30147 0.0000e+00
    987.788     3.8185     3.8173   3.274083   3.274202     1.8119     0.0287     0.0847    4.90681    976.000    34.8900    34.8927    1481.66    4.90668  1032.2739  1032.2762     -1.031    7.30154 0.0000e+00
    986.773     3.8173     3.8148   3.273914   3.273917     1.8124     0.0346     0.0848    4.90816    975.000    34.8898    34.8925    1481.64    4.90804  1032.2693  1032.2717     -0.960    7.30177 0.0000e+00
    985.759     3.8146     3.8127   3.273560   3.273623     1.8129     0.0357     0.0847    4.90970    974.000    34.8890    34.8917    1481.61    4.90958  1032.2644  1032.2667     -0.933    7.30230 0.0000e+00
    984.744     3.8123     3.8111   3.273271   3.273398     1.8134     0.0348     0.0847    4.91131    973.000    34.8886    34.8913    1481.58    4.91119  1032.2596  1032.2620     -1.017    7.30274 0.0000e+00
    983.730     3.8122     3.8102   3.273198   3.273229     1.8138     0.0354     0.0847    4.91211    972.000    34.8883    34.8908    1481.57    4.91199  1032.2549  1032.2570     -1.082    7.30276 0.0000e+00
    982.716     3.8113     3.8099   3.273050   3.273143     1.8145     0.0407     0.0847    4.91423    971.000    34.8881    34.8906    1481.54    4.91411  1032.2501  1032.2523     -1.078    7.30294 0.0000e+00
    981.701     3.8108     3.8096   3.272951   3.273062     1.8149     0.0368     0.0848    4.91535    970.000    34.8879    34.8905    1481.53    4.91523  1032.2455  1032.2476     -1.047    7.30303 0.0000e+00
    980.687     3.8105     3.8096   3.272875   3.272993     1.8158     0.0274     0.0847    4.91787    969.000    34.8878    34.8902    1481.51    4.91775  1032.2408  1032.2428     -1.030    7.30309 0.0000e+00
    979.672     3.8103     3.8096   3.272805   3.272954     1.8163     0.0358     0.0847    4.91933    968.000    34.8877    34.8903    1481.49    4.91921  1032.2361  1032.2382     -0.971    7.30313 0.0000e+00
    978.658     3.8102     3.8095   3.272753   3.272897     1.8174     0.0414     0.0847    4.92279    967.000    34.8878    34.8902    1481.47    4.92267  1032.2316  1032.2335     -0.865    7.30315 0.0000e+00
    977.643     3.8100     3.8090   3.272666   3.272822     1.8175     0.0404     0.0847    4.92255    966.000    34.8875    34.8904    1481.46    4.92243  1032.2267  1032.2291     -0.969    7.30321 0.0000e+00
    976.629     3.8085     3.8058   3.272465   3.272458     1.8180     0.0360     0.0847    4.92386    965.000    34.8872    34.8899    1481.43    4.92373  1032.2220  1032.2245     -1.155    7.30348 0.0000e+00
    975.615     3.8062     3.8035   3.272188   3.272163     1.8185     0.0354     0.0849    4.92555    964.000    34.8868    34.8894    1481.41    4.92543  1032.2174  1032.2197     -1.204    7.30391 0.0000e+00
    974.600     3.8037     3.8019   3.271875   3.271946     1.8191     0.0353     0.0859    4.92756    963.000    34.8863    34.8891    1481.38    4.92744  1032.2126  1032.2151     -1.096    7.30439 0.0000e+00
