       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
      3.029     9.0255     9.0066   3.701374   3.699345     3.4664     0.5427     1.0326     0.5760    86.5891    34.8341 1.2483e+03 9.5400e-02      3.000    34.8341    34.8313     6.9099    1486.14
      4.038     9.0328     9.0325   3.702082   3.701812     3.4653     0.5465     1.0487     0.5752    86.6054    34.8338 1.2781e+03 9.5400e-02      4.000    34.8338    34.8313     6.9069    1486.18
      5.048     9.0206     9.0192   3.701006   3.700709     3.4651     0.4843     1.0065     0.5757    86.5952    34.8341 1.2800e+03 9.5400e-02      5.000    34.8341    34.8323     6.9095    1486.15
      6.057     9.0110     9.0091   3.700193   3.699832     3.4649     0.5879     1.0175     0.5820    86.4598    34.8344 1.2867e+03 9.5400e-02      6.000    34.8344    34.8325     6.9113    1486.14
      7.067     9.0091     9.0060   3.700009   3.699507     3.4649     0.6178     1.0009     0.5803    86.4954    34.8339 1.2793e+03 9.5400e-02      7.000    34.8339    34.8316     6.9125    1486.14
      8.076     8.9954     9.0045   3.698872   3.699373     3.4662     0.6694     1.0133     0.5783    86.5400    34.8349 1.2986e+03 9.5400e-02      8.000    34.8349    34.8312     6.9186    1486.11
      9.086     8.9860     8.9838   3.697988   3.697687     3.4683     0.7257     1.0178     0.5840    86.4158    34.8344 1.3120e+03 9.5400e-02      9.000    34.8344    34.8334     6.9262    1486.09
     10.095     8.9576     8.9596   3.695402   3.695428     3.4688     0.7560     1.0188     0.5859    86.3743    34.8346 1.3135e+03 9.5400e-02     10.000    34.8346    34.8330     6.9329    1486.01
     11.105     8.8118     8.7971   3.682028   3.681452     3.4667     0.8811     1.0226     0.5912    86.2603    34.8367 1.3072e+03 9.5400e-02     11.000    34.8367    34.8451     6.9522    1485.49
     12.114     8.7472     8.6670   3.676347   3.668028     3.4607     1.3117     1.0187     0.6065    85.9307    34.8399 1.3047e+03 9.5406e-02     12.000    34.8399    34.8312     6.9490    1485.27
     13.124     8.8319     8.7825   3.683433   3.678873     3.4662     1.5653     1.0187     0.6155    85.7380    34.8308 1.2920e+03 9.5400e-02     13.000    34.8308    34.8314     6.9497    1485.59
     14.133     8.5134     8.4876   3.654580   3.652878     3.4585     1.4843     1.0179     0.6166    85.7152    34.8394 1.2988e+03 9.5400e-02     14.000    34.8394    34.8467     6.9839    1484.43
     15.143     8.4143     8.4136   3.645311   3.645262     3.4517     2.0363     1.0313     0.6247    85.5405    34.8384 1.3021e+03 9.5400e-02     15.000    34.8384    34.8385     6.9845    1484.08
