       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
      3.029     8.4112     8.4064   3.535116   3.644501     3.7035     1.6208     1.0451     0.4721    88.8679    33.6781 1.9082e+02 9.5400e-02      3.000    33.6781    34.8435     7.6433    1482.43
      4.038     8.4089     8.4089   3.607784   3.644706     3.8116     1.6439     1.0420     0.4718    88.8733    34.4501 1.9015e+02 9.5400e-02      4.000    34.4501    34.8427     7.8702    1483.40
      5.048     8.4088     8.4076   3.629626   3.644700     3.9529     1.5862     1.0294     0.4703    88.9065    34.6819 1.9029e+02 9.5400e-02      5.000    34.6819    34.8434     8.2035    1483.70
      6.057     8.4078     8.4075   3.631332   3.644741     4.0377     1.6073     1.0673     0.4729    88.8494    34.7005 1.9077e+02 9.5400e-02      6.000    34.7005    34.8435     8.4100    1483.73
      7.067     8.4058     8.4050   3.620912   3.644593     4.5445     1.6840     1.0259     0.4682    88.9543    34.5912 1.8992e+02 9.5400e-02      7.000    34.5912    34.8438     9.6521    1483.61
      8.076     8.4083     8.4092   3.638642   3.645042     4.6946     1.8611     1.0421     0.4681    88.9557    34.7768 1.8831e+02 9.5400e-02      8.000    34.7768    34.8440    10.0064    1483.86
      9.086     8.4088     8.4083   3.640778   3.645025     4.7317     1.8592     1.0430     0.4895    88.4830    34.7985 1.8875e+02 9.5400e-02      9.000    34.7985    34.8442    10.0963    1483.91
     10.095     8.4078     8.4077   3.642807   3.645011     4.7606     1.8543     1.0509     0.4690    88.9374    34.8207 1.8948e+02 9.5400e-02     10.000    34.8207    34.8443    10.1669    1483.95
     11.105     8.4080     8.4081   3.640936   3.645084     3.9102     1.7254     1.0385     0.4735    88.8358    34.8001 1.8960e+02 9.5400e-02     11.000    34.8001    34.8441     8.0997    1483.94
     12.115     8.4067     8.4061   3.644270   3.644961     3.4989     1.7700     1.0310     0.4675    88.9690    34.8363 1.8902e+02 9.5400e-02     12.000    34.8363    34.8442     7.0981    1484.00
     13.124     8.4056     8.4056   3.644462   3.644958     3.3257     1.8244     1.0362     0.4688    88.9405    34.8389 1.8846e+02 9.5400e-02     13.000    34.8389    34.8443     6.6775    1484.01
     14.134     8.4057     8.4056   3.644849   3.644996     3.2273     1.8182     1.0469     0.4672    88.9767    34.8425 1.8669e+02 9.5400e-02     14.000    34.8425    34.8442     6.4387    1484.03
     15.143     8.4055     8.4069   3.645170   3.645161     3.1615     1.7660     1.0330     0.4657    89.0100    34.8456 1.8817e+02 9.5400e-02     15.000    34.8456    34.8442     6.2792    1484.05
     16.153     8.4055     8.4058   3.645380   3.645113     3.1164     1.7308     1.0412     0.4631    89.0685    34.8474 1.8875e+02 9.5400e-02     16.000    34.8474    34.8442     6.1701    1484.07
     17.162     8.4076     8.4094   3.645581   3.645457     3.0660     1.7599     1.0238     0.4660    89.0021    34.8470 1.8585e+02 9.5400e-02     17.000    34.8470    34.8438     6.0478    1484.10
     18.172     8.4082     8.3967   3.645563   3.644512     3.0041     1.7220     1.0238     0.4680    88.9592    34.8457 1.8512e+02 9.5400e-02     18.000    34.8457    34.8458     5.8977    1484.11
     19.182     8.3763     8.2843   3.645609   3.635280     2.9572     1.7445     1.0249     0.4590    89.1582    34.8773 1.8514e+02 9.5400e-02     19.000    34.8773    34.8584     5.7875    1484.05
     20.191     8.1695     8.0774   3.644062   3.616937     2.9352     1.7671     1.0412     0.4481    89.4031    35.0664 1.8647e+02 9.5400e-02     20.000    35.0664    34.8674     5.7558    1483.53
     21.201     7.9302     7.8706   3.617555   3.598110     2.9442     1.6041     1.0122     0.4137    90.1749    35.0207 1.8485e+02 9.5400e-02     21.000    35.0207    34.8708     5.8134    1482.59
     22.210     7.6796     7.6330   3.587406   3.576679     3.0008     1.4437     1.0067     0.3892    90.7278    34.9460 1.8351e+02 9.5400e-02     22.000    34.9460    34.8765     5.9925    1481.56
     23.220     7.5028     7.5203   3.567647   3.566290     3.1113     1.2550     1.0015     0.3651    91.2770    34.9088 1.8337e+02 9.5400e-02     23.000    34.9088    34.8764     6.2955    1480.86
     24.230     7.3693     7.3669   3.554365   3.552305     3.1691     1.2049     0.9939     0.3593    91.4105    34.8980 1.8171e+02 9.5400e-02     24.000    34.8980    34.8779     6.4615    1480.35
     25.239     7.0168     7.0334   3.528711   3.525301     3.1840     1.1279     1.0055     0.3577    91.4467    34.9729 1.8278e+02 9.5400e-02     25.000    34.9729    34.9184     6.5529    1479.10
     26.249     6.7681     6.7494   3.501456   3.497952     3.1892     0.9403     0.9863     0.3150    92.4282    34.9243 1.8261e+02 9.5400e-02     26.000    34.9243    34.9045     6.6092    1478.09
     27.259     6.3883     6.3584   3.468745   3.464634     3.1860     0.7884     0.9874     0.2940    92.9145    34.9478 1.8064e+02 9.5400e-02     27.000    34.9478    34.9324     6.6638    1476.66
     28.268     5.9358     5.9269   3.427019   3.424889     3.1674     0.5326     0.9773     0.2623    93.6535    34.9434 1.8036e+02 9.5400e-02     28.000    34.9434    34.9285     6.6930    1474.88
     29.278     5.5382     5.5557   3.392479   3.394023     3.1513     0.4873     0.9632     0.2441    94.0794    34.9621 1.8038e+02 9.5400e-02     29.000    34.9621    34.9617     6.7196    1473.33
     30.288     4.8875     4.8920   3.335823   3.335581     3.1423     0.3754     0.9583     0.2305    94.4011    34.9893 1.7968e+02 9.5400e-02     30.000    34.9893    34.9816     6.8094    1470.76
     31.297     4.8294     4.8290   3.329448   3.328306     3.1234     0.2709     0.9515     0.2039    95.0306    34.9756 1.7941e+02 9.5400e-02     31.000    34.9756    34.9628     6.7707    1470.52
     32.307     4.8864     4.8366   3.333173   3.328317     3.1080     0.2176     0.9369     0.2038    95.0321    34.9585 1.7879e+02 9.5400e-02     32.000    34.9585    34.9543     6.7214    1470.75
     33.317     4.8350     4.7979   3.328474   3.324908     3.0960     0.2232     0.9487     0.2028    95.0567    34.9573 1.7941e+02 9.5400e-02     33.000    34.9573    34.9548     6.6994    1470.55
     34.326     4.7747     4.7741   3.323108   3.322503     3.0897     0.1943     0.9440     0.1962    95.2137    34.9577 1.7738e+02 9.5400e-02     34.000    34.9577    34.9513     6.6941    1470.32
     35.336     4.7398     4.7396   3.319828   3.319247     3.0847     0.1647     0.9254     0.1842    95.4993    34.9556 1.7584e+02 9.5400e-02     35.000    34.9556    34.9491     6.6878    1470.20
     36.346     4.7237     4.7235   3.318161   3.317658     3.0824     0.1685     0.9232     0.1798    95.6045    34.9526 1.7582e+02 9.5400e-02     36.000    34.9526    34.9469     6.6854    1470.14
     37.355     4.7210     4.7081   3.317652   3.315935     3.0804     0.1658     0.9294     0.1773    95.6649    34.9489 1.7723e+02 9.5400e-02     37.000    34.9489    34.9425     6.6815    1470.14
     38.365     4.6709     4.6712   3.313078   3.312694     3.0803     0.1565     0.9339     0.1736    95.7521    34.9478 1.7486e+02 9.5400e-02     38.000    34.9478    34.9430     6.6911    1469.95
     39.375     4.6641     4.6637   3.312418   3.312097     3.0793     0.1447     0.9280     0.1687    95.8694    34.9467 1.7319e+02 9.5400e-02     39.000    34.9467    34.9434     6.6906    1469.94
     40.384     4.6327     4.6323   3.309853   3.309538     3.0790     0.1380     0.9202     0.1673    95.9030    34.9493 1.7440e+02 9.5400e-02     40.000    34.9493    34.9460     6.6961    1469.83
     41.394     4.6346     4.6246   3.309910   3.308734     3.0759     0.1292     0.9172     0.1659    95.9369    34.9474 1.7536e+02 9.5400e-02     41.000    34.9474    34.9441     6.6884    1469.85
