       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
   2542.409     2.9122     2.9113   3.260561   3.260085     2.1524     0.0432     0.9251     0.1264    96.8902    34.9290 1.5311e+03 9.5400e-02   2505.000    34.9290    34.9244     6.1144    1504.23
   2541.388     2.9124     2.9124   3.260563   3.260161     2.1520     0.0453     0.9204     0.1264    96.8902    34.9294 1.3829e+03 9.5400e-02   2504.000    34.9294    34.9246     6.1117    1504.21
   2540.368     2.9127     2.9125   3.260531   3.260160     2.1520     0.0350     0.9266     0.1264    96.8902    34.9291 1.3849e+03 9.5400e-02   2503.000    34.9291    34.9250     6.1109    1504.19
   2539.347     2.9127     2.9124   3.260487   3.260102     2.1520     0.0348     0.9272     0.1265    96.8877    34.9292 1.3829e+03 9.5400e-02   2502.000    34.9292    34.9248     6.1101    1504.18
   2538.326     2.9123     2.9121   3.260427   3.260048     2.1519     0.0348     0.9266     0.1270    96.8748    34.9293 1.3872e+03 9.5400e-02   2501.000    34.9293    34.9250     6.1089    1504.16
   2537.305     2.9119     2.9119   3.260342   3.259975     2.1520     0.0348     0.9265     0.1274    96.8641    34.9292 1.3882e+03 9.5400e-02   2500.000    34.9292    34.9248     6.1086    1504.14
   2536.284     2.9111     2.9107   3.260257   3.259857     2.1521     0.0371     0.9277     0.1264    96.8886    34.9294 1.4605e+03 9.5400e-02   2499.000    34.9294    34.9251     6.1084    1504.12
   2535.263     2.9107     2.9083   3.260137   3.259571     2.1525     0.0346     0.9284     0.1263    96.8913    34.9290 1.5264e+03 9.5400e-02   2498.000    34.9290    34.9247     6.1093    1504.10
   2534.242     2.9086     2.9061   3.259891   3.259267     2.1528     0.0348     0.9199     0.1261    96.8958    34.9286 1.5360e+03 9.5400e-02   2497.000    34.9286    34.9239     6.1101    1504.07
   2533.221     2.9035     2.9030   3.259283   3.258876     2.1529     0.0348     0.9200     0.1264    96.8884    34.9273 1.5461e+03 9.5400e-02   2496.000    34.9273    34.9230     6.1106    1504.03
   2532.200     2.9024     2.9014   3.259119   3.258648     2.1533     0.0546     0.9298     0.1264    96.8902    34.9269 1.5537e+03 9.5400e-02   2495.000    34.9269    34.9224     6.1114    1504.01
   2531.179     2.9023     2.9013   3.259068   3.258572     2.1533     0.0508     0.9306     0.1263    96.8918    34.9269 1.5592e+03 9.5400e-02   2494.000    34.9269    34.9220     6.1106    1503.99
   2530.158     2.9020     2.9018   3.258967   3.258576     2.1535     0.0347     0.9277     0.1264    96.8901    34.9264 1.5561e+03 9.5400e-02   2493.000    34.9264    34.9220     6.1105    1503.97
   2529.137     2.9021     2.9016   3.258934   3.258532     2.1536     0.0348     0.9216     0.1264    96.8902    34.9265 1.5629e+03 9.5400e-02   2492.000    34.9265    34.9222     6.1105    1503.96
   2528.116     2.9015     2.9011   3.258814   3.258427     2.1539     0.0348     0.9200     0.1264    96.8902    34.9262 1.5768e+03 9.5400e-02   2491.000    34.9262    34.9220     6.1107    1503.94
   2527.095     2.9011     2.9009   3.258748   3.258373     2.1545     0.0348     0.9200     0.1264    96.8902    34.9262 1.6149e+03 9.5400e-02   2490.000    34.9262    34.9220     6.1125    1503.92
   2526.075     2.9006     2.9001   3.258663   3.258260     2.1562     0.0348     0.9220     0.1264    96.8902    34.9263 1.8188e+03 9.5400e-02   2489.000    34.9263    34.9219     6.1181    1503.90
   2525.054     2.9009     2.9006   3.258625   3.258238     2.1560     0.0348     0.9275     0.1264    96.8902    34.9259 1.8099e+03 9.5400e-02   2488.000    34.9259    34.9216     6.1167    1503.88
   2524.033     2.9006     2.9004   3.258540   3.258163     2.1560     0.0348     0.9274     0.1264    96.8902    34.9257 1.8102e+03 9.5400e-02   2487.000    34.9257    34.9215     6.1157    1503.86
   2523.012     2.9006     2.9005   3.258478   3.258089     2.1566     0.0456     0.9206     0.1264    96.8902    34.9255 1.8099e+03 9.5400e-02   2486.000    34.9255    34.9209     6.1172    1503.84
   2521.991     2.9007     2.9005   3.258439   3.258059     2.1567     0.0433     0.9218     0.1264    96.8902    34.9253 1.8054e+03 9.5400e-02   2485.000    34.9253    34.9210     6.1167    1503.83
   2520.970     2.9011     2.9012   3.258411   3.258051     2.1570     0.0352     0.9262     0.1264    96.8902    34.9251 1.8048e+03 9.5400e-02   2484.000    34.9251    34.9207     6.1173    1503.81
   2519.949     2.9010     2.9019   3.258376   3.258080     2.1571     0.0449     0.9163     0.1264    96.8902    34.9253 1.8036e+03 9.5400e-02   2483.000    34.9253    34.9207     6.1168    1503.79
   2518.928     2.9027     2.9028   3.258487   3.258133     2.1574     0.0398     0.9221     0.1263    96.8926    34.9252 1.8116e+03 9.5400e-02   2482.000    34.9252    34.9209     6.1170    1503.78
   2517.908     2.9037     2.9019   3.258525   3.258027     2.1582     0.0348     0.9284     0.1264    96.8902    34.9251 1.8274e+03 9.5400e-02   2481.000    34.9251    34.9210     6.1188    1503.77
   2516.887     2.9029     2.9032   3.258439   3.258079     2.1583     0.0348     0.9178     0.1264    96.8902    34.9254 1.8562e+03 9.5400e-02   2480.000    34.9254    34.9208     6.1188    1503.75
   2515.866     2.9036     2.9036   3.258459   3.258081     2.1590     0.0348     0.9240     0.1263    96.8909    34.9254 1.8950e+03 9.5400e-02   2479.000    34.9254    34.9208     6.1206    1503.74
   2514.845     2.9054     2.9040   3.258576   3.258103     2.1596     0.0411     0.9262     0.1263    96.8924    34.9253 1.9112e+03 9.5400e-02   2478.000    34.9253    34.9211     6.1217    1503.73
   2513.824     2.9059     2.9051   3.258582   3.258133     2.1602     0.0377     0.9227     0.1264    96.8902    34.9254 1.8991e+03 9.5400e-02   2477.000    34.9254    34.9208     6.1229    1503.71
   2512.803     2.9060     2.9057   3.258534   3.258145     2.1599     0.0459     0.9313     0.1260    96.8996    34.9251 1.8819e+03 9.5400e-02   2476.000    34.9251    34.9208     6.1209    1503.69
