,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Start Time,Cast #,Bottle Salinity [psu],Bottle Oxy [mL/L],Bottle Nitrate + Nitrite [µmol/L],Bottle Ammonium [µmol/L],Bottle Phosphate [µmol/L],Bottle Silicate [µmol/L],Bottle Nitrite [µmol/L],Bottle Nitrate [µmol/L]
0,1,Jul 06 2017 23:39:38,305.42400000000004,302.863,39.88712,-71.36012,8.2413,8.2419,3.672995,3.670923,35.1655,35.1428,1.6161,6.55704,0.1732,95.7628 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
1,2,Jul 06 2017 23:43:52,280.064,277.733,39.88712,-71.36012,8.6133,8.6153,3.704244,3.706693,35.139,35.1629,1.9525,6.50402,0.1719,95.7945 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
2,3,Jul 06 2017 23:46:53,239.547,237.577,39.88712,-71.36014,9.9069,9.9174,3.8272180000000002,3.83811,35.1665,35.268,1.7288,6.32078,0.17,95.8381 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,4,Jul 06 2017 23:49:19,204.555,202.889,39.88712,-71.36014,10.6219,10.6233,3.911485,3.911304,35.3454,35.3422,2.5495,6.21697,0.168,95.8875 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,5,Jul 06 2017 23:51:56,179.138,177.69099999999997,39.88714,-71.36014,11.2733,11.2787,3.980344,3.9805550000000003,35.4183,35.4152,2.6887,6.1285,0.1667,95.9183 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,6,Jul 06 2017 23:56:09,138.845,137.736,39.8871,-71.36012,12.1869,12.1882,4.074497,4.074299,35.4901,35.4869,3.4805,6.00934,0.1664,95.9258 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
6,7,Jul 06 2017 23:59:11,103.73700000000001,102.91799999999999,39.8871,-71.36014,12.4195,12.4085,4.090826,4.089482,35.4437,35.4411,3.8716,5.98209,0.1683,95.8786 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,8,Jul 07 2017 00:01:54,78.658,78.041,39.88712,-71.36012,12.3134,12.3131,4.0648,4.064373000000001,35.3025,35.2987,4.1255,6.00061,0.1742,95.7391 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,9,Jul 07 2017 00:05:17,53.622,53.205,39.88714,-71.36013,12.0988,12.1,4.005337,4.005199,34.937,34.9346,4.3265,6.04139,0.212,94.8379 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,10,Jul 07 2017 00:07:52,38.593,38.294000000000004,39.88713,-71.36012,12.468,12.4705,4.0099860000000005,4.009991,34.6454,34.6431,4.6155,6.006130000000001,0.2811,93.2137 (avg),D:\Data\ar20001.hex,39 53.23 N,071 21.61 W,2017-07-06T23:27:03Z,999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
