       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    800.000     4.4589     4.4594   3.327880   3.327887     2.1284    -0.3930     0.3677    34.9439 6.8068e+02    790.777    34.9441    34.9437     5.8830    1481.60    27.6993    27.6989
    799.000     4.4596     4.4608   3.327893   3.327948     2.1284    -0.3938     0.3628    34.9438 6.9469e+02    789.791    34.9441    34.9435     5.8821    1481.59    27.6992    27.6986
    798.000     4.4611     4.4622   3.328003   3.328078     2.1284    -0.3938     0.3652    34.9441 7.0608e+02    788.804    34.9443    34.9441     5.8811    1481.58    27.6992    27.6989
    797.000     4.4604     4.4615   3.327845   3.327936     2.1284    -0.3938     0.3677    34.9440 7.1560e+02    787.818    34.9437    34.9436     5.8805    1481.56    27.6988    27.6986
    796.000     4.4588     4.4595   3.327627   3.327673     2.1282    -0.3938     0.3678    34.9435 7.2381e+02    786.831    34.9434    34.9431     5.8794    1481.53    27.6987    27.6984
    795.000     4.4580     4.4581   3.327503   3.327498     2.1277    -0.3949     0.3678    34.9435 7.3612e+02    785.844    34.9433    34.9431     5.8767    1481.51    27.6987    27.6985
    794.000     4.4500     4.4456   3.326549   3.326039     2.1285    -0.3938     0.3678    34.9418 7.4621e+02    784.858    34.9410    34.9397     5.8802    1481.46    27.6978    27.6971
    793.000     4.4468     4.4371   3.326104   3.325097     2.1285    -0.3938     0.3678    34.9412 7.4783e+02    783.871    34.9397    34.9381     5.8800    1481.43    27.6970    27.6969
    792.000     4.4279     4.4261   3.324118   3.323896     2.1285    -0.4079     0.3678    34.9388 7.4857e+02    782.885    34.9368    34.9361     5.8823    1481.33    27.6968    27.6965
    791.000     4.4309     4.4276   3.324400   3.324044     2.1299    -0.3940     0.3676    34.9382 7.4044e+02    781.898    34.9376    34.9369     5.8864    1481.33    27.6971    27.6969
    790.000     4.4323     4.4319   3.324493   3.324411     2.1310    -0.3939     0.3692    34.9382 7.2723e+02    780.911    34.9376    34.9371     5.8892    1481.32    27.6969    27.6966
    789.000     4.4304     4.4243   3.324181   3.323543     2.1311    -0.3938     0.3677    34.9378 7.3091e+02    779.925    34.9365    34.9355     5.8890    1481.29    27.6962    27.6961
    788.000     4.4207     4.4159   3.323056   3.322587     2.1316    -0.3938     0.3678    34.9360 7.3695e+02    778.938    34.9341    34.9336     5.8919    1481.23    27.6954    27.6955
    787.000     4.4198     4.4214   3.323029   3.323058     2.1321    -0.4004     0.3678    34.9353 7.4339e+02    777.951    34.9352    34.9338     5.8930    1481.21    27.6964    27.6951
    786.000     4.4243     4.4262   3.323328   3.323406     2.1327    -0.4136     0.3678    34.9345 7.5051e+02    776.965    34.9345    34.9334     5.8938    1481.21    27.6953    27.6942
    785.000     4.4307     4.4347   3.323946   3.324148     2.1335    -0.4101     0.3678    34.9345 7.5715e+02    775.978    34.9355    34.9336     5.8946    1481.23    27.6954    27.6935
