       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2995.000     1.4993     1.5010   3.150423   3.150617     1.6056    -0.3719     0.4705    34.8868 1.0496e+03   2945.904    34.8867    34.8872     5.7752    1505.75    27.9350    27.9353
   2994.000     1.4998     1.5021   3.150410   3.150684     1.6060    -0.3697     0.4641    34.8865 1.0519e+03   2944.927    34.8864    34.8874     5.7763    1505.73    27.9348    27.9354
   2993.000     1.4999     1.5020   3.150361   3.150660     1.5853    -0.3787     0.4611    34.8862 1.0327e+03   2943.950    34.8862    34.8876     5.6669    1505.71    27.9346    27.9356
   2992.000     1.5004     1.5038   3.150224   3.150751     1.5445    -0.4038     0.4633    34.8844 1.0214e+03   2942.974    34.8844    34.8873     5.4522    1505.70    27.9331    27.9352
   2991.000     1.5015     1.5063   3.150211   3.150947     1.5628    -0.3738     0.4647    34.8835 1.0203e+03   2941.997    34.8836    34.8875     5.5477    1505.68    27.9323    27.9352
   2990.000     1.5057     1.5142   3.150205   3.151608     1.5662    -0.3861     0.4545    34.8792 1.0176e+03   2941.020    34.8794    34.8877     5.5640    1505.68    27.9287    27.9348
   2989.000     1.5140     1.5203   3.150181   3.152129     1.5706    -0.3700     0.4521    34.8704 1.0194e+03   2940.043    34.8707    34.8879     5.5854    1505.69    27.9212    27.9345
   2988.000     1.5201     1.5293   3.150140   3.152876     1.5683    -0.3848     0.4441    34.8637 1.0189e+03   2939.066    34.8641    34.8880     5.5718    1505.69    27.9154    27.9340
   2987.000     1.5312     1.5491   3.150126   3.154588     1.5643    -0.3725     0.4409    34.8518 1.0247e+03   2938.090    34.8525    34.8883     5.5486    1505.70    27.9053    27.9328
   2986.000     1.5463     1.5694   3.150140   3.156383     1.5608    -0.3592     0.4289    34.8358 1.0256e+03   2937.113    34.8368    34.8891     5.5279    1505.73    27.8916    27.9321
   2985.000     1.5642     1.5719   3.150113   3.156585     1.5550    -0.3822     0.4210    34.8167 1.0157e+03   2936.136    34.8178    34.8894     5.4944    1505.77    27.8751    27.9321
   2984.000     1.5739     1.6000   3.150083   3.158848     1.5488    -0.3837     0.4170    34.8064 1.0189e+03   2935.159    34.8076    34.8876     5.4601    1505.78    27.8662    27.9287
   2983.000     1.6102     1.6347   3.150359   3.162047     1.5463    -0.3797     0.4101    34.7699 1.0215e+03   2934.182    34.7725    34.8902     5.4419    1505.87    27.8355    27.9283
   2982.000     1.6509     1.6829   3.151448   3.166400     1.5448    -0.3930     0.4068    34.7379 1.0215e+03   2933.205    34.7429    34.8926     5.4280    1506.00    27.8088    27.9268
   2981.000     1.6760     1.7043   3.152996   3.168253     1.5442    -0.3740     0.4036    34.7304 1.0201e+03   2932.228    34.7356    34.8928     5.4205    1506.08    27.8011    27.9254
   2980.000     1.6931     1.7072   3.153488   3.168510     1.5454    -0.3868     0.3965    34.7201 1.0187e+03   2931.251    34.7238    34.8934     5.4236    1506.12    27.7904    27.9257
   2979.000     1.7037     1.7160   3.152753   3.169258     1.5481    -0.3840     0.3902    34.7012 1.0167e+03   2930.274    34.7040    34.8936     5.4361    1506.12    27.7738    27.9252
   2978.000     1.6808     1.7178   3.151539   3.169396     1.5537    -0.3737     0.3877    34.7123 1.0156e+03   2929.298    34.7140    34.8938     5.4678    1506.02    27.7834    27.9252
   2977.000     1.6403     1.7148   3.150608   3.169012     1.5604    -0.3812     0.3894    34.7456 1.0201e+03   2928.321    34.7462    34.8927     5.5073    1505.87    27.8121    27.9246
   2976.000     1.6915     1.7587   3.150808   3.172863     1.5613    -0.3886     0.3825    34.6920 1.0224e+03   2927.344    34.6945    34.8935     5.5050    1506.01    27.7670    27.9220
   2975.000     1.7361     1.7831   3.151308   3.175007     1.5614    -0.3725     0.3824    34.6492 1.0225e+03   2926.367    34.6535    34.8941     5.4991    1506.13    27.7309    27.9207
   2974.000     1.7754     1.7990   3.152463   3.176402     1.5611    -0.3743     0.3824    34.6203 1.0199e+03   2925.390    34.6264    34.8947     5.4910    1506.25    27.7063    27.9200
   2973.000     1.7909     1.8086   3.153548   3.177284     1.5604    -0.3809     0.3829    34.6186 1.0152e+03   2924.413    34.6237    34.8957     5.4845    1506.30    27.7030    27.9202
   2972.000     1.7983     1.8062   3.152759   3.176970     1.5599    -0.3823     0.3797    34.6035 1.0092e+03   2923.436    34.6066    34.8948     5.4807    1506.29    27.6887    27.9196
   2971.000     1.7719     1.8014   3.151894   3.176473     1.5583    -0.3748     0.3765    34.6221 1.0125e+03   2922.459    34.6245    34.8944     5.4754    1506.18    27.7050    27.9196
   2970.000     1.8078     1.8274   3.152347   3.178739     1.5563    -0.3926     0.3681    34.5884 1.0196e+03   2921.482    34.5924    34.8948     5.4597    1506.28    27.6766    27.9180
