,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Cruise ID,Start Time,Cast #,Bottle Salinity [psu],Bottle Oxy [mL/L]
0,1,Jun 06 2018 09:26:42,148.209,146.727,62.7739,-28.653190000000002,6.1764,6.1704,3.455169,3.454611,34.9512,34.9511,6.2855,6.88271,19.0368, 0.8578 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
1,2,Jun 06 2018 09:31:25,105.773,104.726,62.774080000000005,-28.652959999999997,6.4277,6.4273,3.4766230000000005,3.4765910000000004,34.9553,34.9554,6.3981,6.84254,19.1611, 0.8311 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
2,3,Jun 06 2018 09:36:05,40.563,40.167,62.77418,-28.6528,6.7659,6.7668,3.5055440000000004,3.505613,34.9647,34.9645,6.6604,6.788989999999999,21.4223, 0.4769 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
3,4,Jun 06 2018 09:38:14,23.395,23.168000000000003,62.7742,-28.65278,7.1446,7.1685,3.540467,3.5422290000000003,34.9734,34.9686,7.0707,6.72998,26.6674, 0.1282 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
4,5,Jun 06 2018 09:39:31,15.493,15.343,62.77426,-28.65268,7.3552,7.3551,3.558928,3.558911,34.9664,34.9663,7.0591,6.6980699999999995,28.1697, 0.1376 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
5,6,Jun 06 2018 09:41:34,2.739,2.713,62.774319999999996,-28.65258,7.3695,7.3698,3.5596660000000004,3.559626,34.9664,34.9657,7.0726,6.6958899999999995,22.2056, 0.3952 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
6,7,Jun 06 2018 09:41:42,2.972,2.943,62.774319999999996,-28.65257,7.371,7.3712,3.559819,3.5598339999999995,34.9665,34.9664,7.0735,6.69567,22.1383, 0.3963 (avg),D:\Data\ar30-03001.hex,62 46.29 N,028 39.40 W,ar30-03,2018-06-06T08:16:04Z,001,-9999999,-9999999
7,1,Jun 06 2018 14:24:52,155.36,153.80700000000002,62.5042,-29.798340000000003,6.5441,6.5448,3.491486,3.4915529999999997,34.9768,34.9768,6.2735,6.8232,16.6596, 1.5555 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
8,2,Jun 06 2018 14:27:57,99.927,98.94200000000001,62.504709999999996,-29.798340000000003,6.6319,6.6321,3.49632,3.4963519999999995,34.9689,34.969,6.4129,6.80975,17.7897, 1.1718 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
9,3,Jun 06 2018 14:31:07,39.452,39.068000000000005,62.505230000000005,-29.79833,6.8601,6.8605,3.51497,3.515027,34.9736,34.9738,6.5663,6.7739199999999995,17.3674, 1.3014 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
10,4,Jun 06 2018 14:33:15,26.291999999999998,26.037,62.50557,-29.79836,7.1968,7.2022,3.5455,3.546033,34.9744,34.9748,6.9243,6.72192,17.4135, 1.2887 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
11,5,Jun 06 2018 14:35:02,14.527999999999999,14.388,62.50585,-29.798340000000003,7.2909,7.2913,3.55365,3.5536980000000002,34.9743,34.9744,7.0344,6.70754,16.9543, 1.4429 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
12,6,Jun 06 2018 14:36:21,4.687,4.6419999999999995,62.50603,-29.798309999999997,7.3049,7.3048,3.554467,3.554497,34.974,34.9743,7.0305,6.7054100000000005,17.1284, 1.3822 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
13,7,Jun 06 2018 14:36:29,4.574,4.53,62.50605,-29.7983,7.3049,7.305,3.554469,3.5545129999999996,34.9741,34.9744,7.0371,6.7054100000000005,17.2774, 1.3312 (avg),D:\Data\ar30-03002b.hex,62 30.13 N,029 47.90 W,ar30-03,2018-06-06T14:12:41Z,02b,-9999999,-9999999
14,1,Jun 12 2018 20:13:25,1010.2139999999999,998.2739999999999,59.842969999999994,-39.19984,3.6772,3.6773,3.26281,3.262895,34.8944,34.8952,6.2388,7.306889999999999,55.262,-0.6742 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.765
15,2,Jun 12 2018 20:48:49,911.7689999999999,901.204,59.84336,-39.20811,3.7496,3.7493,3.265482,3.265517,34.9,34.9007,6.1939,7.29375,55.262,-0.8022 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.697
16,3,Jun 12 2018 20:52:04,810.669,801.4689999999999,59.84335,-39.209109999999995,3.8682,3.8682,3.272221,3.2722900000000004,34.9067,34.9075,6.1146,7.27245,55.262,-0.6921 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.612
17,4,Jun 12 2018 20:55:16,709.6489999999999,701.765,59.843309999999995,-39.21017,4.0153,4.0154,3.281044,3.2811169999999996,34.908,34.9087,6.1,7.24653,55.262,-0.7393 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.602
18,5,Jun 12 2018 20:58:40,607.952,601.344,59.843340000000005,-39.2112,4.2349,4.2351,3.296664,3.2967370000000003,34.9132,34.9138,6.0311,7.2079699999999995,55.262,-0.6358 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.55
19,6,Jun 12 2018 21:01:52,507.191,501.8,59.84333,-39.212140000000005,4.4493,4.4493,3.3114559999999997,3.311526,34.9136,34.9143,5.988,7.17092,55.262,-0.8416 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.464
20,7,Jun 12 2018 21:05:16,405.945,401.728,59.8433,-39.21326,4.5567,4.5568,3.3154790000000003,3.3155699999999997,34.9006,34.9015,5.9876,7.153110000000001,55.262,-0.7421 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.464
21,8,Jun 12 2018 21:08:40,304.45,301.361,59.8434,-39.21434,4.63,4.63,3.31566,3.315743,34.8791,34.8801,6.0621,7.141610000000001,55.262,-0.4720 (avg),D:\Data\ar30-03010.hex,59 50.67 N,039 11.81 W,ar30-03,2018-06-12T19:51:22Z,010,-9999999,6.546
