,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Start Time,Cast #,Discrete Salinity [psu],Discrete Oxygen [mL/L],Discrete Nitrate+Nitrite [µM/L],Discrete Ammonium [µM/L],Discrete Phosphate [µM/L],Discrete Silicate [µM/L],Discrete Nitrite [µM/L],Discrete Nitrate [µM/L],Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Chl quality flag
0,1,2014-04-12T18:14:00Z,90.718,90.001,40.36166,-70.77197,5.05,5.2542,3.19234,3.218524,33.1311,33.2283,6.6363,7.1538,0.3267,92.1575 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,33.0886,7.316,2.04949557733684,2.37758696871932,0.692730769230769,0.992036011080332,<0.015,2.03449557733684,1.619683492317959,0.645979062908254,1.0
1,2,2014-04-12T18:14:09Z,90.823,90.105,40.36166,-70.77198,4.9394,5.187,3.185822,3.206726,33.1661,33.1603,6.4294,7.170960000000001,0.3622,91.3633 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,33.0933,7.0760000000000005,2.00441596939995,2.33526343105625,0.72075,1.04494459833795,<0.015,1.98941596939995,2.0122344390799376,0.8057824742292994,1.0
2,3,2014-04-12T18:18:21Z,51.425,51.023,40.36166,-70.77198,4.9974,4.9989,3.178876,3.179077,33.0484,33.0492,7.0568,7.16667,0.1511,96.2937 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,33.035,7.292000000000001,0.684559407124074,0.771284233412821,0.375576923076923,0.0380941828254848,<0.015,0.669559407124074,0.3789858584814233,0.10501714576170655,1.0
3,4,2014-04-12T18:18:32Z,51.69,51.286,40.36166,-70.77198,5.016,5.0114,3.17867,3.178866,33.0274,33.0343,7.0752,7.1645,0.1521,96.2681 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,33.036,7.274,0.700825245039445,0.746885958759994,0.401807692307692,0.0317451523545706,<0.015,0.685825245039446,0.5063170860664518,0.13511066967726648,1.0
4,5,2014-04-12T18:22:10Z,26.715,26.507,40.36166,-70.77199,5.5665,5.5637,3.220398,3.2203310000000003,32.9739,32.9759,7.1601,7.07405,0.2532,93.8761 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,32.9782,7.341,0.124085106382979,0.48647172113901,0.31775,<0.030,<0.015,0.109085106382979,0.6791251748865653,0.12861222374287729,1.0
5,6,2014-04-12T18:22:21Z,26.808000000000003,26.6,40.36166,-70.77199999999999,5.5634,5.5678,3.220174,3.220768,32.9743,32.9768,7.1647,7.07454,0.2327,94.3495 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,32.9777,7.3629999999999995,0.14964570882142,0.706554116986955,0.431019230769231,<0.030,<0.015,0.13464570882142,0.7700030140574947,0.1369070695796231,1.0
6,7,2014-04-12T18:25:16Z,6.714,6.662000000000001,40.36166,-70.77198,5.9768,5.9596,3.2564450000000003,3.255135,32.9893,32.9915,7.1846,7.0053899999999985,0.2558,93.8056 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,32.9935,7.353,0.257929715515181,0.539749586197223,0.334442307692308,<0.030,<0.015,0.24292971551518,0.526870551936476,0.11455720380724224,1.0
7,8,2014-04-12T18:25:27Z,6.76,6.707999999999998,40.36166,-70.77199999999999,5.8953,5.8948,3.2494810000000003,3.249591,32.9906,32.9924,7.1908,7.0187300000000015,0.2532,93.8670 (avg),C:\Data\ctd\kn217001.hex,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,32.9942,7.357,0.259788668419794,0.623898737550849,0.324307692307692,<0.030,<0.015,0.244788668419794,0.5198522952979312,0.10848212279169277,1.0
8,1,2014-04-13T18:00:29Z,145.688,144.52,40.09324,-70.87536,10.9919,10.9916,3.913031,3.913154,35.0319,35.0333,5.3981,6.18038,0.1763,95.6884 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,35.0356,5.5760000000000005,10.0109261295721,0.130456080796746,0.779173076923077,4.2575540166205,0.317,9.69392612957208,0.04885128771202483,0.16388275016009504,2.0
9,1,2014-04-13T18:00:29Z,145.688,144.52,40.09324,-70.87536,10.9919,10.9916,3.913031,3.913154,35.0319,35.0333,5.3981,6.18038,0.1763,95.6884 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,35.0356,5.5760000000000005,10.0109261295721,0.130456080796746,0.779173076923077,4.2575540166205,0.317,9.69392612957208,0.14363797946715848,0.18662361046020648,1.0
10,2,2014-04-13T18:00:39Z,145.614,144.446,40.09324,-70.87536,10.9913,10.9912,3.912959,3.913107,35.0317,35.0333,5.3975,6.18046,0.1815,95.5631 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,35.0356,5.665,10.1424470475735,0.317177570486744,0.776788461538462,4.40993074792244,0.328,9.81444704757351,0.0611105462253087,0.15437844916023197,2.0
11,2,2014-04-13T18:00:39Z,145.614,144.446,40.09324,-70.87536,10.9913,10.9912,3.912959,3.913107,35.0317,35.0333,5.3975,6.18046,0.1815,95.5631 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,35.0356,5.665,10.1424470475735,0.317177570486744,0.776788461538462,4.40993074792244,0.328,9.81444704757351,0.14452595634946347,0.1888912727804909,1.0
12,3,2014-04-13T18:03:38Z,111.676,110.79,40.09326,-70.87536,10.4431,10.4447,3.83948,3.839823,34.8322,34.8342,5.6173,6.26135,0.126,96.8992 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,34.818000000000005,5.916,8.92762132440832,0.355517716369757,0.736846153846154,2.97875346260388,0.269,8.65862132440832,0.057733457695992065,0.12406846982562282,2.0
13,3,2014-04-13T18:03:38Z,111.676,110.79,40.09326,-70.87536,10.4431,10.4447,3.83948,3.839823,34.8322,34.8342,5.6173,6.26135,0.126,96.8992 (avg),C:\Data\ctd\kn217002.hex,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,34.818000000000005,5.916,8.92762132440832,0.355517716369757,0.736846153846154,2.97875346260388,0.269,8.65862132440832,0.16848828972963806,0.17638797892388644,1.0
