,Cruise ID,Station-Cast #,Target Station,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],Filename,File Flag,Bottle Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate+Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments,Chl Comments
0,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,1,0000000000000100,Apr 12 2014 18:14:00,90.718,0000000000000100,90.001,40.36166,-70.77197,5.05,0000000000000100,5.2542,0000000000000100,3.19234,0000000000000100,3.218524,0000000000000100,33.1311,33.2283,6.6363,0000000000000100,7.1538,-9999999,-9999999,0.3267,92.1575,0000000000000100,-9999999,-9999999,7.316,0000000000000100,0000000000000100,1.61968349231796,0.645979062908254,-9999999,0000000000000100,0000000000000100,0.692730769230769,0.992036011080332,2.04949557733684,2.37758696871931,0000000000000100,0000000000000100,33.0886,0000000000000100,0000000000000100,2227.77679011392,0000000000000100,2072.42974819415,0000000000000100,-9999999,-9999999,-9999999,7.78123527777778,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
1,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,2,0000000000000100,Apr 12 2014 18:14:09,90.823,0000000000000100,90.105,40.36166,-70.77198,4.9394,0000000000000100,5.187,0000000000000100,3.185822,0000000000000100,3.206726,0000000000000100,33.1661,33.1603,6.4294,0000000000000100,7.17096,-9999999,-9999999,0.3622,91.3633,0000000000000100,-9999999,-9999999,7.076,0000000000000100,0000000000000100,2.01223443907994,0.805782474229299,-9999999,0000000000000100,0000000000000100,0.72075,1.04494459833795,2.00441596939995,2.33526343105625,0000000000000100,0000000000000100,33.0933,0000000000000100,0000000000000100,2228.01376345427,0000000000000100,2069.47268622477,0000000000000100,-9999999,-9999999,-9999999,7.78196027777778,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
2,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,3,0000000000000100,Apr 12 2014 18:18:21,51.425,0000000000000100,51.023,40.36166,-70.77198,4.9974,0000000000000100,4.9989,0000000000000100,3.178876,0000000000000100,3.179077,0000000000000100,33.0484,33.0492,7.0568,0000000000000100,7.16667,-9999999,-9999999,0.1511,96.2937,0000000000000100,-9999999,-9999999,7.292,0000000000000100,0000000000000100,0.378985858481423,0.105017145761707,-9999999,0000000000000100,0000000000000100,0.375576923076923,0.0380941828254848,0.684559407124074,0.771284233412821,0000000000000100,0000000000000100,33.035,0000000000000100,0000000000000100,2223.90056211177,0000000000000100,2055.60660006567,0000000000000100,-9999999,-9999999,-9999999,7.82704694444444,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
3,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,4,0000000000000100,Apr 12 2014 18:18:32,51.69,0000000000000100,51.286,40.36166,-70.77198,5.016,0000000000000100,5.0114,0000000000000100,3.17867,0000000000000100,3.178866,0000000000000100,33.0274,33.0343,7.0752,0000000000000100,7.1645,-9999999,-9999999,0.1521,96.2681,0000000000000100,-9999999,-9999999,7.274,0000000000000100,0000000000000100,0.506317086066452,0.135110669677266,-9999999,0000000000000100,0000000000000100,0.401807692307693,0.0317451523545706,0.700825245039446,0.746885958759995,0000000000000100,0000000000000100,33.036,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
4,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,5,0000000000000100,Apr 12 2014 18:22:10,26.715,0000000000000100,26.507,40.36166,-70.77199,5.5665,0000000000000100,5.5637,0000000000000100,3.220398,0000000000000100,3.220331,0000000000000100,32.9739,32.9759,7.1601,0000000000000100,7.07405,-9999999,-9999999,0.2532,93.8761,0000000000000100,-9999999,-9999999,7.341,0000000000000100,0000000000000100,0.679125174886565,0.128612223742877,-9999999,0000000000000100,0000000000000100,0.31775,<0.030,0.124085106382979,0.48647172113901,0000000000000100,0000000000000100,32.9782,0000000000000100,0000000000000100,2220.07821789714,0000000000000100,2047.3384585018,0000000000000100,-9999999,-9999999,-9999999,7.84028527777778,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
5,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,6,0000000000000100,Apr 12 2014 18:22:21,26.808,0000000000000100,26.6,40.36166,-70.772,5.5634,0000000000000100,5.5678,0000000000000100,3.220174,0000000000000100,3.220768,0000000000000100,32.9743,32.9768,7.1647,0000000000000100,7.07454,-9999999,-9999999,0.2327,94.3495,0000000000000100,-9999999,-9999999,7.363,0000000000000100,0000000000000100,0.770003014057495,0.136907069579623,-9999999,0000000000000100,0000000000000100,0.431019230769231,<0.030,0.14964570882142,0.706554116986955,0000000000000100,0000000000000100,32.9777,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
6,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,7,0000000000000100,Apr 12 2014 18:25:16,6.714,0000000000000100,6.662,40.36166,-70.77198,5.9768,0000000000000100,5.9596,0000000000000100,3.256445,0000000000000100,3.255135,0000000000000100,32.9893,32.9915,7.1846,0000000000000100,7.00539,-9999999,-9999999,0.2558,93.8056,0000000000000100,-9999999,-9999999,7.353,0000000000000100,0000000000000100,0.526870551936476,0.114557203807242,-9999999,0000000000000100,0000000000000100,0.334442307692308,<0.030,0.257929715515181,0.539749586197223,0000000000000100,0000000000000100,32.9935,0000000000000100,0000000000000100,2220.15101728542,0000000000000100,2039.18423531962,0000000000000100,-9999999,-9999999,-9999999,7.84774361111111,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
7,KN 217,1,PMUI,40 21.70 N,070 46.31 W,2014-04-12T18:06:29Z,1,0000000000000100,96,ctd\kn217001.hex,0000000000000100,8,0000000000000100,Apr 12 2014 18:25:27,6.76,0000000000000100,6.708,40.36166,-70.772,5.8953,0000000000000100,5.8948,0000000000000100,3.249481,0000000000000100,3.249591,0000000000000100,32.9906,32.9924,7.1908,0000000000000100,7.01873,-9999999,-9999999,0.2532,93.867,0000000000000100,-9999999,-9999999,7.357,0000000000000100,0000000000000100,0.519852295297931,0.108482122791693,-9999999,0000000000000100,0000000000000100,0.324307692307692,<0.030,0.259788668419795,0.623898737550849,0000000000000100,0000000000000100,32.9942,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
8,KN 217,2,PMCO,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,0000000000000100,150,ctd\kn217002.hex,0000000000000100,1,0000000000000100,Apr 13 2014 18:00:29,145.688,0000000000000100,144.52,40.09324,-70.87536,10.9919,0000000000000100,10.9916,0000000000000100,3.913031,0000000000000100,3.913154,0000000000000100,35.0319,35.0333,5.3981,0000000000000100,6.18038,-9999999,-9999999,0.1763,95.6884,0000000000000100,-9999999,-9999999,5.576,0000000000000100,0000000000000100,0.143637979467158,0.186623610460206,-9999999,0000000000000100,0000000000000100,0.779173076923077,4.2575540166205,10.0109261295721,0.130456080796746,0000000000000100,0000000000000100,35.0356,0000000000000100,0000000000000100,2314.59673425935,0000000000000100,2124.03867017798,0000000000000100,-9999999,-9999999,-9999999,7.84180527777778,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,salt max; temp max,"Salt max, Temp max"
9,KN 217,2,PMCO,40 05.59 N,070 52.52 W,2014-04-13T17:54:46Z,2,0000000000000100,150,ctd\kn217002.hex,0000000000000100,2,0000000000000100,Apr 13 2014 18:00:39,145.614,0000000000000100,144.446,40.09324,-70.87536,10.9913,0000000000000100,10.9912,0000000000000100,3.912959,0000000000000100,3.913107,0000000000000100,35.0317,35.0333,5.3975,0000000000000100,6.18046,-9999999,-9999999,0.1815,95.5631,0000000000000100,-9999999,-9999999,5.665,0000000000000100,0000000000000100,0.144525956349463,0.188891272780491,-9999999,0000000000000100,0000000000000100,0.776788461538462,4.40993074792244,10.1424470475736,0.317177570486744,0000000000000100,0000000000000100,35.0356,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,
