,Unnamed: 0,Cruise ID,Station-Cast #,Target Station,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],Filename,File Flag,Bottle Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate+Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments,Chl Comments
0,0,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,2,-9999999,Oct 04 2014 15:34:41,436.734,-9999999,432.933,39.94004,-70.8834,7.8979,-9999999,7.9206,-9999999,3.642512,-9999999,3.64463,-9999999,35.1198,35.1197,3.4632,-9999999,6.609719999999999,-9999999,-9999999,0.1486,96.3526 (avg),-9999999,-9999999,-9999999,3.667,-9999999,-9999999,0.00267312085409955,0.0176612468599131,-9999999,-9999999,-9999999,1.06715596330275,8.57656802036242,13.2157275401675,0.449344297814807,-9999999,-9999999,35.1244,-9999999,-9999999,2317.18690153881,0000000000000002,2209.26025776066,0000000000000002,-9999999,-9999999,-9999999,7.67117660813485,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,very low reading on fluorometer
1,1,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,4,-9999999,Oct 04 2014 15:34:51,436.601,-9999999,432.801,39.94004,-70.8834,7.9131,-9999999,7.9402,-9999999,3.643938,-9999999,3.64655,-9999999,35.1199,35.1208,3.4653,-9999999,6.60745,-9999999,-9999999,0.1488,96.3485 (avg),-9999999,-9999999,-9999999,3.679,-9999999,-9999999,0.00272820967283757,0.0227023101439045,-9999999,-9999999,-9999999,0.990336391437309,6.80841849333283,10.8154673002942,0.681247847741429,-9999999,-9999999,35.1236,-9999999,-9999999,2308.00645685117,0000000000000002,2207.80529804826,0000000000000002,-9999999,-9999999,-9999999,7.67413811119315,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,very low reading on fluorometer
2,2,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,6,-9999999,Oct 04 2014 15:44:49,161.911,-9999999,160.609,39.94004,-70.88338,14.0214,-9999999,14.0188,-9999999,4.281752,-9999999,4.281697,-9999999,35.7341,35.736,3.6611,-9999999,5.7788,-9999999,-9999999,0.1131,97.2121 (avg),-9999999,-9999999,-9999999,3.907,-9999999,-9999999,0.0100050281172012,0.0256964751804963,-9999999,-9999999,-9999999,0.771620795107034,4.33405196976029,12.6689597948254,0.283271433028647,-9999999,-9999999,35.7347,-9999999,-9999999,2347.82132956761,0000000000000002,2169.49330955527,0000000000000002,-9999999,-9999999,-9999999,7.82779191616473,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,3,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,8,-9999999,Oct 04 2014 15:44:58,162.157,-9999999,160.852,39.94004,-70.8834,14.0192,-9999999,14.0185,-9999999,4.281525,-9999999,4.281698,-9999999,35.7339,35.7362,3.6645,-9999999,5.779059999999999,-9999999,-9999999,0.1127,97.2225 (avg),-9999999,-9999999,-9999999,3.91,-9999999,-9999999,0.0119448759756461,0.0301351843004442,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,35.7351,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,4,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,10,-9999999,Oct 04 2014 15:49:18,43.551,-9999999,43.213,39.94004,-70.88338,21.5911,-9999999,21.5898,-9999999,5.083530000000001,-9999999,5.084136,-9999999,36.0131,36.0189,4.569,-9999999,4.99834,-9999999,-9999999,0.1623,96.0233 (avg),-9999999,-9999999,-9999999,4.88,-9999999,-9999999,0.451566487138961,0.39494199270796,-9999999,-9999999,-9999999,0.0176146788990826,<0.03,<0.04,0.273795804106914,-9999999,-9999999,36.0161,-9999999,-9999999,2371.05197072463,0000000000000002,2094.21859523119,0000000000000002,-9999999,-9999999,-9999999,8.01142924701654,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,5,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,12,-9999999,Oct 04 2014 15:49:29,43.42,-9999999,43.083,39.94004,-70.88338,21.679,-9999999,21.6378,-9999999,5.092109,-9999999,5.088687,-9999999,36.0078,36.0151,4.5723,-9999999,4.99067,-9999999,-9999999,0.1614,96.0453 (avg),-9999999,-9999999,-9999999,4.903,-9999999,-9999999,0.441960411098906,0.377307474188842,-9999999,-9999999,-9999999,<0.009,<0.03,<0.04,0.19449975155136,-9999999,-9999999,36.0167,-9999999,-9999999,2365.92616648276,0000000000000002,2095.87942538527,0000000000000002,-9999999,-9999999,-9999999,8.01613273380251,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
6,6,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,13,-9999999,Oct 04 2014 15:51:55,9.03,-9999999,8.961,39.94006,-70.88337,23.3234,-9999999,23.3231,-9999999,5.225717,-9999999,5.22617,-9999999,35.7109,35.7147,4.5709,-9999999,4.856730000000001,-9999999,-9999999,0.1489,96.3465 (avg),-9999999,-9999999,-9999999,4.93,-9999999,-9999999,0.269954197049602,0.179742440736776,-9999999,-9999999,-9999999,<0.009,<0.03,<0.04,0.271302217548563,-9999999,-9999999,35.7088,-9999999,-9999999,2360.31506389115,0000000000000002,2046.1883430235,0000000000000002,-9999999,-9999999,-9999999,8.06877797595605,25,0000000000000002,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,7,KN-222,1,OSPM,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,445,C:\Data\ctd\kn222001.hex,-9999999,17,-9999999,Oct 04 2014 15:52:03,9.109,-9999999,9.039,39.94004,-70.88338,23.328,-9999999,23.3275,-9999999,5.227091000000001,-9999999,5.227746,-9999999,35.7177,35.7231,4.58,-9999999,4.85615,-9999999,-9999999,0.1491,96.3410 (avg),-9999999,-9999999,-9999999,5.039,-9999999,-9999999,0.259920501230059,0.184753650746561,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,35.7112,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,83,KN-222,1,-9999999,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,-9999999,C:\Data\ctd\kn222001.hex,-9999999,18,-9999999,Oct 04 2014 15:52:17,9.109,-9999999,9.04,39.94004,-70.88338,23.3306,-9999999,23.3297,-9999999,5.227951,-9999999,5.228207,-9999999,35.7223,35.7249,4.5813,-9999999,4.85581,-9999999,-9999999,0.149,96.3430 (avg),-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,84,KN-222,1,-9999999,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,-9999999,-9999999,-9999999,C:\Data\ctd\kn222001.hex,-9999999,20,-9999999,Oct 04 2014 15:52:21,9.408,-9999999,9.336,39.94005,-70.88338,23.3324,-9999999,23.3309,-9999999,5.228576,-9999999,5.228801,-9999999,35.7255,35.7284,4.5861,-9999999,4.85556,-9999999,-9999999,0.149,96.3432 (avg),-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
