,Niskin #,Date Time,"Pressure, Digiquartz [db]","Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]",Conductivity [S/m],"Conductivity, 2 [S/m]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]","Oxygen Saturation, Garcia & Gordon [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Hex name,Start Latitude,Start Longitude,Start Time,Cast #,Discrete Salinity [psu],Discrete Oxygen [mL/L],Discrete Chl (ug/l),Discrete Phaeo (ug/l)
0,2,2014-10-04T15:34:41Z,436.734,432.93300000000005,39.94004,-70.8834,7.8979,7.9206,3.642512,3.64463,35.1198,35.1197,3.4632,6.6097199999999985,0.1486,96.3526 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.1244,3.667,0.00267312085409955,0.0176612468599131
1,4,2014-10-04T15:34:51Z,436.601,432.801,39.94004,-70.8834,7.9131,7.9402,3.643938,3.64655,35.1199,35.1208,3.4653,6.60745,0.1488,96.3485 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.1236,3.679,0.00272820967283757,0.0227023101439045
2,6,2014-10-04T15:44:49Z,161.911,160.609,39.94004,-70.88338,14.0214,14.0188,4.281752,4.281697,35.7341,35.736,3.6611,5.7788,0.1131,97.2121 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.7347,3.907,0.0100050281172012,0.0256964751804963
3,8,2014-10-04T15:44:58Z,162.157,160.852,39.94004,-70.8834,14.0192,14.0185,4.281525,4.281698,35.7339,35.7362,3.6645,5.7790599999999985,0.1127,97.2225 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.7351,3.91,0.0119448759756461,0.0301351843004442
4,10,2014-10-04T15:49:18Z,43.551,43.213,39.94004,-70.88338,21.5911,21.5898,5.0835300000000005,5.084136,36.0131,36.0189,4.569,4.99834,0.1623,96.0233 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,36.0161,4.88,0.451566487138961,0.39494199270796
5,12,2014-10-04T15:49:29Z,43.42,43.083,39.94004,-70.88338,21.679000000000002,21.6378,5.092109,5.088687,36.0078,36.0151,4.5723,4.99067,0.1614,96.0453 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,36.0167,4.9030000000000005,0.441960411098906,0.377307474188842
6,13,2014-10-04T15:51:55Z,9.03,8.961,39.94006,-70.88337,23.3234,23.3231,5.225717,5.22617,35.7109,35.7147,4.5709,4.8567300000000015,0.1489,96.3465 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.7088,4.93,0.269954197049602,0.179742440736776
7,17,2014-10-04T15:52:03Z,9.109,9.039,39.94004,-70.88338,23.328000000000003,23.3275,5.2270910000000015,5.227746,35.7177,35.7231,4.58,4.85615,0.1491,96.3410 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,35.7112,5.039,0.259920501230059,0.184753650746561
8,18,2014-10-04T15:52:17Z,9.109,9.04,39.94004,-70.88338,23.3306,23.3297,5.227951,5.228207,35.7223,35.7249,4.5813,4.85581,0.149,96.3430 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,-9999999.0,-9999999.0,-9999999.0,-9999999.0
9,20,2014-10-04T15:52:21Z,9.408,9.336,39.94005,-70.88338,23.3324,23.3309,5.228576,5.228801,35.7255,35.7284,4.5861,4.85556,0.149,96.3432 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,-9999999.0,-9999999.0,-9999999.0,-9999999.0
10,22,2014-10-04T15:52:26Z,8.984,8.915,39.94005,-70.88338,23.3292,23.3295,5.2271790000000005,5.228236,35.7174,35.7253,4.5698,4.85605,0.1491,96.3402 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,-9999999.0,-9999999.0,-9999999.0,-9999999.0
11,24,2014-10-04T15:52:29Z,9.172,9.101,39.94004,-70.88338,23.3317,23.3313,5.228214,5.228722,35.7233,35.7276,4.5764,4.85568,0.1492,96.3383 (avg),C:\Data\ctd\kn222001.hex,39 56.40 N,070 53.00 W,2014-10-04T15:23:26Z,1,-9999999.0,-9999999.0,-9999999.0,-9999999.0
12,2,2014-10-05T02:17:02Z,500.254,495.829,39.82998,-70.88314,6.5886,6.587000000000001,3.519503,3.51934,35.0703,35.07,4.1689,6.812,0.0855,97.8868 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,4.428999999999999,-9999999.0,-9999999.0
13,4,2014-10-05T02:17:11Z,500.45,496.024,39.82998,-70.88311999999998,6.5798,6.5795,3.51867,3.51865,35.0698,35.07,4.1761,6.813389999999999,0.0866,97.8595 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,-9999999.0,-9999999.0
14,6,2014-10-05T02:21:39Z,301.2,298.6790000000001,39.82976,-70.88346,10.0751,10.0777,3.857738,3.858191,35.2867,35.2888,2.9789999999999996,6.29294,0.0858,97.8793 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,3.1889999999999996,-9999999.0,-9999999.0
15,8,2014-10-05T02:21:51Z,301.985,299.457,39.82972,-70.88351999999998,10.0721,10.0716,3.857473,3.857602,35.2866,35.2883,2.9739999999999998,6.29335,0.0862,97.8686 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,-9999999.0,-9999999.0
16,10,2014-10-05T02:25:40Z,150.778,149.571,39.82932,-70.88449,14.1843,14.1882,4.300848,4.301602,35.7657,35.7691,3.5833,5.75875,0.0887,97.8075 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,3.8080000000000003,0.00952776647282628,0.0228282560176179
17,12,2014-10-05T02:25:50Z,151.05200000000005,149.843,39.8293,-70.88453,14.1694,14.1682,4.299048,4.2991480000000015,35.7627,35.7647,3.6008,5.7605900000000005,0.0882,97.8199 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,0.00933133711217473,0.0289274485436579
18,13,2014-10-05T02:27:55Z,101.909,101.104,39.82907,-70.88489,15.7793,15.7798,4.475389,4.4757370000000005,35.9182,35.9209,3.5947,5.57421,0.0929,97.7031 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,3.823,0.0616833395382365,0.0724337732016717
19,17,2014-10-05T02:28:04Z,101.997,101.192,39.82906,-70.88490999999998,15.7769,15.7774,4.47511,4.475523,35.9178,35.9211,3.5945,5.57448,0.0927,97.7075 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,0.0593899233509124,0.07782438897168
20,18,2014-10-05T02:31:17Z,43.31800000000001,42.983,39.82902,-70.88494,20.9511,20.9539,5.019261,5.021337,36.0364,36.0507,4.4285,5.05527,0.1377,96.6159 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,4.7780000000000005,0.369463489477332,0.421849914526496
21,20,2014-10-05T02:31:27Z,43.349,43.01300000000001,39.829,-70.88494,20.9582,20.956999999999997,5.0216379999999985,5.021668,36.0495,36.0508,4.4467,5.05423,0.1367,96.6407 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,0.379847056025546,0.418493805054876
22,22,2014-10-05T02:33:39Z,2.994,2.971,39.82861,-70.88534,23.3894,23.3885,5.228599,5.229013,35.6817,35.6856,4.572,4.85198,0.1271,96.8737 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,4.888999999999999,0.219546820432375,0.114841913971639
23,24,2014-10-05T02:33:47Z,2.638,2.6180000000000003,39.82858,-70.88535999999998,23.3886,23.3867,5.228448,5.228714,35.6813,35.6849,4.5732,4.85206,0.1276,96.8604 (avg),C:\Data\ctd\kn222002.hex,39 49.85 N,070 52.93 W,2014-10-05T02:05:50Z,2,-9999999.0,-9999999.0,0.199431649289387,0.133743317710602
24,2,2014-10-05T14:33:38Z,446.96,443.059,39.93838,-70.7762,7.3915,7.3892,3.59425,3.594101,35.1023,35.103,3.7303,6.68659,0.1388,96.5891 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.1098,3.9619999999999997,0.00320297159482286,0.0179425964762777
25,4,2014-10-05T14:33:51Z,447.106,443.204,39.93836,-70.77625,7.3879,7.3870000000000005,3.5939080000000003,3.593899,35.1022,35.1029,3.7214,6.68715,0.1382,96.6040 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.1093,3.9739999999999998,0.00415681683952484,0.0200431939538265
26,6,2014-10-05T14:40:52Z,202.037,200.392,39.9377,-70.777,12.9462,12.9448,4.165648,4.165806,35.6246,35.6275,3.4984,5.91069,0.0907,97.7568 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.6309,3.7430000000000003,0.00762560882285247,0.0185080590072557
27,8,2014-10-05T14:41:04Z,201.991,200.346,39.9377,-70.77702,12.9556,12.9484,4.166686,4.16619,35.6258,35.6278,3.4936,5.90951,0.0901,97.7706 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.6319,3.742,0.00569053891479781,0.0242518473210436
28,10,2014-10-05T14:46:03Z,43.261,42.926,39.93746,-70.77726,20.7687,20.7654,4.996108,4.996303,36.0036,36.008,4.4402,5.0729,0.1345,96.6927 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,36.0182,4.753,0.360393972293779,0.36485259850392
29,12,2014-10-05T14:46:16Z,43.747,43.408,39.93746,-70.77728,20.7486,20.7495,4.994516,4.995183,36.0075,36.0122,4.4423,5.07462,0.1353,96.6751 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,36.0145,4.743,0.330634167005884,0.377720489983038
30,13,2014-10-05T14:48:48Z,9.468,9.396,39.93734,-70.77744,23.0283,23.0276,5.201931,5.202414,35.7671,35.7713,4.5739,4.88018,0.13,96.8037 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.7728,4.953,0.247402271207582,0.145875109315846
31,17,2014-10-05T14:48:56Z,9.403,9.33,39.93734,-70.77744,23.0262,23.026,5.201745,5.202272,35.7674,35.7716,4.5751,4.88035,0.1302,96.7987 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,35.7738,4.9719999999999995,0.245061075516355,0.160312124998907
32,18,2014-10-05T14:49:04Z,9.627,9.553,39.93734,-70.77744,23.0269,23.0258,5.201848,5.202281,35.7675,35.7717,4.5805,4.8802900000000005,0.1295,96.8144 (avg),C:\Data\ctd\kn222003.hex,39 56.34 N,070 46.53 W,2014-10-05T14:22:07Z,3,-9999999.0,-9999999.0,-9999999.0,-9999999.0
