,Cruise ID,Station-Cast #,Target Station,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],Filename,File Flag,Bottle Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,DiscreteOxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,DiscreteChl (ug/l),DiscretePhaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,DiscretePhosphate [µmol/L],DiscreteSilicate [µmol/L],DiscreteNitrate [µmol/L],DiscreteNitrite [µmol/L],DiscreteAmmonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,DiscreteSalinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments,Chl Comments
0,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,1,0000000000000100,May 13 2016 15:15:44,130.128,0000000000000100,129.089,40.1368,-70.7713,13.3001,0000000000000100,13.3007,0000000000000100,4.180439,0000000000000100,4.18053,0000000000000100,35.4649,35.4652,4.8992,0000000000000100,5.87385,-9999999,-9999999,0.3759,91.0295,0000000000000100,-9999999,-9999999,5.006,0000000000000100,0000000000000100,0.086681770998452,0.208386195333526,-9999999,0000000000000100,0000000000000100,0.485991869918699,4.80698625912346,8.13666271558111,<0.04,0.484639621372729,0000000000000100,0000000000000100,35.4543,0000000000000100,0000000000000100,2340.77811311924,0000000000000100,2136.14198206265,0000000000000100,-9999999,-9999999,-9999999,7.8567901710788,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
1,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,2,0000000000000100,May 13 2016 15:16:02,129.984,0000000000000100,128.946,40.13682,-70.77128,13.3002,0000000000000100,13.3007,0000000000000100,4.180489,0000000000000100,4.180555,0000000000000100,35.4653,35.4655,4.9029,0000000000000100,5.87382,-9999999,-9999999,0.3801,90.9353,0000000000000100,-9999999,-9999999,5.02,0000000000000100,0000000000001000,0.0730148826984801,0.21959309058382,-9999999,0000000000000100,0000000000001000,0.0,4.46523798101635,8.72726782433474,<0.04,0.403361518205011,0000000000000100,0000000000001000,35.4616,0000000000000100,0000000000001000,2341.0909926826,0000000000000100,2133.07863286697,0000000000000100,-9999999,-9999999,-9999999,7.85210809857633,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Dupes,-9999999
2,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,3,0000000000000100,May 13 2016 15:20:20,77.835,0000000000000100,77.224,40.13709,-70.77092,10.5653,0000000000000100,10.5656,0000000000000100,3.792692,0000000000000100,3.792753,0000000000000100,34.2593,34.2597,6.2313,0000000000000100,6.2678,-9999999,-9999999,0.2654,93.5812,0000000000000100,-9999999,-9999999,6.269,0000000000000100,0000000000000100,0.506330128866768,0.186190714524763,-9999999,0000000000000100,0000000000000100,0.40058201058201,1.96044820614741,4.54170332290125,0.381898881804492,0.894563967783829,0000000000000100,0000000000000100,34.3066,0000000000000100,0000000000000100,2292.70264858385,0000000000000100,2096.22478083799,0000000000000100,-9999999,-9999999,-9999999,7.84059933198074,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,4,0000000000000100,May 13 2016 15:20:28,77.657,0000000000000100,77.046,40.1371,-70.77092,10.5617,0000000000000100,10.5615,0000000000000100,3.792216,0000000000000100,3.792213,0000000000000100,34.2581,34.2582,6.2253,0000000000000100,6.26835,-9999999,-9999999,0.2668,93.5468,0000000000000100,-9999999,-9999999,6.275,0000000000000100,0000000000000100,0.436310728535405,0.292126013381418,-9999999,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,34.2913,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,5,0000000000000100,May 13 2016 15:24:51,21.638,0000000000000100,21.47,40.13722,-70.77066,8.7543,0000000000000100,8.7548,0000000000000100,3.520946,0000000000000100,3.52102,0000000000000100,33.1946,33.1949,7.0127,0000000000000100,6.56591,-9999999,-9999999,0.5223,87.7594,0000000000000100,-9999999,-9999999,7.056,0000000000000100,0000000000000100,2.78954295437783,0.520689293082806,-9999999,0000000000000100,0000000000000100,0.317732426303855,1.45959257101737,2.40807710543472,<0.04,0.646690994769235,0000000000000100,0000000000000100,33.1991,0000000000000100,0000000000000100,2236.47419460568,0000000000000100,2061.19514270898,0000000000000100,-9999999,-9999999,-9999999,7.81740377189653,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Chl. Max,-9999999
5,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,6,0000000000000100,May 13 2016 15:25:04,21.773,0000000000000100,21.605,40.13722,-70.77066,8.747,0000000000000100,8.7444,0000000000000100,3.520395,0000000000000100,3.520247,0000000000000100,33.1956,33.1966,7.0227,0000000000000100,6.56694,-9999999,-9999999,0.5199,87.8109,0000000000000100,-9999999,-9999999,7.041,0000000000000100,0000000000001000,2.48999471766612,0.839917474191939,-9999999,0000000000000100,0000000000001000,0.310045351473923,1.3721091046157,2.2400764535056,<0.04,0.499784609540627,0000000000000100,0000000000001000,33.1979,0000000000000100,0000000000001000,2240.72155136412,0000000000000100,2057.38599203413,0000000000000100,-9999999,-9999999,-9999999,7.81576146965089,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Dupes,-9999999
6,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,7,0000000000000100,May 13 2016 15:27:12,6.57,0000000000000100,6.52,40.1372,-70.7707,9.9613,0000000000000100,9.9182,0000000000000100,3.621586,0000000000000100,3.617927,0000000000000100,33.1207,33.123,7.1692,0000000000000100,6.39669,-9999999,-9999999,0.5988,86.0958,0000000000000100,-9999999,-9999999,7.219,0000000000000100,0000000000000100,1.97686496236231,0.351221758443851,-9999999,0000000000000100,0000000000000100,0.317305366591081,1.33783195696124,1.30495169797902,<0.04,0.664864980570713,0000000000000100,0000000000000100,33.1273,0000000000000100,0000000000000100,2234.11057502215,0000000000000100,2045.04930113865,0000000000000100,-9999999,-9999999,-9999999,7.83944079170891,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,AR04-A,1,CNSM,40 08.20 N,070 46.29 W,2016-05-13T15:08:29Z,1,0000000000000100,134,D:\Data\ar04a001.hex,0000000000000100,8,0000000000000100,May 13 2016 15:27:25,6.577,0000000000000100,6.527,40.1372,-70.77072,9.9925,0000000000000100,10.033,0000000000000100,3.62387,0000000000000100,3.627152,0000000000000100,33.1154,33.1116,7.1623,0000000000000100,6.39258,-9999999,-9999999,0.5918,86.2467,0000000000000100,-9999999,-9999999,7.228,0000000000000100,0000000000000100,2.14410924149752,0.528240791811415,-9999999,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,33.1286,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,AR04-A,2,OSSM,39 56.44 N,070 53.01 W,2016-05-14T00:04:48Z,2,0000000000000100,446,D:\Data\ar04a002.hex,0000000000000100,1,0000000000000100,May 14 2016 00:14:57,438.702,0000000000000100,434.882,39.9415,-70.88506,7.3223,0000000000000100,7.3219,0000000000000100,3.587953,0000000000000100,3.587913,0000000000000100,35.1077,35.1076,3.951,0000000000000100,6.69688,-9999999,-9999999,0.2531,93.8684,0000000000000100,-9999999,-9999999,4.052,0000000000000100,0000000000000100,0.013011626532165,0.0635269572201327,-9999999,0000000000000100,0000000000000100,1.20260015117158,12.3888866806017,20.3727890712973,<0.04,0.739075422593412,0000000000000100,0000000000000100,35.1085,0000000000000100,0000000000000100,2325.63791079483,0000000000000100,2194.67349121917,0000000000000100,-9999999,-9999999,-9999999,7.66810497319188,25,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,AR04-A,2,OSSM,39 56.44 N,070 53.01 W,2016-05-14T00:04:48Z,2,0000000000000100,446,D:\Data\ar04a002.hex,0000000000000100,2,0000000000000100,May 14 2016 00:15:19,438.544,0000000000000100,434.725,39.94154,-70.88504,7.3262,0000000000000100,7.324,0000000000000100,3.588279,0000000000000100,3.588082,0000000000000100,35.1073,35.1074,3.9559,0000000000000100,6.6963,-9999999,-9999999,0.2518,93.8987,0000000000000100,-9999999,-9999999,4.082,0000000000000100,0000000000000100,0.0206875500979027,0.0710209907940727,-9999999,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,35.11,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
