,Cruise ID,Station-Cast #,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],CTD Filename,CTD File Flag,Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],"CTD Pressure, Digiquartz [db]",CTD Pressure Flag,"CTD Depth [salt water, m]",CTD Latitude [deg],CTD Longitude [deg],"CTD Temperature [ITS-90, deg C]",CTD Temperature 1 Flag,"CTD Temperature, 2 [ITS-90, deg C]",CTD Temperature 2 Flag,CTD Conductivity [S/m],CTD Conductivity 1 Flag,"CTD Conductivity, 2 [S/m]",CTD Conductivity 2 Flag,"CTD Salinity, Practical [PSU]","CTD Salinity, Practical, 2 [PSU]","CTD Oxygen, SBE 43 [ml/l]",CTD Oxygen Flag,"CTD Oxygen Saturation, Garcia & Gordon [ml/l]",CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,"CTD Beam Attenuation, WET Labs C-Star [1/m]","CTD Beam Transmission, WET Labs C-Star [%]",CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate [µmol/L],Discrete Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments
0,AR18-A,1,-9999999,40 14.96 N,070 45.01 W,2017-05-31T07:56:13Z,1,0000000000000100,-9999999,D:\Data\ar18a001.hex,0000000000000010,1,0000000000000100,May 31 2017 08:04:04,113.551,0000000000000100,112.647,40.24943,-70.7501,11.3413,0000000000000100,11.3183,0000000000000100,3.942544,0000000000000100,3.939505,0000000000000100,35.0074,34.9992,4.0944,0000000000000100,6.13565,-9999999,-9999999,0.3255,92.1848,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
1,AR18-A,2,-9999999,40 21.97 N,070 53.30 W,2017-05-31T09:30:51Z,2,0000000000000100,-9999999,D:\Data\ar18a002.hex,0000000000000010,1,0000000000000100,May 31 2017 09:36:03,87.288,0000000000000100,86.598,40.36644,-70.8883,7.9916,0000000000000100,7.9942,0000000000000100,3.482797,0000000000000100,3.482969,0000000000000100,33.4829,33.4823,4.7652,0000000000000100,6.66661,-9999999,-9999999,0.1695,95.8505,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
2,AR18-A,3,-9999999,40 22.53 N,070 46.01 W,2017-06-01T03:36:26Z,3,0000000000000100,-9999999,D:\Data\ar18a003.hex,0000000000000010,1,0000000000000100,Jun 01 2017 03:42:11,88.0,0000000000000100,87.304,40.37558,-70.76691,7.7145,0000000000000100,7.7228,0000000000000100,3.460149,0000000000000100,3.460939,0000000000000100,33.5056,33.506,4.6761,0000000000000100,6.70751,-9999999,-9999999,0.1732,95.7625,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,AR18-A,4,-9999999,40 22.49 N,070 49.99 W,2017-06-01T04:32:39Z,4,0000000000000100,-9999999,D:\Data\ar18a004.hex,0000000000000010,1,0000000000000100,Jun 01 2017 04:37:31,86.69,0000000000000100,86.005,40.37482,-70.8332,8.1993,0000000000000100,8.2078,0000000000000100,3.520541,0000000000000100,3.521091,0000000000000100,33.6865,33.6841,4.5028,0000000000000100,6.62671,-9999999,-9999999,0.2527,93.8799,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,AR18-A,5,-9999999,40 17.01 N,070 50.02 W,2017-06-01T05:40:35Z,5,0000000000000100,-9999999,D:\Data\ar18a005.hex,0000000000000010,1,0000000000000100,Jun 01 2017 05:46:35,112.045,0000000000000100,111.153,40.28337,-70.83382,10.8062,0000000000000100,10.8014,0000000000000100,3.87169,0000000000000100,3.870753,0000000000000100,34.81,34.8052,4.0613,0000000000000100,6.21367,-9999999,-9999999,0.4328,89.7438,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,AR18-A,6,-9999999,40 12.01 N,070 50.01 W,2017-06-01T06:44:51Z,6,0000000000000100,-9999999,D:\Data\ar18a006.hex,0000000000000010,1,0000000000000100,Jun 01 2017 06:52:00,124.616,0000000000000100,123.622,40.20058,-70.83348,11.7122,0000000000000100,11.711,0000000000000100,3.999756,0000000000000100,3.999446,0000000000000100,35.2155,35.2136,3.8989,0000000000000100,6.07983,-9999999,-9999999,0.2341,94.3157,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
6,AR18-A,7,-9999999,40 06.07 N,070 50.01 W,2017-06-01T08:01:31Z,7,0000000000000100,-9999999,D:\Data\ar18a007.hex,0000000000000010,1,0000000000000100,Jun 01 2017 08:07:05,136.904,0000000000000100,135.809,40.1017,-70.83333,12.2657,0000000000000100,12.2665,0000000000000100,4.07813,0000000000000100,4.077933,0000000000000100,35.4515,35.4489,3.7032,0000000000000100,6.00094,-9999999,-9999999,0.1317,96.7627,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,AR18-A,8,-9999999,40 06.27 N,070 53.65 W,2017-06-01T08:53:41Z,8,0000000000000100,-9999999,D:\Data\ar18a008.hex,0000000000000010,1,0000000000000100,Jun 01 2017 08:59:11,141.927,0000000000000100,140.79,40.10528,-70.89402,12.1758,0000000000000100,12.1772,0000000000000100,4.071088,0000000000000100,4.071067,0000000000000100,35.466,35.4646,3.5902,0000000000000100,6.01163,-9999999,-9999999,0.1237,96.9536,0000000000000100,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,AR18-A,9,OSPM,39 55.80 N,070 53.40 W,2017-06-01T20:41:30Z,9,0000000000000100,469,D:\Data\ar18a009.hex,0000000000000100,1,0000000000000100,Jun 01 2017 20:54:01,465.958,0000000000000100,461.87,39.92994,-70.89002,6.744,0000000000000100,6.7581,0000000000000100,3.532714,0000000000000100,3.533962,0000000000000100,35.0749,35.0743,3.4605,0000000000000100,6.78747,-9999999,-9999999,0.1287,96.8339,0000000000000100,-9999999,-9999999,3.882,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.531279925187032,5.19652736424217,9.64135480642191,<0.04,1.264,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999,246,0000000000000100,246,0000000000000010,-9999999,-9999999.0,-9999999.0,245,245,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,AR18-A,9,OSPM,39 55.80 N,070 53.40 W,2017-06-01T20:41:30Z,9,0000000000000100,469,D:\Data\ar18a009.hex,0000000000000100,1,0000000000000100,Jun 01 2017 20:54:01,465.958,0000000000000100,461.87,39.92994,-70.89002,6.744,0000000000000100,6.7581,0000000000000100,3.532714,0000000000000100,3.533962,0000000000000100,35.0749,35.0743,3.4605,0000000000000100,6.78747,-9999999,-9999999,0.1287,96.8339,0000000000000100,-9999999,-9999999,3.882,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.918451371571072,8.3520936126471,14.4943720622973,<0.04,1.162,0000000000000100,0000000000000100,-9999999.0,-9999999,-9999999,246,0000000000000100,246,0000000000000010,-9999999,-9999999.0,-9999999.0,245,245,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
