,Cruise ID,Station-Cast #,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],Filename,File Flag,Bottle Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate [µmol/L],Discrete Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments
0,AR-24A,2,-9999999,40 57.87 N,070 49.83 W,2017-10-22T21:14:41Z,2,0000000000000100,-9999999,AR24002.hex,0000000000000010,1,0000000000000100,Oct 22 2017 21:17:07,47.834,0000000000000100,47.458,40.96444,-70.83055,16.1892,0000000000000100,16.1918,0000000000000100,4.16733,0000000000000100,4.167199,0000000000000100,32.8426,32.8393,3.0379,0000000000000100,5.63448,-9999999,-9999999,4.287,34.2434,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
1,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,1,0000000000000100,Oct 22 2017 22:42:35,53.497,0000000000000100,53.076,40.79854,-70.83114,16.7664,0000000000000100,16.775,0000000000000100,4.270752,0000000000000100,4.272172,0000000000000100,33.2681,33.2734,2.817,0000000000000100,5.55711,-9999999,-9999999,4.9682,28.8796,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
2,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,2,0000000000000100,Oct 22 2017 22:44:36,33.648,0000000000000100,33.385,40.79854,-70.83114,16.8833,0000000000000100,16.8871,0000000000000100,4.216219,0000000000000100,4.21641,0000000000000100,32.7058,32.7044,4.1196,0000000000000100,5.56348,-9999999,-9999999,4.3471,33.7301,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
3,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,3,0000000000000100,Oct 22 2017 22:47:02,19.547,0000000000000100,19.394,40.79854,-70.83114,16.5208,0000000000000100,16.5232,0000000000000100,4.105375,0000000000000100,4.105157,0000000000000100,32.041,32.0372,4.7858,0000000000000100,5.62546,-9999999,-9999999,4.3222,33.9414,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,4,0000000000000100,Oct 22 2017 22:47:10,19.377,0000000000000100,19.226,40.79854,-70.83114,16.5213,0000000000000100,16.5231,0000000000000100,4.105427,0000000000000100,4.105124,0000000000000100,32.0411,32.037,4.7918,0000000000000100,5.6254,-9999999,-9999999,4.3131,34.0186,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,5,0000000000000100,Oct 22 2017 22:48:41,3.029,0000000000000100,3.006,40.79854,-70.83114,16.8891,0000000000000100,16.8915,0000000000000100,4.139007,0000000000000100,4.138808,0000000000000100,32.0443,32.0407,4.8746,0000000000000100,5.5852,-9999999,-9999999,4.3128,34.0208,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
6,AR-24A,3,-9999999,40 47.91 N,070 49.87 W,2017-10-22T22:38:07Z,3,0000000000000100,-9999999,AR24003.hex,0000000000000100,6,0000000000000100,Oct 22 2017 22:48:49,3.003,0000000000000100,2.98,40.79854,-70.83114,16.8891,0000000000000100,16.8897,0000000000000100,4.139007,0000000000000100,4.138608,0000000000000100,32.0444,32.0404,4.8736,0000000000000100,5.5852,-9999999,-9999999,4.3207,33.9535,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,AR-24A,4,-9999999,40 38.94 N,070 49.93 W,2017-10-23T00:32:52Z,4,0000000000000100,-9999999,AR24004.hex,0000000000000100,1,0000000000000100,Oct 23 2017 00:36:39,62.444,0000000000000100,61.952,40.64892,-70.83212,15.0525,0000000000000100,15.084,0000000000000100,4.149066,0000000000000100,4.150419,0000000000000100,33.632,33.6172,3.2739,0000000000000100,5.73459,-9999999,-9999999,4.9945,28.6926,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
8,AR-24A,4,-9999999,40 38.94 N,070 49.93 W,2017-10-23T00:32:52Z,4,0000000000000100,-9999999,AR24004.hex,0000000000000100,2,0000000000000100,Oct 23 2017 00:39:26,2.302,0000000000000100,2.284,40.64892,-70.83212,16.1865,0000000000000100,16.1889,0000000000000100,4.080584,0000000000000100,4.080394,0000000000000100,32.0994,32.0958,5.1588,0000000000000100,5.66035,-9999999,-9999999,4.9559,28.9679,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
9,AR-24A,5,-9999999,40 29.93 N,070 50.21 W,2017-10-23T02:31:37Z,5,0000000000000100,-9999999,AR24005.hex,0000000000000100,1,0000000000000100,Oct 23 2017 02:35:45,71.669,0000000000000100,71.104,40.49877,-70.8369,14.1458,0000000000000100,14.1572,0000000000000100,4.141393,0000000000000100,4.141773,0000000000000100,34.3521,34.3454,3.4148,0000000000000100,5.81391,-9999999,-9999999,4.8963,29.4032,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
