Cruise ID,Station-Cast #,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],CTD Filename,CTD File Flag,Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],"CTD Pressure, Digiquartz [db]",CTD Pressure Flag,"CTD Depth [salt water, m]",CTD Latitude [deg],CTD Longitude [deg],"CTD Temperature [ITS-90, deg C]",CTD Temperature 1 Flag,"CTD Temperature, 2 [ITS-90, deg C]",CTD Temperature 2 Flag,CTD Conductivity [S/m],CTD Conductivity 1 Flag,"CTD Conductivity, 2 [S/m]",CTD Conductivity 2 Flag,"CTD Salinity, Practical [PSU]","CTD Salinity, Practical, 2 [PSU]","CTD Oxygen, SBE 43 [ml/l]",CTD Oxygen Flag,"CTD Oxygen Saturation, Garcia & Gordon [ml/l]",CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,"CTD Beam Attenuation, WET Labs C-Star [1/m]","CTD Beam Transmission, WET Labs C-Star [%]",CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate [µmol/L],Discrete Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,1,0000000000000100,Mar 24 2018 15:51:07,442.886,0000000000000100,439.024,39.93996,-70.88334,6.1364,0000000000000100,6.1376,0000000000000100,3.475243,0000000000000100,3.475343,0000000000000100,35.0684,35.0683,4.5209,0000000000000100,6.88375,-9999999,-9999999,13.6139,3.3269,0000000000000100,-9999999,-9999999,4.724,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.962292811839324,7.7009443009569,13.1746223015013,<0.04,0.568076950192722,0000000000000100,0000000000000100,35.0701,0000000000000100,0000000000000100,658,0000000000000010,658,0000000000000010,-9999999,-9999999,-9999999,657,657,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,2,0000000000000100,Mar 24 2018 15:51:27,442.574,0000000000000100,438.716,39.93996,-70.88334,6.1383,0000000000000100,6.1386,0000000000000100,3.47543,0000000000000100,3.475412,0000000000000100,35.0687,35.0683,4.5198,0000000000000100,6.88343,-9999999,-9999999,14.0089,3.0141,0000000000000100,-9999999,-9999999,4.774,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.27519186046512,12.0361408036244,19.9375573792448,<0.04,0.602201713985218,0000000000000100,0000000000000100,35.0695,0000000000000100,0000000000000100,659,0000000000000010,659,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Duplicate DIC/TA
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,3,0000000000000100,Mar 24 2018 15:57:02,223.506,0000000000000100,221.675,39.93996,-70.88332,11.1004,0000000000000100,11.1128,0000000000000100,3.964421,0000000000000100,3.965259,0000000000000100,35.406,35.4025,3.3461,0000000000000100,6.15148,-9999999,-9999999,14.4446,2.7033,0000000000000100,-9999999,-9999999,3.659,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.00230285412262,7.42265787746634,15.4970879957141,<0.04,0.861148450998861,0000000000000100,0000000000000100,35.4042,0000000000000100,0000000000000100,660,0000000000000010,660,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,O2 min/salt max
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,4,0000000000000100,Mar 24 2018 15:57:14,223.392,0000000000000100,221.562,39.93996,-70.88332,11.1129,0000000000000100,11.1478,0000000000000100,3.96572,0000000000000100,3.968753,0000000000000100,35.407,35.4036,3.3588,0000000000000100,6.14982,-9999999,-9999999,15.1436,2.2702,0000000000000100,-9999999,-9999999,3.62,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,35.4082,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,5,0000000000000100,Mar 24 2018 16:01:21,77.71,0000000000000100,77.101,39.93998,-70.88334,8.4618,0000000000000100,8.4605,0000000000000100,3.587342,0000000000000100,3.587247,0000000000000100,34.1466,34.1469,6.2566,0000000000000100,6.56819,-9999999,-9999999,16.812,1.4989,0000000000000100,-9999999,-9999999,6.507,0000000000000100,0000000000000100,01/01,01/01,-9999999,0000000000000010,0000000000000100,0.439597515856237,1.77091360403082,5.53290108698612,0.163693782061353,1.21544379272683,0000000000000100,0000000000000100,34.1595,0000000000000100,0000000000000100,729,0000000000000010,729,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,chl max
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,6,0000000000000100,Mar 24 2018 16:01:30,77.879,0000000000000100,77.268,39.93998,-70.88334,8.4617,0000000000000100,8.4619,0000000000000100,3.587095,0000000000000100,3.587252,0000000000000100,34.1441,34.1454,6.2444,0000000000000100,6.56832,-9999999,-9999999,16.177,1.7654,0000000000000100,-9999999,-9999999,6.542,0000000000000100,0000000000000100,01/02,01/02,-9999999,0000000000000010,0000000000000100,0.460628435517971,1.58673858921162,5.15188708536893,0.170198170752532,1.14016857847868,0000000000000100,0000000000000100,34.1591,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,7,0000000000000100,Mar 24 2018 16:05:03,7.362,0000000000000100,7.305,39.93996,-70.88334,7.6769,0000000000000100,7.6765,0000000000000100,3.482898,0000000000000100,3.482851,0000000000000100,33.8257,33.8255,6.4781,0000000000000100,6.6992,-9999999,-9999999,20.8343,0.7127,0000000000000100,-9999999,-9999999,6.755,0000000000000100,0000000000000100,01/03,01/03,-9999999,0000000000000010,0000000000000100,0.50987156448203,2.2890323270387,5.91932949731306,0.136592162514771,1.25860158222911,0000000000000100,0000000000000100,33.8265,0000000000000100,0000000000000100,836,0000000000000010,836,0000000000000010,-9999999,-9999999,-9999999,730,730,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,1,OSSM,39 56.40 N,070 53.00 W,2018-03-24T15:37:12Z,1,0000000000000100,447,D:\Data\ar28a001.hex,0000000000000100,8,0000000000000100,Mar 24 2018 16:05:12,7.352,0000000000000100,7.295,39.93996,-70.88334,7.6793,0000000000000100,7.6802,0000000000000100,3.483402,0000000000000100,3.483656,0000000000000100,33.8287,33.8306,6.4739,0000000000000100,6.69869,-9999999,-9999999,55.262,-0.3038,0000000000000100,-9999999,-9999999,6.719,0000000000000100,0000000000000100,01/04,01/04,-9999999,0000000000000010,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.8275,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,837,837,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,2,CNSM,40 08.17 N,070 46.46 W,2018-03-24T22:35:59Z,2,0000000000000100,135,D:\Data\ar28a002.hex,0000000000000100,1,0000000000000100,Mar 24 2018 22:41:58,129.439,0000000000000100,128.405,40.13624,-70.77435,11.8713,0000000000000100,11.8843,0000000000000100,4.009504,0000000000000100,4.011198,0000000000000100,35.1583,35.1627,5.0733,0000000000000100,6.06175,-9999999,-9999999,14.7981,2.4746,0000000000000100,-9999999,-9999999,5.368,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.532954281183932,3.93547600347193,8.45015923811531,0.131171838605455,0.387918270758811,0000000000000100,0000000000000100,35.1593,0000000000000100,0000000000000100,839,0000000000000010,839,0000000000000010,-9999999,-9999999,-9999999,838,838,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR-28A,2,CNSM,40 08.17 N,070 46.46 W,2018-03-24T22:35:59Z,2,0000000000000100,135,D:\Data\ar28a002.hex,0000000000000100,2,0000000000000100,Mar 24 2018 22:42:07,129.531,0000000000000100,128.497,40.13624,-70.77436,11.8826,0000000000000100,11.885,0000000000000100,4.011711,0000000000000100,4.011723,0000000000000100,35.1692,35.1672,4.9972,0000000000000100,6.0599,-9999999,-9999999,14.904,2.4092,0000000000000100,-9999999,-9999999,5.393,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,35.1563,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
