,Cruise ID,Station-Cast #,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth [m],Filename,File Flag,Bottle Position,Niskin Flag,Bottle Closure,"Pressure, Digiquartz [db]",Pressure Flag,"Depth [salt water, m]",Latitude [deg],Longitude [deg],"Temperature [ITS-90, deg C]",Temperature 1 Flag,"Temperature, 2 [ITS-90, deg C]",Temperature 2 Flag,Conductivity [S/m],Conductivity 1 Flag,"Conductivity, 2 [S/m]",Conductivity 2 Flag,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Oxygen Flag,"Oxygen Saturation, Garcia & Gordon [ml/l]",Fluorescence [mg/m^3],Fluorescence Flag,"Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Transmissometer Flag,pH,pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chl (ug/l),Discrete Phaeo (ug/l),Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Duplicate Flag,Discrete Phosphate [µmol/L],Discrete Silicate [µmol/L],Discrete Nitrate [µmol/L],Discrete Nitrite [µmol/L],Discrete Ammonium [µmol/L],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete pCO2 [µatm],Discrete pCO2 Analysis Temp [C],Discrete pCO2 Flag,Discrete pH [Total Scale],Discrete pH Analysis Temp [C],Discrete pH Flag,Calculated Alkalinity [µmol/kg],Calculated DIC [µmol/kg],Calculated pCO2 [µatm],Calculated pH,Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated Omega-C,Calculated Omega-A,Comments
0,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,1,0000000001000000,Oct 25 2018 16:28:27,440.937,0000000000000100,437.095,39.9396,-70.88389,6.4431,0000000000000100,6.4395,0000000000000100,3.503884,0000000000000100,3.503536,0000000000000100,35.0748,35.0746,4.3568,0000000000000100,6.8347,-9999999.0,-9999999.0,0.1518,96.2765,0000000000000100,-9999999,-9999999,5.792,0000000000001000,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.289144557343118,1.52516830248645,0.523742068748601,0.119,<0.015,0000000000001000,0000000000000100,33.0486,0000000000001000,0000000000000100,1078,0000000000000010,1078,0000000000000010,-9999999,-9999999,-9999999,1077,1077,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,"#1 possible mis-trip
odd values S, O2"
1,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,2,0000000000000100,Oct 25 2018 16:28:41,440.533,0000000000000100,436.695,39.9396,-70.88388,6.4411,0000000000000100,6.4386,0000000000000100,3.503675,0000000000000100,3.50336,0000000000000100,35.0748,35.0738,4.3629,0000000000000100,6.83503,-9999999.0,-9999999.0,0.152,96.2712,0000000000000100,-9999999,-9999999,4.494,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.00305014582745,9.41865488876426,14.1384979948829,<0.04,0.0791990518184531,0000000000000100,0000000000000100,35.0785,0000000000000100,0000000000000100,1079,0000000000000010,1079,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Duplicate DIC/TA
2,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,3,0000000000000100,Oct 25 2018 16:34:20,254.201,0000000000000100,252.1,39.93964,-70.88378,10.3064,0000000000000100,10.3046,0000000000000100,3.880715,0000000000000100,3.880424,0000000000000100,35.3171,35.316,3.0096,0000000000000100,6.26037,-9999999.0,-9999999.0,0.0673,98.3311,0000000000000100,-9999999,-9999999,3.137,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.19035440775238,9.74657118152926,18.2394606325646,<0.04,0.0300755892981467,0000000000000100,0000000000000100,35.3224,0000000000000100,0000000000000100,1080,0000000000000010,1080,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,O2 min
3,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,4,0000000000000100,Oct 25 2018 16:34:35,253.97,0000000000000100,251.871,39.93964,-70.88378,10.3214,0000000000000100,10.3241,0000000000000100,3.882304,0000000000000100,3.882547,0000000000000100,35.3189,35.3187,3.0147,0000000000000100,6.25829,-9999999.0,-9999999.0,0.0676,98.3249,0000000000000100,-9999999,-9999999,3.117,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,35.3238,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
4,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,5,0000000000000100,Oct 25 2018 16:38:44,118.319,0000000000000100,117.38,39.93972,-70.88362,13.2453,0000000000000100,13.2446,0000000000000100,4.188511,0000000000000100,4.188369,0000000000000100,35.5978,35.5972,4.4801,0000000000000100,5.87555,-9999999.0,-9999999.0,0.0713,98.2347,0000000000000100,-9999999,-9999999,4.622,0000000000000100,0000000000000100,01/01,01/01,-9999999,0000000000000010,0000000000000100,0.560377504939317,3.32921868573565,8.43016434097274,<0.04,0.0561411000232073,0000000000000100,0000000000000100,35.605,0000000000000100,0000000000000100,1081,0000000000000010,1081,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
5,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,6,0000000000000100,Oct 25 2018 16:38:59,118.068,0000000000000100,117.131,39.93974,-70.88363,13.2428,0000000000000100,13.2434,0000000000000100,4.188376,0000000000000100,4.188299,0000000000000100,35.599,35.5977,4.4813,0000000000000100,5.87581,-9999999.0,-9999999.0,0.0711,98.2392,0000000000000100,-9999999,-9999999,4.616,0000000000000100,0000000000001000,01/02,01/02,-9999999,0000000000000010,0000000000000100,0.548607018534199,3.147383482894,8.36619964071205,<0.04,0.189476212578325,0000000000000100,0000000000001000,35.6068,0000000000000100,0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,"Duplicates O2, S, N, Chl"
6,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,7,0000000000000100,Oct 25 2018 16:45:06,7.828,0000000000000100,7.768,39.93985,-70.88332,15.0948,0000000000000100,15.0947,0000000000000100,4.086027,0000000000000100,4.085975,0000000000000100,33.0472,33.0469,5.6288,0000000000000100,5.75039,-9999999.0,-9999999.0,0.3698,91.1688,0000000000000100,-9999999,-9999999,5.786,0000000000000100,0000000000000100,01/03,01/03,-9999999,0000000000000010,0000000000000100,0.272256468153166,1.3893026733969,0.521728029904371,0.0879999999999999,0.0160403142923449,0000000000000100,0000000000000100,33.052,0000000000000100,0000000000000100,1083,0000000000000010,1083,0000000000000010,-9999999,-9999999,-9999999,1082,1082,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
7,AR-31B,1,OSSM,39 56.39 N,070 53.01 W,2018-10-25T16:12:18Z,1,0000000000000100,445,ar31b001.hex,0000000000000100,8,0000000000000100,Oct 25 2018 16:45:27,7.821,0000000000000100,7.762,39.93986,-70.88331,15.0947,0000000000000100,15.094,0000000000000100,4.086078,0000000000000100,4.085931,0000000000000100,33.0478,33.0471,5.6271,0000000000000100,5.75039,-9999999.0,-9999999.0,0.3628,91.3295,0000000000000100,-9999999,-9999999,5.785,0000000000000100,0000000000000100,01/04,01/04,-9999999,0000000000000010,0000000000000100,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,33.0523,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1084,1084,0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Duplicate pH
8,AR-31B,2,Glider 380,39 52.75 N,070 53.78 W,2018-10-25T20:48:11Z,2,0000000000000100,662,ar31b002.hex,0000000000000100,1,0000000001000000,Oct 25 2018 21:04:57,667.756,0000000000000100,661.581,39.87882,-70.89669,4.937,0000000000000100,4.9366,0000000000000100,3.370338,0000000000000100,3.370227,0000000000000100,35.004,35.003,5.3571,0000000000000100,7.0836,-9999999.0,-9999999.0,0.0969,97.6064,0000000000000100,-9999999,-9999999,0.0,0000000000010000,0000000000000000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,0.0,0000000000010000,0000000000000000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,Niskin #1 did not trip
9,AR-31B,2,Glider 380,39 52.75 N,070 53.78 W,2018-10-25T20:48:11Z,2,0000000000000100,662,ar31b002.hex,0000000000000100,2,0000000000000100,Oct 25 2018 21:07:54,607.013,0000000000000100,601.487,39.87888,-70.8966,5.0394,0000000000000100,5.0384,0000000000000100,3.377403,0000000000000100,3.377237,0000000000000100,35.0095,35.0086,5.2934,0000000000000100,7.06614,-9999999.0,-9999999.0,0.0971,97.6014,0000000000000100,-9999999,-9999999,5.425,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999.0,-9999999.0,-9999999,-9999999,-9999999,-9999999,-9999999,35.0167,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
